# sss file
-1.57080 3.14159
-0.24382 3.13984
-0.49008 3.13816
-0.74147 3.13661
-1.00095 3.13525
-1.27198 3.13410
-1.55861 3.13318
-1.86522 3.13245
-2.19570 3.13186
-2.55152 3.13130
-2.92895 3.13059
-3.31730 3.12959
-3.70142 3.12817
-4.06787 3.12627
-4.40971 3.12394
-4.72638 3.12126
-5.02102 3.11834
-5.29804 3.11532
-5.56174 3.11232
-5.81593 3.10947
-6.06384 3.10689
-6.30829 3.10468
-6.55182 3.10293
-6.79686 3.10172
-7.04594 3.10107
-7.30184 3.10101
-7.56773 3.10149
-7.84734 3.10245
-8.14486 3.10373
-8.46449 3.10512
-8.80906 3.10632
-9.17759 3.10696
-9.56266 3.10668
-9.95059 3.10525
-10.32632 3.10261
-10.67959 3.09892
-11.00714 3.09445
-11.31082 3.08954
-11.59474 3.08450
-11.86342 3.07961
-12.12099 3.07511
-12.37099 3.07122
-12.61646 3.06811
-12.86004 3.06590
-13.10422 3.06468
-13.35144 3.06451
-13.60433 3.06537
-13.86582 3.06718
-14.13931 3.06981
-14.42874 3.07302
-14.73830 3.07648
-15.07164 3.07972
-15.42984 3.08219
-15.80871 3.08332
-16.19717 3.08262
-16.58003 3.07993
-16.94420 3.07541
-17.28320 3.06950
-17.59691 3.06272
-17.88873 3.05561
-18.16324 3.04865
-18.42486 3.04221
-18.67746 3.03664
-18.92434 3.03220
-19.16833 3.02907
-19.41199 3.02740
-19.65776 3.02724
-19.90814 3.02860
-20.16456 3.03136
-20.42733 3.03528
-20.69952 3.04004
-20.98432 3.04524
-21.28464 3.05038
-21.60221 3.05490
-21.93613 3.05820
-22.28135 3.05972
-22.62867 3.05912
-22.96721 3.05633
-23.28817 3.05162
-23.58709 3.04541
-23.86362 3.03824
-24.11991 3.03059
-24.35912 3.02291
-24.58449 3.01555
-24.79892 3.00878
-25.00490 3.00283
-25.20451 2.99787
-25.39949 2.99400
-25.59133 2.99132
-25.78133 2.98985
-25.97069 2.98960
-26.16054 2.99053
-26.35199 2.99259
-26.54621 2.99567
-26.74440 2.99964
-26.94787 3.00434
-27.15800 3.00956
-27.37621 3.01505
-27.60385 3.02054
-27.84190 3.02570
-28.09069 3.03017
-28.34936 3.03361
-28.61548 3.03568
-28.88504 3.03617
-29.15300 3.03494
-29.41433 3.03205
-29.66511 3.02767
-29.90305 3.02207
-30.12747 3.01556
-30.33890 3.00846
-30.53854 3.00106
-30.72791 2.99363
-30.90857 2.98639
-31.08198 2.97953
-31.24946 2.97320
-31.41217 2.96755
-31.57111 2.96267
-31.72717 2.95863
-31.88112 2.95551
-32.03367 2.95334
-32.18545 2.95213
-32.33705 2.95189
-32.48906 2.95261
-32.64203 2.95424
-32.79655 2.95675
-32.95320 2.96007
-33.11261 2.96410
-33.27545 2.96875
-33.44243 2.97389
-33.61429 2.97939
-33.79177 2.98507
-33.97557 2.99075
-34.16628 2.99622
-34.36423 3.00126
-34.56933 3.00562
-34.78091 3.00909
-34.99757 3.01145
-35.21721 3.01253
-35.43719 3.01223
-35.65466 3.01055
-35.86702 3.00753
-36.07223 3.00331
-36.26903 2.99807
-36.45688 2.99201
-36.63588 2.98536
-36.80649 2.97832
-36.96947 2.97108
-37.12566 2.96382
-37.27592 2.95669
-37.42108 2.94982
-37.56193 2.94335
-37.69915 2.93735
-37.83339 2.93193
-37.96520 2.92714
-38.09509 2.92304
-38.22351 2.91969
-38.35089 2.91710
-38.47760 2.91531
-38.60399 2.91433
-38.73043 2.91415
-38.85722 2.91476
-38.98470 2.91615
-39.11319 2.91829
-39.24303 2.92114
-39.37457 2.92464
-39.50817 2.92875
-39.64422 2.93338
-39.78311 2.93846
-39.92528 2.94390
-40.07116 2.94957
-40.22119 2.95538
-40.37577 2.96118
-40.53525 2.96682
-40.69988 2.97216
-40.86971 2.97703
-41.04454 2.98126
-41.22386 2.98469
-41.40676 2.98716
-41.59200 2.98858
-41.77802 2.98886
-41.96311 2.98795
-42.14561 2.98588
-42.32402 2.98272
-42.49721 2.97855
-42.66444 2.97352
-42.82533 2.96778
-42.97985 2.96146
-43.12820 2.95473
-43.27078 2.94774
-43.40805 2.94061
-43.54054 2.93348
-43.79328 2.91962
-43.91454 2.91308
-44.03300 2.90692
-44.14908 2.90119
-44.26316 2.89596
-44.37559 2.89127
-44.48668 2.88718
-44.59672 2.88370
-44.70598 2.88088
-44.81471 2.87873
-44.92313 2.87725
-45.03147 2.87647
-45.13994 2.87637
-45.24874 2.87695
-45.35809 2.87821
-45.46818 2.88012
-45.57922 2.88264
-45.69143 2.88577
-45.80502 2.88945
-45.92022 2.89363
-46.03728 2.89828
-46.15645 2.90332
-46.27798 2.90870
-46.40216 2.91434
-46.52927 2.92014
-46.65956 2.92603
-46.79330 2.93191
-46.93070 2.93766
-47.07194 2.94317
-47.21707 2.94833
-47.36604 2.95299
-47.51863 2.95706
-47.67444 2.96040
-47.83285 2.96291
-47.99303 2.96450
-48.15399 2.96511
-48.31465 2.96471
-48.47390 2.96330
-48.63069 2.96090
-48.78415 2.95757
-48.93358 2.95341
-49.07854 2.94849
-49.21877 2.94294
-49.35423 2.93687
-49.48500 2.93040
-49.61130 2.92363
-49.73340 2.91668
-49.85165 2.90964
-49.96637 2.90260
-50.07792 2.89566
-50.18664 2.88888
-50.29286 2.88234
-50.39688 2.87609
-50.49900 2.87019
-50.59947 2.86470
-50.69855 2.85965
-50.79645 2.85508
-50.89340 2.85102
-50.98957 2.84750
-51.08516 2.84454
-51.18033 2.84215
-51.27524 2.84036
-51.37005 2.83917
-51.46490 2.83857
-51.55992 2.83858
-51.65527 2.83919
-51.75106 2.84038
-51.84745 2.84214
-51.94455 2.84446
-52.04253 2.84731
-52.14151 2.85067
-52.24165 2.85451
-52.34310 2.85879
-52.44602 2.86346
-52.55058 2.86850
-52.65696 2.87384
-52.76532 2.87943
-52.98876 2.89111
-53.10420 2.89706
