# sss file
-1.57080 3.14159
-1.56890 3.13779
-1.42115 3.13761
-1.41419 3.14159
-1.40565 3.14159
-1.27031 3.14158
-1.26713 3.13742
-1.12251 3.13723
-1.12047 3.14157
-0.97528 3.14156
-0.96848 3.13703
-0.82072 3.13684
-0.82015 3.14154
-0.67564 3.14151
-0.66981 3.13663
-0.52207 3.13642
-0.52140 3.14149
-0.37651 3.14146
-0.37116 3.13621
-0.22340 3.13599
-0.22333 3.14142
-0.07538 3.14138
-0.06935 3.13576
0.07527 3.13554
0.07533 3.14133
0.22325 3.14128
0.22933 3.13531
0.37710 3.13508
0.37709 3.14123
0.52161 3.14117
0.52800 3.13484
0.67578 3.13459
0.67566 3.14111
0.82011 3.14104
0.82670 3.13435
0.97448 3.13410
0.97418 3.14097
1.12184 3.14090
1.12854 3.13383
1.27318 3.13358
1.27272 3.14081
1.42034 3.14073
1.42726 3.13331
1.57504 3.13304
1.57444 3.14064
1.71896 3.14055
1.72598 3.13277
1.87379 3.13249
1.87297 3.14045
2.01748 3.14035
2.02473 3.13221
2.17253 3.13193
2.17155 3.14025
2.31923 3.14014
2.32663 3.13163
2.47128 3.13134
2.47012 3.14002
2.61783 3.13991
2.62538 3.13103
2.77006 3.13074
2.76871 3.13978
2.91640 3.13965
2.92416 3.13042
3.07197 3.13011
3.07044 3.13952
3.21501 3.13939
3.22294 3.12980
3.37076 3.12948
3.36901 3.13924
3.51675 3.13910
3.52487 3.12914
3.66955 3.12882
3.66763 3.13895
3.81535 3.13880
3.82366 3.12848
3.96835 3.12815
3.96626 3.13864
4.11400 3.13848
4.12247 3.12780
4.27030 3.12746
4.26800 3.13831
4.41261 3.13815
4.42128 3.12711
4.56912 3.12676
4.56665 3.13797
4.71126 3.13780
4.72010 3.12639
4.86793 3.12603
4.86530 3.13761
5.01303 3.13742
5.02204 3.12565
5.16673 3.12529
5.16391 3.13723
5.31164 3.13704
5.32085 3.12491
5.46868 3.12453
5.46568 3.13683
5.61028 3.13663
5.61966 3.12414
5.76750 3.12376
5.76431 3.13642
5.90891 3.13621
5.91848 3.12336
6.06632 3.12296
6.06295 3.13599
6.21070 3.13577
6.22046 3.12255
6.36516 3.12216
6.36161 3.13554
6.50937 3.13531
6.51930 3.12173
6.66715 3.12132
6.66341 3.13507
6.80803 3.13484
6.81814 3.12090
6.96600 3.12048
6.96208 3.13459
7.10670 3.13435
7.11700 3.12005
7.26486 3.11962
7.26076 3.13409
7.40853 3.13384
7.41901 3.11917
7.56372 3.11874
7.55945 3.13358
7.70723 3.13331
7.71788 3.11829
7.86575 3.11784
7.86130 3.13304
8.00593 3.13277
8.01676 3.11738
8.16463 3.11693
8.16000 3.13249
8.30464 3.13221
8.31565 3.11646
8.46352 3.11600
8.45871 3.13192
8.60650 3.13163
8.61769 3.11552
8.76243 3.11506
8.75743 3.13133
8.90522 3.13104
8.91660 3.11456
9.06448 3.11409
9.05931 3.13073
9.20396 3.13043
9.21552 3.11359
9.36341 3.11310
9.35805 3.13011
9.50270 3.12980
9.51444 3.11260
9.66234 3.11211
9.65679 3.12947
9.80459 3.12915
9.81652 3.11159
