# sss file
0.00590 0.63512
-0.05599 0.75890
-0.07071 0.81512
-0.08300 0.86710
-0.11299 0.89293
-0.14225 0.91688
-0.18111 0.98692
-0.21793 1.05261
-0.18968 1.03205
-0.16088 1.00997
-0.13151 0.98628
-0.10152 0.96090
-0.06250 0.88809
-0.02052 0.80919
0.01215 0.77671
0.04595 0.74153
0.03472 0.79270
0.02575 0.83997
0.01874 0.88392
0.01347 0.92499
-0.01927 0.95761
-0.05127 0.98821
-0.04618 0.94771
-0.03949 0.90462
-0.07752 0.97657
-0.11332 1.04392
-0.11705 1.08210
-0.11945 1.11832
-0.15119 1.17850
-0.18170 1.23608
-0.21172 1.25935
-0.24141 1.28132
-0.27076 1.30203
-0.29980 1.32151
-0.26965 1.26781
-0.23860 1.21205
-0.20944 1.19070
-0.17987 1.16800
-0.17714 1.13145
-0.17313 1.09304
-0.20227 1.11533
-0.23095 1.13620
-0.26390 1.19476
-0.29578 1.25086
-0.32381 1.26838
-0.35147 1.28468
-0.31968 1.23038
-0.28696 1.17384
-0.28061 1.13263
-0.27288 1.08940
-0.30765 1.14921
-0.34125 1.20630
-0.37388 1.26104
-0.40568 1.31373
-0.40980 1.35138
-0.41278 1.38763
-0.38501 1.37284
-0.35692 1.35689
-0.35795 1.39091
-0.35787 1.42364
-0.38677 1.44048
-0.41539 1.45620
-0.44387 1.50375
-0.47194 1.55007
-0.44291 1.53554
-0.41366 1.51992
-0.38418 1.50321
-0.35450 1.48540
-0.32720 1.43668
-0.29931 1.38654
-0.26963 1.36624
-0.23969 1.34476
-0.23721 1.37448
-0.23368 1.40293
-0.26420 1.42527
-0.29450 1.44644
-0.32096 1.49512
-0.34689 1.54254
-0.31628 1.52261
-0.28552 1.50159
-0.25460 1.47946
-0.22353 1.45620
-0.19813 1.40621
-0.17198 1.35469
-0.17600 1.32706
-0.17898 1.29812
-0.15029 1.24291
-0.12054 1.18548
-0.08955 1.12549
-0.05710 1.06250
-0.05803 1.09667
-0.05775 1.12907
-0.08803 1.18896
-0.11705 1.24632
-0.08558 1.21837
-0.05374 1.18896
-0.02412 1.12907
0.00700 1.06619
0.04024 1.03205
0.07416 0.99592
0.07567 1.02640
0.07835 1.05509
0.04451 1.09122
0.01126 1.12549
-0.01774 1.18548
-0.04542 1.24291
-0.01297 1.21148
0.01988 1.17850
0.05319 1.14389
0.08701 1.10753
0.11660 1.04392
0.14815 0.97656
0.18434 0.93372
0.22160 0.88809
0.22486 0.91553
0.22928 0.94106
0.23481 0.96483
0.24138 0.98692
0.20483 1.03205
0.16912 1.07478
0.16232 1.05261
0.15653 1.02891
0.12728 1.09304
0.09977 1.15392
0.10760 1.17501
0.11635 1.19476
0.15068 1.15569
0.18558 1.11473
0.19518 1.13263
0.20564 1.14921
0.21694 1.16449
