# sss file
-1.57080 3.14159
-0.29856 3.13868
-0.89558 3.13284
-1.19398 3.12993
-1.79160 3.12412
-2.38822 3.11829
-2.68597 3.11541
-2.98484 3.11255
-3.28489 3.10968
-3.58422 3.10675
-3.88133 3.10382
-4.17764 3.10099
-4.47632 3.09825
-4.77798 3.09547
-5.07888 3.09250
-5.37541 3.08949
-5.66946 3.08670
-5.96698 3.08417
-6.27035 3.08158
-6.57400 3.07860
-6.87082 3.07541
-7.16208 3.07257
-7.45702 3.07032
-7.76152 3.06810
-8.06905 3.06518
-8.36764 3.06170
-8.65615 3.05866
-8.94692 3.05667
-9.25118 3.05501
-9.56333 3.05235
-9.86571 3.04853
-10.15228 3.04504
-10.43748 3.04319
-10.73932 3.04230
-11.05604 3.04020
-11.36448 3.03608
-11.65084 3.03187
-11.92962 3.02990
-12.22634 3.02985
-12.54647 3.02873
-12.86314 3.02454
-13.15190 3.01936
-13.42430 3.01683
-13.71306 3.01756
-14.03410 3.01785
-14.36060 3.01402
-14.65514 3.00773
-14.92235 3.00414
-15.20065 3.00532
-15.51886 3.00739
-15.85561 3.00456
-16.15986 2.99724
-16.42428 2.99202
-16.69053 2.99312
-17.00124 2.99713
-17.34692 2.99610
-17.66495 2.98812
-17.93023 2.98077
-18.18409 2.98101
-18.48243 2.98681
-18.83353 2.98842
-19.16889 2.98049
-19.43990 2.97071
-19.68253 2.96917
-19.96416 2.97623
-20.31310 2.98119
-20.49231 2.98046
-20.66192 2.97467
-20.93806 2.96277
-21.16219 2.95775
-21.40050 2.96358
-21.70356 2.97273
-21.87814 2.97527
-22.05020 2.97275
-22.35345 2.96150
-22.58125 2.95003
-22.77789 2.94838
-23.00513 2.95714
-23.30187 2.96715
-23.47080 2.96926
-23.63662 2.96647
-23.92335 2.95420
-24.13387 2.94153
-24.30903 2.93846
-24.50599 2.94671
-24.76890 2.95914
-24.92892 2.96360
-25.09050 2.96347
-25.39264 2.95403
-25.61749 2.93888
-25.78385 2.92973
-25.94236 2.93235
-26.14342 2.94463
-26.41760 2.95720
-26.57740 2.96010
-26.73589 2.95837
-27.01434 2.94599
-27.21295 2.93006
-27.35901 2.92139
-27.50047 2.92465
-27.68365 2.93778
-27.94011 2.95220
-28.09502 2.95640
-28.25095 2.95613
-28.53583 2.94529
-28.74115 2.92806
-28.88297 2.91574
-29.00434 2.91456
-29.14941 2.92488
-29.35659 2.94134
-29.63871 2.95324
-29.79424 2.95423
-29.94546 2.95073
-30.19486 2.93525
-30.36336 2.91768
-30.48087 2.90757
-30.58896 2.90910
-30.72765 2.92154
-30.93188 2.93921
-31.21173 2.95154
-31.36577 2.95248
-31.51551 2.94896
-31.76142 2.93300
-31.92504 2.91436
-32.03406 2.90247
-32.12726 2.90171
-32.24191 2.91222
-32.41287 2.93013
-32.66230 2.94671
-32.81308 2.95101
-32.96499 2.95095
-33.23984 2.93922
-33.43271 2.91959
-33.55423 2.90280
-33.63951 2.89526
-33.72413 2.89903
-33.84187 2.91302
-34.02427 2.93249
-34.28633 2.94802
-34.43859 2.95088
-34.58966 2.94932
-34.85033 2.93510
-35.02609 2.91462
-35.13381 2.89792
-35.20757 2.89046
-35.28025 2.89389
-35.38309 2.90740
-35.54658 2.92723
-35.79065 2.94512
-35.93994 2.94992
-36.09116 2.95040
-36.36769 2.93908
-36.56194 2.91859
-36.67967 2.89944
-36.75214 2.88807
-36.81094 2.88684
-36.88526 2.89585
-37.00418 2.91337
-37.19504 2.93429
-37.46575 2.94902
-37.61839 2.95081
-37.76815 2.94818
-38.01818 2.93217
-38.18130 2.91064
-38.27630 2.89288
-38.33428 2.88353
-38.38394 2.88391
-38.45219 2.89389
-38.56634 2.91194
-38.75267 2.93332
-39.02008 2.94883
-39.17280 2.95112
-39.32342 2.94897
-39.57817 2.93348
-39.74559 2.91167
-39.84175 2.89287
-39.89642 2.88183
-39.93684 2.87984
-39.98811 2.88693
-40.07550 2.90244
-40.22517 2.92359
-40.45679 2.94336
-40.60327 2.94951
-40.75383 2.95149
-40.90183 2.94907
-41.04100 2.94251
-41.24989 2.92218
-41.37540 2.90077
-41.44373 2.88512
-41.48240 2.87764
-41.51560 2.87859
-41.56652 2.88786
-41.65917 2.90484
-41.81846 2.92653
-42.06081 2.94547
-42.21011 2.95067
-42.36201 2.95158
-42.64262 2.94074
-42.84118 2.91973
-42.95828 2.89856
-43.02018 2.88333
-43.05266 2.87588
-43.07820 2.87613
-43.11838 2.88397
-43.19559 2.89932
-43.33360 2.92032
-43.55246 2.94104
-43.84330 2.95170
-43.99466 2.95077
-44.13908 2.94553
-44.36439 2.92647
-44.50351 2.90449
-44.57846 2.88699
-44.61490 2.87669
-44.63472 2.87356
-44.65808 2.87720
-44.70546 2.88782
-44.79854 2.90530
-44.96001 2.92697
-45.20417 2.94561
-45.35367 2.95069
-45.50556 2.95147
-45.78598 2.94067
-45.98539 2.91986
-46.10354 2.89878
-46.16467 2.88323
-46.19217 2.87469
-46.20582 2.87253
-46.22438 2.87627
-46.26713 2.88634
-46.35452 2.90305
-46.50819 2.92429
-46.74348 2.94350
-46.89038 2.94938
-47.04091 2.95107
-47.18846 2.94865
-47.32723 2.94210
-47.53735 2.92218
-47.66493 2.90097
-47.73225 2.88479
-47.76203 2.87534
-47.77309 2.87185
-47.78294 2.87343
-47.80945 2.88032
-47.87135 2.89344
-47.98878 2.91249
-48.18120 2.93348
-48.45126 2.94801
-48.60317 2.95004
-48.75260 2.94767
-49.00660 2.93258
-49.17657 2.91133
-49.27410 2.89239
-49.32220 2.87963
-49.34040 2.87309
-49.34532 2.87140
-49.35333 2.87381
-49.38144 2.88099
-49.44744 2.89416
-49.57047 2.91302
-49.76846 2.93339
-50.04092 2.94681
-50.19154 2.94830
-50.33890 2.94542
-50.58696 2.93001
-50.75276 2.90918
-50.84845 2.89103
-50.89588 2.87908
-50.91319 2.87306
-50.91571 2.87126
-50.91864 2.87267
-50.93790 2.87785
-50.99002 2.88836
-51.09259 2.90486
-51.26365 2.92485
-51.51125 2.94127
-51.65797 2.94543
-51.80559 2.94535
-52.07528 2.93439
-52.26985 2.91491
-52.38931 2.89579
-52.45364 2.88213
-52.48145 2.87468
-52.48757 2.87174
-52.48584 2.87151
-52.49080 2.87364
-52.51767 2.87943
-52.58216 2.89071
-52.70115 2.90770
-52.89060 2.92690
-53.15121 2.94054
-53.29756 2.94280
-53.44200 2.94082
-53.69335 2.92743
-53.86883 2.90800
-53.97527 2.89062
-54.03205 2.87921
-54.05568 2.87364
-54.05941 2.87177
-54.05596 2.87169
-54.05896 2.87309
-54.08267 2.87743
-54.14174 2.88685
-54.25180 2.90212
-54.42821 2.92055
-54.67485 2.93513
-54.81739 2.93855
-54.95974 2.93784
-55.21780 2.92683
-55.40594 2.90853
-55.52468 2.89120
-55.59159 2.87951
-55.62294 2.87384
-55.63130 2.87211
-55.62817 2.87190
-55.62586 2.87216
-55.63749 2.87381
-55.67652 2.87911
-55.75701 2.89006
-55.89387 2.90626
-56.09859 2.92324
-56.36230 2.93313
-56.50202 2.93353
-56.63759 2.92990
-56.86540 2.91545
-57.02302 2.89757
-57.12022 2.88322
-57.17387 2.87511
-57.19759 2.87229
-57.20217 2.87211
-57.19815 2.87224
-57.19707 2.87199
-57.21118 2.87273
-57.25304 2.87699
-57.33581 2.88690
-57.47340 2.90206
-57.67583 2.91806
-57.93341 2.92732
-58.06931 2.92770
-58.20127 2.92415
-58.42455 2.91036
-58.58149 2.89345
-58.68052 2.88012
-58.73731 2.87307
-58.76466 2.87131
-58.77247 2.87202
-58.77011 2.87257
-58.76791 2.87188
-58.77702 2.87094
-58.80894 2.87228
