# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-0.15988 3.14116
-0.31954 3.14072
-0.47936 3.14029
-0.63915 3.13986
-0.79889 3.13942
-0.95869 3.13899
-1.11849 3.13855
-1.27825 3.13812
-1.43804 3.13768
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-3.19566 3.13291
-3.35544 3.13247
-3.51523 3.13204
-3.67501 3.13160
-3.83478 3.13117
-3.99457 3.13074
-4.15436 3.13030
-4.31414 3.12987
-4.47392 3.12943
-4.63370 3.12900
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-0.10812 3.12422
-0.26791 3.12379
-0.42770 3.12335
-0.58747 3.12292
-0.74726 3.12248
-0.90704 3.12205
-1.06682 3.12162
-1.22661 3.12118
-1.38639 3.12075
-1.54617 3.12031
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-1.57080 3.14159
-3.14400 3.11597
-3.30378 3.11554
-3.46357 3.11510
-3.62335 3.11467
-3.78313 3.11423
-3.94291 3.11380
-4.10270 3.11336
-4.26248 3.11293
-4.42226 3.11250
-4.58204 3.11206
-4.73122 3.09042
-4.89122 3.09042
-5.05122 3.09042
-5.21122 3.09042
-5.37122 3.09042
-5.53122 3.09042
-5.69122 3.09042
-5.85122 3.09042
-6.01122 3.09042
-6.17122 3.09042
-6.33965 3.10728
-6.49944 3.10685
-6.65922 3.10641
-6.81900 3.10598
-6.97878 3.10555
-7.13857 3.10511
-7.29835 3.10468
-7.45813 3.10424
-7.61791 3.10381
-7.77770 3.10337
-7.93122 3.09042
-8.09122 3.09042
-8.25122 3.09042
-8.41122 3.09042
-8.57122 3.09042
-8.73122 3.09042
-8.89122 3.09042
-9.05122 3.09042
-9.21122 3.09042
-9.37122 3.09042
-9.53530 3.09859
-9.69509 3.09816
-9.85487 3.09773
-10.01466 3.09729
-10.17444 3.09686
-10.33422 3.09642
-10.49400 3.09599
-10.65378 3.09555
-10.81357 3.09512
-10.97122 3.09042
-11.13122 3.09042
-11.29122 3.09042
-11.45122 3.09042
-11.61122 3.09042
-11.77122 3.09042
-11.93122 3.09042
-12.09122 3.09042
-12.25122 3.09042
-12.41122 3.09042
-12.57118 3.09034
-12.73096 3.08991
-12.89074 3.08947
-13.05052 3.08904
-13.21031 3.08860
-13.37009 3.08817
-13.52987 3.08773
-13.68966 3.08730
-13.84944 3.08687
-14.00922 3.08643
-14.17122 3.09042
-14.33121 3.09042
-14.49122 3.09042
-14.65122 3.09042
-14.81122 3.09042
-14.97121 3.09042
-15.13122 3.09042
-15.29122 3.09042
-15.45121 3.09042
-15.61122 3.09042
-15.76683 3.08165
-15.92661 3.08122
-16.08639 3.08078
-16.24617 3.08035
-16.40596 3.07991
-16.56574 3.07948
-16.72553 3.07905
-16.88531 3.07861
-17.04509 3.07818
-17.20487 3.07774
-17.37121 3.09042
-17.53121 3.09042
-17.69122 3.09042
-17.85121 3.09042
-18.01121 3.09042
-18.17121 3.09042
-18.33121 3.09042
-18.49121 3.09042
-18.65121 3.09042
-18.81121 3.09042
-18.96248 3.07296
-19.12226 3.07253
-19.28205 3.07209
-19.44183 3.07166
-19.60161 3.07122
-19.76139 3.07079
-19.92118 3.07035
-20.08096 3.06992
-20.24074 3.06949
-20.41121 3.09042
-20.57121 3.09042
-20.73121 3.09042
-20.89121 3.09042
-21.05121 3.09042
-21.21121 3.09042
-21.37121 3.09042
-21.53121 3.09042
-21.69121 3.09042
-21.85121 3.09042
-21.99835 3.06471
-22.15813 3.06427
-22.31792 3.06384
-22.47770 3.06340
-22.63748 3.06297
-22.79726 3.06253
-22.95704 3.06210
-23.11683 3.06166
-23.27661 3.06123
-23.43639 3.06079
-23.58560 3.03922
-23.74560 3.03922
-23.90561 3.03922
-24.06561 3.03922
-24.22561 3.03922
-24.38561 3.03922
-24.54561 3.03922
-24.70560 3.03922
-24.86561 3.03922
-25.02561 3.03922
-25.19400 3.05601
-25.35378 3.05558
-25.51357 3.05514
-25.67335 3.05471
-25.83313 3.05427
-25.99292 3.05384
-26.15270 3.05340
-26.31248 3.05297
-26.47226 3.05253
-26.63204 3.05210
-26.78561 3.03922
-26.94561 3.03922
-27.10561 3.03922
-27.26561 3.03922
-27.42560 3.03922
-27.58560 3.03922
-27.74560 3.03922
-27.90560 3.03922
-28.06560 3.03922
-28.22987 3.04775
-28.38965 3.04732
-28.54943 3.04688
-28.70922 3.04645
-28.86882 3.04601
-29.02769 3.04558
-29.18585 3.04515
-29.34331 3.04472
-29.50007 3.04430
-29.65614 3.04387
-29.80942 3.03922
-29.96436 3.03922
-30.11863 3.03922
-30.27225 3.03922
-30.42523 3.03922
-30.57757 3.03922
-30.72928 3.03922
-30.88037 3.03922
-31.03085 3.03922
-31.18072 3.03922
-31.33000 3.03922
-31.47852 3.03891
