# sss file
-0.31756 0.63512
-0.33590 0.66186
-0.35362 0.68739
-0.37078 0.71184
-0.38754 0.73537
-0.40383 0.75802
-0.41971 0.77987
-0.43529 0.80103
-0.45051 0.82151
-0.46539 0.84135
-0.48005 0.86065
-0.49442 0.87940
-0.50851 0.89763
-0.52242 0.91543
-0.53609 0.93276
-0.54952 0.94967
-0.56281 0.96621
-0.57589 0.98235
-0.58877 0.99813
-0.60153 1.01360
-0.61410 1.02873
-0.62650 1.04354
-0.63880 1.05808
-0.65094 1.07232
-0.66291 1.08629
-0.67480 1.10001
-0.68655 1.11348
-0.69815 1.12670
-0.70968 1.13970
-0.72108 1.15248
-0.73235 1.16503
-0.74356 1.17739
-0.75464 1.18954
-0.76560 1.20149
-0.77651 1.21327
-0.78731 1.22486
-0.79800 1.23627
-0.80864 1.24752
-0.81918 1.25861
-0.82961 1.26953
-0.84000 1.28030
-0.85029 1.29091
-0.86049 1.30138
-0.87066 1.31171
-0.88072 1.32190
-0.89070 1.33196
-0.90065 1.34188
-0.91051 1.35168
-0.92028 1.36135
-0.93003 1.37090
-0.93970 1.38034
-0.94928 1.38966
-0.95884 1.39887
-0.96832 1.40797
-0.97772 1.41696
-0.99648 1.43464
-1.01493 1.45192
-1.03307 1.46882
-1.05118 1.48536
-1.06900 1.50156
-1.08655 1.51744
-1.10407 1.53300
-1.12132 1.54826
-1.13832 1.56324
-1.15531 1.57793
-1.17204 1.59237
-1.18853 1.60657
-1.20502 1.62050
-1.22128 1.63422
-1.23730 1.64773
-1.25334 1.66101
-1.26915 1.67409
-1.28474 1.68700
-1.30036 1.69969
-1.31575 1.71223
-1.33094 1.72461
-1.34615 1.73679
-1.36116 1.74884
-1.37597 1.76076
-1.39082 1.77249
-1.40546 1.78411
-1.41992 1.79563
-1.43441 1.80697
-1.44871 1.81822
-1.46283 1.82939
-1.47700 1.84039
-1.49098 1.85132
-1.50478 1.86218
-1.51863 1.87289
-1.53231 1.88354
-1.54582 1.89413
-1.55938 1.90459
-1.57276 1.91500
-1.58599 1.92536
-1.59927 1.93560
-1.61239 1.94581
-1.62534 1.95598
-1.63836 1.96604
-1.65122 1.97607
-1.66392 1.98608
-1.67668 1.99598
-1.68930 2.00587
-1.70176 2.01574
-1.71429 2.02551
-1.72666 2.03528
-1.73890 2.04503
-1.75120 2.05470
-1.76335 2.06436
-1.77537 2.07403
-1.78745 2.08361
-1.79940 2.09320
-1.81120 2.10280
-1.82308 2.11231
-1.83483 2.12183
-1.84643 2.13137
-1.85811 2.14083
-1.86966 2.15031
-1.88107 2.15981
-1.89257 2.16923
-1.90393 2.17868
-1.91516 2.18814
-1.92647 2.19754
-1.93765 2.20697
