# sss file
-3.45915 0.63512
-3.49087 0.64845
-3.52071 0.65782
-3.54871 0.66339
-3.57489 0.66524
-3.59921 0.66339
-3.62164 0.65782
-3.64211 0.64845
-3.66050 0.63512
-3.64988 0.66311
-3.63679 0.68659
-3.62144 0.70593
-3.60402 0.72144
-3.58464 0.73332
-3.56343 0.74170
-3.54045 0.74670
-3.51577 0.74836
-3.48943 0.74670
-3.46146 0.74170
-3.43186 0.73332
-3.40061 0.72144
-3.36767 0.70593
-3.33298 0.68659
-3.29641 0.66311
-3.25781 0.63512
-3.23884 0.63912
-3.21853 0.64045
-3.19688 0.63912
-3.17392 0.63512
-3.20519 0.66374
-3.23523 0.68959
-3.26418 0.71295
-3.29213 0.73404
-3.31917 0.75301
-3.34533 0.77000
-3.37068 0.78511
-3.39524 0.79845
-3.41904 0.81008
-3.44210 0.82005
-3.46442 0.82842
-3.48602 0.83521
-3.50690 0.84047
-3.52706 0.84421
-3.54649 0.84645
-3.56519 0.84719
-3.58314 0.84645
-3.60034 0.84421
-3.61675 0.84047
-3.63238 0.83521
-3.64718 0.82842
-3.66114 0.82005
-3.67422 0.81008
-3.68640 0.79845
-3.69762 0.78511
-3.70785 0.77000
-3.71702 0.75301
-3.72509 0.73404
-3.73196 0.71295
-3.73755 0.68959
-3.74174 0.66374
-3.74439 0.63512
-3.76175 0.63750
-3.77833 0.63830
-3.79411 0.63750
-3.80909 0.63512
-3.80987 0.67723
-3.80806 0.71472
-3.80397 0.74822
-3.79787 0.77820
-3.78992 0.80499
-3.78029 0.82886
-3.76908 0.85002
-3.75640 0.86862
-3.74232 0.88479
-3.72693 0.89864
-3.71027 0.91023
-3.69240 0.91965
-3.67338 0.92692
-3.65323 0.93209
-3.63199 0.93518
-3.60970 0.93621
-3.58638 0.93518
-3.56205 0.93209
-3.53673 0.92692
-3.51043 0.91965
-3.48315 0.91023
-3.45490 0.89864
-3.42566 0.88479
-3.39541 0.86862
-3.36413 0.85002
-3.33176 0.82886
-3.29825 0.80499
-3.26352 0.77820
-3.22744 0.74822
-3.18985 0.71472
-3.15055 0.67723
-3.10922 0.63512
-3.08294 0.63740
-3.05438 0.63512
-3.10478 0.69023
-3.15224 0.73863
-3.19735 0.78149
-3.24048 0.81958
-3.28188 0.85346
-3.32173 0.88354
-3.36018 0.91013
-3.39730 0.93347
-3.43317 0.95372
-3.46782 0.97105
-3.50127 0.98555
-3.53355 0.99731
-3.56463 1.00639
-3.59452 1.01285
-3.62318 1.01672
-3.65059 1.01800
-3.67672 1.01672
-3.70152 1.01285
-3.72495 1.00639
-3.74695 0.99731
-3.76746 0.98555
-3.78642 0.97105
-3.80374 0.95372
-3.81935 0.93347
-3.83314 0.91013
-3.84499 0.88354
-3.85477 0.85346
-3.86228 0.81958
-3.86732 0.78149
-3.86957 0.73863
-3.86864 0.69023
-3.86393 0.63512
-3.88910 0.63691
-3.91249 0.63512
-3.92140 0.70274
-3.92526 0.76143
-3.92499 0.81298
-3.92119 0.85856
-3.91427 0.89897
-3.90454 0.93475
-3.89223 0.96633
-3.87754 0.99402
-3.86061 1.01803
-3.84157 1.03856
-3.82055 1.05574
-3.79763 1.06968
-3.77290 1.08044
-3.74646 1.08809
-3.71836 1.09267
-3.68869 1.09419
-3.65749 1.09267
-3.62481 1.08809
-3.59072 1.08044
-3.55523 1.06968
-3.51838 1.05574
-3.48018 1.03856
-3.44061 1.01803
-3.39966 0.99402
-3.35729 0.96633
-3.31340 0.93475
-3.26789 0.89897
-3.22056 0.85856
-3.17117 0.81298
-3.11935 0.76143
-3.06453 0.70274
-3.00581 0.63512
-2.98448 0.63660
-2.96167 0.63512
-3.02810 0.71480
-3.08962 0.78320
-3.14752 0.84289
-3.20256 0.89546
-3.25524 0.94192
-3.30590 0.98302
-3.35476 1.01925
-3.40196 1.05099
-3.44761 1.07853
-3.49174 1.10207
-3.53438 1.12177
-3.57554 1.13775
-3.61517 1.15010
-3.65326 1.15888
-3.68973 1.16413
-3.72453 1.16588
-3.75758 1.16413
-3.78881 1.15888
-3.81811 1.15010
-3.84540 1.13775
-3.87058 1.12177
-3.89352 1.10207
-3.91411 1.07853
-3.93221 1.05099
-3.94767 1.01925
-3.96030 0.98302
-3.96987 0.94192
-3.97608 0.89546
-3.97857 0.84289
-3.97677 0.78320
-3.96989 0.71480
-3.95663 0.63512
-3.97767 0.63639
-3.99744 0.63512
-4.00741 0.68279
-4.01513 0.72643
-4.02094 0.76668
-4.02507 0.80403
-4.02770 0.83884
-4.02898 0.87137
-4.02901 0.90186
-4.02788 0.93048
-4.02568 0.95737
-4.02245 0.98265
-4.01826 1.00641
-4.01314 1.02873
-4.00715 1.04969
-4.00030 1.06935
-3.99264 1.08775
-3.98419 1.10493
-3.97498 1.12095
-3.96502 1.13581
-3.95435 1.14956
-3.94298 1.16222
-3.93094 1.17380
-3.91823 1.18433
-3.90488 1.19381
-3.89091 1.20227
-3.87633 1.20971
-3.86116 1.21614
-3.84540 1.22157
-3.82909 1.22600
-3.81224 1.22945
-3.79485 1.23190
-3.77694 1.23338
-3.75853 1.23387
-3.73962 1.23338
-3.72024 1.23190
-3.70039 1.22945
-3.68009 1.22600
-3.65935 1.22157
-3.63817 1.21614
-3.61656 1.20971
-3.59454 1.20227
-3.57211 1.19381
-3.54928 1.18433
-3.52605 1.17380
-3.50242 1.16222
-3.47839 1.14956
-3.45397 1.13581
-3.42915 1.12095
-3.40393 1.10493
-3.37829 1.08775
-3.35223 1.06935
-3.32573 1.04969
-3.29877 1.02873
-3.27133 1.00641
-3.24338 0.98265
-3.21488 0.95737
-3.18578 0.93048
-3.15604 0.90186
-3.12558 0.87137
-3.09432 0.83884
-3.06214 0.80403
-3.02892 0.76668
-2.99448 0.72643
-2.95857 0.68279
-2.92086 0.63512
-2.90232 0.63623
-2.88267 0.63512
-2.92392 0.68881
-2.96302 0.73764
-3.00040 0.78249
-3.03635 0.82398
-3.07112 0.86255
-3.10487 0.89855
-3.13774 0.93224
-3.16982 0.96384
-3.20120 0.99350
-3.23194 1.02138
-3.26210 1.04758
-3.29172 1.07219
-3.32084 1.09531
-3.34948 1.11698
-3.37766 1.13728
-3.40541 1.15624
-3.43273 1.17391
-3.45963 1.19032
