# sss file
-2.41196 0.63512
-2.49051 0.76452
-2.53271 0.87663
-2.50346 0.87491
-2.53711 0.97270
-2.59747 1.06586
-2.62808 1.06737
-2.59690 0.97590
-2.62438 0.97270
-2.68471 1.06133
-2.71467 1.14866
-2.77012 1.22566
-2.79790 1.21862
-2.85202 1.28959
-2.87693 1.36589
-2.84723 1.37263
-2.79458 1.30332
-2.76361 1.30607
-2.78341 1.37802
-2.74944 1.37667
-2.69753 1.30332
-2.67785 1.22987
-2.62277 1.14866
-2.58933 1.14285
-2.60951 1.21862
-2.66255 1.29784
-2.67774 1.36589
-2.64015 1.35642
-2.65107 1.41962
-2.69969 1.49150
-2.73914 1.50078
-2.78762 1.56826
-2.79514 1.62646
-2.75350 1.61720
-2.70663 1.54975
-2.66473 1.53653
-2.66757 1.59074
-2.71264 1.65827
-2.71168 1.70883
-2.66532 1.69150
-2.66017 1.73826
-2.70160 1.80302
-2.75057 1.82072
-2.75537 1.77323
-2.80212 1.78675
-2.84694 1.84811
-2.89409 1.85774
-2.89330 1.80574
-2.84662 1.74497
-2.84248 1.69017
-2.88383 1.69550
-2.93200 1.75572
-2.93746 1.81118
-2.98551 1.86879
-3.02948 1.87017
-3.02221 1.81390
-3.06251 1.81118
-3.11310 1.86464
-3.15245 1.85774
-3.13824 1.79759
-3.08714 1.74497
-3.05063 1.75169
-3.00046 1.69550
-2.98610 1.63308
-3.02011 1.62646
-3.00150 1.56033
-2.95044 1.50078
-2.92902 1.43031
-2.95734 1.41962
-3.00911 1.47956
-3.03191 1.54975
-3.08313 1.60529
-3.11195 1.59074
-3.16337 1.64236
-3.18595 1.70883
-3.15490 1.72353
-3.17342 1.78675
-3.22549 1.83576
-3.25894 1.82072
-3.23784 1.75707
-3.26689 1.73826
-3.31921 1.78269
-3.34318 1.84673
-3.39683 1.88821
-3.42546 1.86464
-3.47950 1.90216
-3.50647 1.96438
-3.47580 1.98884
-3.42024 1.95010
-3.38655 1.97011
-3.40590 2.02973
-3.46284 2.06995
-3.48192 2.12812
-3.43949 2.14535
-3.45347 2.20152
-3.51506 2.24140
-3.56128 2.22297
-3.54196 2.16597
-3.58109 2.14378
-3.64252 2.17718
-3.67743 2.15008
-3.64877 2.09115
-3.59004 2.05944
-3.56256 1.99899
-3.58962 1.97011
-3.64570 2.00044
-3.67732 2.06094
-3.73593 2.08811
-3.75969 2.05346
-3.81741 2.07598
-3.85517 2.13437
-3.83098 2.17076
-3.86700 2.22797
-3.93220 2.24817
-3.95626 2.20973
-3.91548 2.15325
-3.93360 2.11262
-3.99166 2.12657
-4.03640 2.18202
-4.09643 2.19174
-4.10644 2.14535
-4.16256 2.15008
-4.21397 2.20152
-4.20687 2.24987
-4.14510 2.24478
-4.13021 2.28959
-4.18001 2.34175
-4.15919 2.38506
-4.08582 2.37358
-4.04110 2.31986
-3.97193 2.30373
-3.94071 2.33990
-3.97885 2.39474
-4.05523 2.41243
-4.09958 2.46563
-4.05932 2.50240
-3.97431 2.48272
-3.92285 2.51357
-3.95410 2.56733
-3.88785 2.59469
-3.79586 2.56490
-3.77772 2.51132
-3.83843 2.48705
-3.81286 2.43250
-3.73698 2.40256
-3.68162 2.42441
-3.60911 2.38892
-3.59507 2.33440
-3.52877 2.29664
-3.47472 2.31087
-3.48138 2.36411
-3.54912 2.40453
-3.55494 2.45722
-3.48444 2.46774
-3.47950 2.51808
-3.55477 2.56007
-3.63542 2.54815
-3.72017 2.58460
-3.72682 2.63683
-3.63295 2.65067
-3.54685 2.61013
-3.45153 2.61538
-3.42540 2.66201
-3.31614 2.65915
-3.25208 2.61013
-3.28715 2.56733
-3.22737 2.51808
-3.14077 2.50908
-3.10151 2.54815
-3.15173 2.59979
-3.09880 2.63683
-2.99476 2.61801
-2.95784 2.56490
-2.86644 2.54109
-2.80202 2.56733
-2.71415 2.53643
-2.69719 2.48272
-2.75607 2.45931
-2.83741 2.48704
-2.88800 2.45722
-2.85437 2.40256
-2.89415 2.36978
-2.96860 2.38892
-3.01066 2.44271
-3.09107 2.45722
-3.12038 2.41641
-3.07152 2.36411
-2.99955 2.35100
-2.95666 2.29664
-2.98017 2.25668
-2.93685 2.20152
-2.87467 2.18525
-2.85049 2.22297
-2.78652 2.20152
-2.75148 2.14378
-2.77558 2.10800
-2.83499 2.12812
-2.85332 2.08811
-2.81262 2.02973
-2.75718 2.01064
-2.71865 1.95010
-2.73231 1.90915
-2.69234 1.84673
-2.64156 1.82481
-2.62797 1.86464
-2.66498 1.92743
-2.64670 1.96438
-2.59190 1.93733
-2.56928 1.97011
-2.60048 2.03120
-2.65819 2.05944
-2.69090 2.11880
-2.66144 2.15008
-2.60060 2.12035
-2.57241 2.06094
-2.51463 2.02825
-2.48257 2.05346
-2.50615 2.11262
-2.46799 2.13437
-2.40908 2.09573
-2.36781 2.11262
-2.38197 2.16916
-2.44226 2.20973
-2.48717 2.19174
-2.54976 2.22797
-2.56962 2.28433
-2.52059 2.30373
-2.53444 2.35847
-2.60468 2.39474
-2.61943 2.44890
-2.55484 2.46563
-2.48260 2.42643
