# sss file
-1.57080 3.14159
-2.38591 3.12877
-2.37885 3.11610
-2.37195 3.10358
-2.36537 3.09105
-2.35875 3.07866
-2.35220 3.06642
-2.34577 3.05417
-2.33938 3.04205
-2.33306 3.03007
-2.32681 3.01808
-2.32062 3.00623
-2.31452 2.99450
-2.30846 2.98276
-2.30247 2.97115
-2.29657 2.95966
-2.29069 2.94816
-2.28489 2.93678
-2.27919 2.92551
-2.27349 2.91424
-2.26788 2.90308
-2.25685 2.88097
-2.25143 2.87001
-2.24610 2.85916
-2.24077 2.84830
-2.23552 2.83754
-2.23038 2.82688
-2.22522 2.81621
-2.22015 2.80563
-2.21518 2.79514
-2.21020 2.78465
-2.20530 2.77424
-2.20051 2.76392
-2.19569 2.75358
-2.19097 2.74334
-2.18635 2.73317
-2.18170 2.72299
-2.17714 2.71289
-2.17268 2.70286
-2.16820 2.69283
-2.16380 2.68286
-2.15951 2.67296
-2.15082 2.65313
-2.14251 2.63357
-2.13458 2.61424
-2.12650 2.59485
-2.11879 2.57568
-2.11145 2.55670
-2.10396 2.53765
-2.09681 2.51878
-2.09003 2.50004
-2.08307 2.48124
-2.07645 2.46256
-2.07017 2.44396
-2.06371 2.42529
-2.05756 2.40669
-2.05174 2.38811
-2.04572 2.36946
-2.03999 2.35082
-2.03456 2.33214
-2.02892 2.31337
-2.02356 2.29456
-2.01845 2.27565
-2.01312 2.25664
-2.00803 2.23751
-2.00317 2.21822
-1.99808 2.19881
-1.99318 2.17922
-1.98847 2.15938
-1.98350 2.13941
-1.97859 2.11987
-1.97378 2.10073
-1.96874 2.08146
-1.96382 2.06259
-1.95905 2.04411
-1.95408 2.02549
-1.94926 2.00725
-1.94464 1.98937
-1.93982 1.97136
-1.93521 1.95370
-1.93080 1.93636
-1.92622 1.91889
-1.92185 1.90174
-1.91772 1.88488
-1.91342 1.86789
-1.90935 1.85118
-1.90552 1.83472
-1.90153 1.81812
-1.89778 1.80178
-1.89427 1.78563
-1.89061 1.76935
-1.88718 1.75327
-1.88401 1.73735
-1.88067 1.72128
-1.87756 1.70537
-1.87470 1.68955
-1.87167 1.67359
-1.86888 1.65772
-1.86630 1.64189
-1.86356 1.62590
-1.86103 1.60994
-1.85870 1.59395
-1.85619 1.57778
-1.85387 1.56157
-1.85174 1.54526
-1.84940 1.52874
-1.84723 1.51210
-1.84521 1.49527
-1.84297 1.47820
-1.84085 1.46091
-1.83883 1.44334
-1.83657 1.42548
-1.83439 1.40730
-1.83225 1.38870
-1.82984 1.36978
-1.82744 1.35039
-1.82501 1.33046
-1.82252 1.31191
-1.82024 1.29391
-1.81814 1.27643
-1.81579 1.25862
-1.81364 1.24136
-1.81168 1.22461
-1.80948 1.20755
-1.80749 1.19103
-1.80567 1.17503
-1.80363 1.15873
-1.80180 1.14297
-1.80014 1.12773
-1.79827 1.11220
-1.79660 1.09721
-1.79510 1.08276
-1.79341 1.06802
-1.79191 1.05383
-1.79058 1.04019
-1.78907 1.02627
-1.78775 1.01291
-1.78660 1.00010
-1.78529 0.98704
-1.78416 0.97455
-1.78319 0.96261
-1.78208 0.95045
-1.78115 0.93886
-1.78037 0.92784
-1.77947 0.91661
-1.77874 0.90598
-1.77817 0.89593
-1.77668 0.87526
-1.77593 0.85709
-1.77574 0.84129
-1.77521 0.82494
-1.77537 0.81119
-1.77604 0.79991
-1.77649 0.78828
-1.77757 0.77931
-1.77904 0.77282
-1.78086 0.76390
-1.78254 0.75510
-1.78414 0.74648
-1.78559 0.73759
-1.78697 0.72890
-1.78835 0.72048
-1.78958 0.71179
-1.79081 0.70340
-1.79212 0.69536
-1.79328 0.68706
-1.79452 0.67914
-1.79590 0.67166
-1.79716 0.66394
-1.79856 0.65668
-1.80016 0.64994
-1.80165 0.64297
-1.80336 0.63655
-1.80754 0.63512
-1.96226 0.63512
-1.97098 0.63825
-1.98163 0.64468
-1.99216 0.65075
-2.00310 0.65789
-2.01438 0.66598
-2.02549 0.67370
-2.03696 0.68236
-2.04873 0.69187
-2.06033 0.70100
-2.07223 0.71096
-2.08440 0.72168
-2.09639 0.73199
-2.10865 0.74305
-2.12111 0.75475
-2.13342 0.76606
