# sss file
-1.57080 3.14159
0.75568 3.12877
0.76275 3.11610
0.76964 3.10358
0.77622 3.09105
0.78284 3.07866
0.78939 3.06642
0.79582 3.05417
0.80221 3.04205
0.80853 3.03007
0.81478 3.01808
0.82097 3.00623
0.82707 2.99450
0.83313 2.98276
0.83913 2.97115
0.84502 2.95966
0.85091 2.94816
0.85670 2.93678
0.86240 2.92551
0.86810 2.91424
0.87371 2.90308
0.88474 2.88097
0.89016 2.87001
0.89549 2.85916
0.90083 2.84830
0.90607 2.83754
0.91121 2.82688
0.91637 2.81621
0.92144 2.80563
0.92641 2.79514
0.93139 2.78465
0.93629 2.77424
0.94108 2.76392
0.94590 2.75358
0.95062 2.74334
0.95524 2.73317
0.95989 2.72299
0.96445 2.71289
0.96891 2.70286
0.97339 2.69283
0.97779 2.68286
0.98208 2.67296
0.99077 2.65313
0.99909 2.63357
1.00701 2.61424
1.01509 2.59485
1.02280 2.57568
1.03014 2.55670
1.03764 2.53765
1.04478 2.51878
1.05157 2.50004
1.05852 2.48124
1.06514 2.46256
1.07142 2.44396
1.07789 2.42529
1.08403 2.40669
1.08985 2.38811
1.09588 2.36946
1.10160 2.35082
1.10703 2.33214
1.11267 2.31337
1.11804 2.29456
1.12314 2.27565
1.12847 2.25664
1.13356 2.23751
1.13842 2.21822
1.14352 2.19881
1.14841 2.17922
1.15312 2.15938
1.15809 2.13941
1.16300 2.11987
1.16781 2.10073
1.17285 2.08146
1.17777 2.06259
1.18254 2.04411
1.18752 2.02549
1.19233 2.00726
1.19696 1.98937
1.20177 1.97136
1.20639 1.95370
1.21080 1.93636
1.21537 1.91889
1.21974 1.90174
1.22388 1.88488
1.22818 1.86789
1.23225 1.85118
1.23607 1.83472
1.24006 1.81812
1.24382 1.80178
1.24732 1.78563
1.25099 1.76935
1.25441 1.75327
1.25759 1.73735
1.26093 1.72128
1.26403 1.70537
1.26689 1.68956
1.26992 1.67359
1.27272 1.65772
1.27529 1.64189
1.27804 1.62590
1.28057 1.60994
1.28289 1.59395
1.28540 1.57778
1.28772 1.56157
1.28985 1.54526
1.29219 1.52874
1.29436 1.51210
1.29638 1.49527
1.29863 1.47820
1.30075 1.46091
1.30276 1.44334
1.30502 1.42548
1.30720 1.40730
1.30934 1.38870
1.31176 1.36978
1.31416 1.35039
1.31658 1.33046
1.31907 1.31191
1.32135 1.29391
1.32345 1.27643
1.32580 1.25862
1.32795 1.24136
1.32991 1.22461
1.33211 1.20755
1.33410 1.19103
1.33592 1.17503
1.33796 1.15873
1.33979 1.14297
1.34145 1.12773
1.34332 1.11220
1.34499 1.09721
1.34649 1.08276
1.34818 1.06802
1.34968 1.05383
1.35101 1.04019
1.35252 1.02627
1.35384 1.01291
1.35499 1.00010
1.35630 0.98704
1.35744 0.97455
1.35840 0.96261
1.35951 0.95045
1.36045 0.93886
1.36122 0.92784
1.36212 0.91661
1.36285 0.90598
1.36342 0.89593
1.36491 0.87526
1.36566 0.85709
1.36586 0.84129
1.36639 0.82494
1.36622 0.81119
1.36556 0.79991
1.36510 0.78828
1.36402 0.77931
1.36255 0.77282
1.36074 0.76390
1.35905 0.75510
1.35745 0.74648
1.35601 0.73759
