# sss file
-0.31756 0.63512
-0.29351 0.63702
-0.26756 0.63512
-0.21756 0.63512
-0.19750 0.63642
-0.17614 0.63512
-0.16756 0.63512
-0.15313 0.63732
-0.13796 0.63805
-0.12206 0.63732
-0.10543 0.63512
-0.11756 0.63512
-0.09881 0.63902
-0.07874 0.64032
-0.05737 0.63902
-0.03472 0.63512
-0.05155 0.63594
-0.06756 0.63512
-0.04473 0.64121
-0.01984 0.64322
0.00708 0.64121
0.03599 0.63512
0.00813 0.63730
-0.01756 0.63512
-0.00461 0.64024
0.00910 0.64387
0.02356 0.64604
0.03875 0.64676
0.05467 0.64604
0.07129 0.64387
0.08864 0.64024
0.10670 0.63512
0.08657 0.63826
0.06748 0.63930
0.04943 0.63826
0.03244 0.63512
0.04705 0.64207
0.06270 0.64699
0.07937 0.64994
0.09703 0.65091
0.11567 0.64994
0.13528 0.64699
0.15586 0.64207
0.17741 0.63512
0.15112 0.64024
0.12652 0.64194
0.10361 0.64024
0.08244 0.63512
0.09856 0.64418
0.11606 0.65058
0.13489 0.65440
0.15501 0.65567
0.17640 0.65440
0.19904 0.65058
0.22295 0.64418
0.24812 0.63512
0.21543 0.64271
0.18523 0.64522
0.15754 0.64271
0.13244 0.63512
0.14993 0.64656
0.16919 0.65463
0.19012 0.65943
0.21269 0.66102
0.23685 0.65943
0.26259 0.65463
0.28991 0.64656
0.31884 0.63512
0.29874 0.64127
0.27952 0.64564
0.26115 0.64825
0.24364 0.64912
0.22700 0.64825
0.21124 0.64564
0.19638 0.64127
0.18244 0.63512
0.20116 0.64921
0.22208 0.65911
0.24508 0.66500
0.27008 0.66695
0.29703 0.66500
0.32591 0.65911
0.35674 0.64921
0.38955 0.63512
0.36589 0.64327
0.34337 0.64904
0.32199 0.65248
0.30174 0.65363
0.28264 0.65248
0.26470 0.64904
0.24795 0.64327
0.23244 0.63512
0.25225 0.65212
0.27475 0.66403
0.29977 0.67110
0.32719 0.67344
0.35695 0.67110
0.38903 0.66403
0.42344 0.65212
0.46026 0.63512
0.43290 0.64554
0.40700 0.65290
0.38255 0.65727
0.35954 0.65873
0.33799 0.65728
0.31792 0.65290
0.29938 0.64554
0.28244 0.63512
0.29240 0.64600
0.30321 0.65529
0.31482 0.66308
0.32720 0.66939
0.34033 0.67426
0.35419 0.67772
0.36876 0.67979
0.38402 0.68048
0.39998 0.67979
0.41662 0.67772
0.43394 0.67426
0.45194 0.66939
0.47063 0.66308
0.49003 0.65529
0.51013 0.64600
0.53097 0.63512
0.49978 0.64808
0.47042 0.65720
0.44285 0.66262
0.41705 0.66442
0.39306 0.66262
0.37091 0.65720
0.35067 0.64808
0.33244 0.63512
0.34273 0.64785
0.35403 0.65872
0.36627 0.66780
0.37943 0.67515
0.39347 0.68082
0.40835 0.68485
0.42407 0.68725
0.44059 0.68805
0.45792 0.68725
0.47604 0.68485
0.49496 0.68082
0.51466 0.67515
0.53517 0.66780
0.55649 0.65872
0.57865 0.64785
0.60168 0.63512
0.56653 0.65089
0.53362 0.66194
0.50287 0.66851
0.47428 0.67068
0.44786 0.66851
0.42367 0.66194
0.40182 0.65089
0.38244 0.63512
0.39299 0.64986
0.40471 0.66240
0.41755 0.67286
0.43145 0.68131
0.44637 0.68783
0.46226 0.69246
0.47912 0.69522
0.49691 0.69613
0.51562 0.69522
0.53523 0.69245
0.55576 0.68783
0.57719 0.68131
0.59954 0.67286
0.62284 0.66240
0.64711 0.64986
0.67239 0.63512
0.63317 0.65395
0.59662 0.66712
0.56265 0.67491
0.53123 0.67750
0.50239 0.67491
0.47621 0.66712
0.45283 0.65395
0.43244 0.63512
0.44316 0.65200
0.45526 0.66632
0.46865 0.67824
0.48326 0.68787
0.49904 0.69528
0.51594 0.70053
0.53393 0.70367
0.55298 0.70471
0.57307 0.70367
0.59419 0.70053
0.61634 0.69528
0.63953 0.68787
0.66377 0.67824
0.68908 0.66632
0.71550 0.65200
0.74310 0.63512
0.72099 0.64707
0.69968 0.65727
0.67917 0.66580
0.65942 0.67271
0.64042 0.67804
0.62217 0.68183
0.60466 0.68410
0.58790 0.68485
0.57190 0.68410
0.55666 0.68183
0.54219 0.67804
0.52853 0.67271
0.51569 0.66580
0.50370 0.65727
0.49261 0.64707
0.48244 0.63512
0.49326 0.65427
0.50568 0.67049
0.51958 0.68395
0.53487 0.69481
0.55148 0.70315
0.56937 0.70907
0.58849 0.71259
0.60880 0.71376
0.63029 0.71259
0.65293 0.70907
0.67673 0.70315
0.70170 0.69481
0.72784 0.68395
0.75521 0.67049
0.78383 0.65427
0.81381 0.63512
0.78947 0.64901
0.76608 0.66084
0.74361 0.67072
0.72202 0.67871
0.70131 0.68487
0.68146 0.68924
0.66246 0.69186
0.64432 0.69272
0.62706 0.69186
0.61068 0.68924
0.59519 0.68487
0.58064 0.67871
0.56704 0.67072
0.55444 0.66084
0.54289 0.64901
0.53244 0.63512
0.54329 0.65668
0.55597 0.67488
0.57033 0.68997
0.58628 0.70212
0.60372 0.71144
0.62258 0.71804
0.64282 0.72197
0.66440 0.72328
0.68728 0.72197
0.71146 0.71804
0.73693 0.71144
0.76369 0.70212
0.79178 0.68997
0.82123 0.67488
0.85211 0.65668
0.88452 0.63512
0.85789 0.65109
0.83236 0.66467
0.80789 0.67597
0.78444 0.68511
0.76198 0.69214
0.74051 0.69713
0.72001 0.70011
0.70049 0.70110
0.68196 0.70011
0.66444 0.69713
0.64796 0.69214
0.63253 0.68511
0.61821 0.67597
0.60505 0.66467
0.59310 0.65109
0.58244 0.63512
0.59325 0.65922
0.60613 0.67951
0.62093 0.69629
0.63749 0.70978
0.65574 0.72012
0.67557 0.72743
0.69693 0.73179
0.71978 0.73324
0.74407 0.73179
0.76979 0.72743
0.79694 0.72012
0.82552 0.70978
0.85558 0.69629
0.88715 0.67951
0.92032 0.65922
0.95523 0.63512
0.92625 0.65331
0.89854 0.66873
0.87203 0.68155
0.84668 0.69189
0.82245 0.69984
0.79934 0.70548
0.77732 0.70884
0.75642 0.70996
0.73663 0.70884
0.71798 0.70548
0.70050 0.69984
0.68422 0.69189
0.66921 0.68155
0.65552 0.66873
0.64323 0.65331
0.63244 0.63512
0.64313 0.66189
0.65617 0.68436
0.67136 0.70291
0.68852 0.71778
0.70755 0.72918
0.72835 0.73723
0.75083 0.74203
0.77494 0.74362
0.80065 0.74203
0.82793 0.73723
0.85677 0.72918
0.88720 0.71778
0.91924 0.70291
0.95297 0.68436
0.98849 0.66189
1.02594 0.63512
0.99455 0.65567
0.96460 0.67303
0.93602 0.68744
0.90874 0.69904
0.88273 0.70796
0.85795 0.71427
0.83442 0.71803
0.81211 0.71929
0.79106 0.71803
0.77128 0.71427
0.75282 0.70796
0.73572 0.69904
0.72004 0.68744
0.70587 0.67303
0.69329 0.65567
0.68244 0.63512
0.69294 0.66468
0.70609 0.68943
0.72163 0.70980
0.73937 0.72612
0.75917 0.73860
0.78092 0.74742
0.80452 0.75267
0.82990 0.75441
0.85703 0.75267
0.88588 0.74742
0.91644 0.73860
0.94872 0.72612
0.98278 0.70980
1.01870 0.68943
1.05659 0.66468
1.09665 0.63512
1.06279 0.65815
1.03056 0.67757
0.99987 0.69364
0.97064 0.70656
0.94281 0.71648
0.91637 0.72349
0.89129 0.72767
0.86758 0.72906
0.84526 0.72767
0.82436 0.72349
0.80492 0.71648
0.78701 0.70656
0.77070 0.69364
0.75608 0.67756
0.74328 0.65815
0.73244 0.63512
0.74268 0.66760
0.75588 0.69471
0.77175 0.71697
0.79004 0.73477
0.81060 0.74838
0.83329 0.75797
0.85801 0.76369
0.88467 0.76558
0.91323 0.76369
0.94366 0.75797
0.97594 0.74838
1.01011 0.73477
1.04621 0.71697
1.08433 0.69471
1.12464 0.66760
1.16736 0.63512
1.13097 0.66077
1.09643 0.68233
1.06360 0.70013
1.03238 0.71442
1.00272 0.72538
0.97458 0.73312
0.94795 0.73774
