# sss file
1.25324 0.63512
1.15144 0.83870
1.10137 0.93882
1.07098 0.99960
1.05651 1.02852
1.02885 1.08381
1.01559 1.11031
0.99008 1.16127
0.97779 1.18583
0.95403 1.23325
0.94254 1.25619
0.92025 1.30066
0.90943 1.32223
0.88839 1.36415
0.87814 1.38454
0.85818 1.42426
0.84845 1.44361
0.82943 1.48138
0.82014 1.49982
0.80196 1.53585
0.79306 1.55346
0.77563 1.58793
0.76708 1.60479
0.75866 1.62138
0.75031 1.63784
0.74208 1.65402
0.73397 1.66996
0.72591 1.68577
0.71797 1.70134
0.71013 1.71666
0.70234 1.73188
0.69465 1.74687
0.68707 1.76164
0.67952 1.77631
0.67206 1.79077
0.66470 1.80502
0.65737 1.81918
0.65013 1.83314
0.64297 1.84690
0.63584 1.86059
0.62879 1.87408
0.62182 1.88738
0.61487 1.90062
0.60799 1.91368
0.60118 1.92655
0.59439 1.93937
0.58767 1.95201
0.58101 1.96448
0.57437 1.97690
0.56778 1.98915
0.56125 2.00124
0.55474 2.01327
0.54828 2.02515
0.54187 2.03687
0.53547 2.04855
0.52911 2.06007
0.52281 2.07145
0.51650 2.08278
0.51024 2.09397
0.50402 2.10501
0.49780 2.11601
0.49162 2.12687
0.48547 2.13759
0.47317 2.15894
0.46099 2.17974
0.44889 2.20001
0.43677 2.22017
0.42472 2.23981
0.41271 2.25896
0.40065 2.27801
0.38860 2.29658
0.37656 2.31467
0.36442 2.33268
0.35225 2.35022
0.34002 2.36731
0.32767 2.38433
0.31524 2.40090
0.30268 2.41703
0.28997 2.43310
0.27711 2.44873
0.26406 2.46394
0.25082 2.47908
0.23735 2.49380
0.22364 2.50810
0.20967 2.52234
0.19542 2.53616
0.18085 2.54956
0.16595 2.56290
0.15070 2.57582
0.13504 2.58833
0.11901 2.60075
0.10253 2.61276
0.08556 2.62434
0.06815 2.63584
0.05021 2.64691
0.03171 2.65753
0.01268 2.66806
-0.00694 2.67814
-0.02720 2.68776
-0.04805 2.69726
-0.06956 2.70629
-0.09176 2.71484
-0.11460 2.72324
-0.13813 2.73114
-0.16236 2.73852
-0.18725 2.74573
-0.21282 2.75241
-0.23906 2.75854
-0.26593 2.76445
-0.29339 2.76979
-0.32142 2.77456
-0.34997 2.77907
-0.37896 2.78299
-0.40833 2.78629
-0.43805 2.78931
-0.46797 2.79169
-0.49799 2.79345
-0.52813 2.79490
-0.55817 2.79570
-0.58799 2.79586
-0.61765 2.79570
-0.64688 2.79490
-0.67557 2.79345
-0.70384 2.79169
-0.73137 2.78931
-0.75807 2.78629
-0.78414 2.78299
-0.80922 2.77907
-0.83326 2.77456
-0.85652 2.76979
-0.87864 2.76445
-0.89959 2.75854
-0.91970 2.75241
-0.93860 2.74573
-0.95628 2.73852
-0.97313 2.73114
-0.98876 2.72324
-1.00320 2.71484
-1.01684 2.70629
-1.02933 2.69726
-1.04068 2.68776
-1.05131 2.67814
-1.06086 2.66806
-1.06936 2.65753
-1.07723 2.64691
-1.08411 2.63584
-1.09002 2.62434
-1.09540 2.61276
-1.09988 2.60075
-1.10349 2.58833
-1.10664 2.57582
-1.10897 2.56290
-1.11053 2.54956
-1.11170 2.53616
-1.11213 2.52234
-1.11186 2.50810
-1.11127 2.49380
-1.11001 2.47908
-1.10812 2.46394
-1.10595 2.44873
-1.10318 2.43310
-1.09983 2.41703
-1.09625 2.40090
-1.09212 2.38433
-1.08745 2.36731
-1.08259 2.35022
-1.07721 2.33267
-1.07134 2.31467
-1.06530 2.29658
-1.05878 2.27801
-1.05179 2.25896
-1.04465 2.23981
-1.03706 2.22017
-1.02902 2.20001
-1.02084 2.17974
-1.01223 2.15894
-1.00318 2.13759
-0.99861 2.12687
-0.99393 2.11601
-0.98914 2.10501
-0.98433 2.09397
-0.97940 2.08278
-0.97437 2.07145
-0.96931 2.06007
-0.96414 2.04855
-0.95886 2.03687
-0.95355 2.02515
-0.94813 2.01327
-0.94260 2.00124
-0.93705 1.98915
-0.93138 1.97690
-0.92561 1.96448
-0.91980 1.95201
-0.91388 1.93937
-0.90785 1.92655
-0.90178 1.91368
-0.89561 1.90062
-0.88932 1.88738
-0.88299 1.87408
-0.87655 1.86059
-0.86999 1.84690
-0.86339 1.83314
-0.85667 1.81918
-0.84983 1.80502
-0.84295 1.79077
-0.83595 1.77631
-0.82882 1.76164
-0.82164 1.74687
-0.81434 1.73188
-0.80691 1.71666
-0.79942 1.70134
-0.79180 1.68577
-0.78404 1.66995
-0.77622 1.65402
-0.76826 1.63784
-0.76016 1.62138
-0.75199 1.60479
-0.74367 1.58793
-0.72664 1.55346
-0.71792 1.53585
-0.70007 1.49982
-0.69093 1.48138
-0.67218 1.44361
-0.66256 1.42426
-0.64280 1.38454
-0.63265 1.36415
-0.61177 1.32223
-0.60102 1.30066
-0.57884 1.25619
-0.56740 1.23325
-0.54373 1.18583
-0.53147 1.16127
-0.50601 1.11031
-0.49277 1.08381
-0.46515 1.02852
-0.42031 0.93882
-0.37026 0.83870
-0.31285 0.72387
-0.40430 0.90677
-0.45073 0.99960
-0.46520 1.02852
-0.49286 1.08381
-0.50612 1.11031
-0.53163 1.16127
-0.54392 1.18583
-0.56768 1.23325
-0.57917 1.25619
-0.60146 1.30066
-0.61228 1.32223
-0.63332 1.36415
-0.64357 1.38454
-0.66353 1.42426
-0.67326 1.44361
-0.69228 1.48138
-0.70157 1.49982
-0.71975 1.53585
-0.72865 1.55346
-0.74608 1.58793
-0.75463 1.60479
-0.76304 1.62138
-0.77140 1.63784
-0.77963 1.65402
-0.78774 1.66995
-0.79580 1.68577
-0.80374 1.70134
-0.81158 1.71666
-0.81937 1.73188
-0.82705 1.74687
-0.83464 1.76164
-0.84219 1.77631
-0.84964 1.79077
-0.85701 1.80502
-0.86434 1.81918
-0.87158 1.83314
-0.87874 1.84690
-0.88587 1.86059
-0.89292 1.87408
-0.89989 1.88738
-0.90684 1.90062
-0.91372 1.91368
-0.92053 1.92655
-0.92732 1.93937
-0.93404 1.95201
-0.94070 1.96448
-0.94734 1.97690
-0.95393 1.98915
-0.96046 2.00124
-0.96697 2.01327
-0.97343 2.02515
-0.97984 2.03687
-0.98624 2.04855
-0.99259 2.06007
-0.99890 2.07145
-1.00520 2.08278
-1.01147 2.09397
-1.01769 2.10501
-1.02391 2.11601
-1.03009 2.12687
-1.03624 2.13759
-1.04854 2.15894
-1.06072 2.17974
-1.07282 2.20001
-1.08494 2.22017
-1.09699 2.23981
-1.10900 2.25896
-1.12106 2.27801
-1.13310 2.29658
-1.14515 2.31467
-1.15729 2.33268
-1.16946 2.35022
-1.18169 2.36731
-1.19404 2.38433
-1.20647 2.40090
-1.21903 2.41703
-1.23174 2.43310
-1.24460 2.44873
-1.25765 2.46394
-1.27089 2.47908
-1.28436 2.49380
-1.29807 2.50810
-1.31203 2.52234
-1.32629 2.53616
-1.34086 2.54956
-1.35576 2.56290
-1.37101 2.57582
-1.38667 2.58833
-1.40270 2.60075
-1.41918 2.61276
-1.43615 2.62434
-1.45356 2.63584
-1.47150 2.64691
-1.49000 2.65753
-1.50903 2.66806
-1.52865 2.67814
-1.54891 2.68776
-1.56976 2.69726
-1.59127 2.70629
-1.61347 2.71484
-1.63630 2.72324
-1.65983 2.73114
-1.68407 2.73852
-1.70896 2.74573
-1.73453 2.75241
-1.76077 2.75854
-1.78763 2.76445
-1.81510 2.76979
-1.84313 2.77456
-1.87168 2.77907
-1.90067 2.78299
-1.93004 2.78629
-1.95976 2.78931
-1.98968 2.79169
-2.01970 2.79345
-2.04984 2.79490
-2.07987 2.79570
-2.10969 2.79586
-2.13936 2.79570
-2.16859 2.79490
-2.19728 2.79345
-2.22555 2.79169
-2.25308 2.78931
-2.27978 2.78629
-2.30585 2.78299
-2.33093 2.77907
-2.35497 2.77456
-2.37823 2.76979
-2.40035 2.76445
-2.42130 2.75854
-2.44141 2.75241
-2.46031 2.74573
-2.47799 2.73852
-2.49483 2.73114
-2.51047 2.72324
-2.52490 2.71484
-2.53855 2.70629
-2.55103 2.69726
-2.56238 2.68776
-2.57302 2.67814
-2.58257 2.66806
-2.59107 2.65753
-2.59894 2.64691
-2.60581 2.63584
-2.61173 2.62434
-2.61711 2.61276
-2.62159 2.60075
-2.62520 2.58833
-2.62835 2.57582
-2.63068 2.56290
-2.63224 2.54956
-2.63341 2.53616
-2.63384 2.52234
-2.63357 2.50810
-2.63298 2.49380
-2.63172 2.47908
-2.62983 2.46394
-2.62766 2.44873
-2.62489 2.43310
-2.62154 2.41703
-2.61796 2.40090
-2.61383 2.38433
-2.60916 2.36731
-2.60429 2.35022
-2.59892 2.33267
-2.59305 2.31467
-2.58701 2.29658
-2.58049 2.27801
-2.57350 2.25896
-2.56636 2.23981
-2.55877 2.22017
-2.55073 2.20001
-2.54255 2.17974
-2.53394 2.15894
-2.52489 2.13759
-2.52032 2.12687
-2.51564 2.11601
-2.51085 2.10501
-2.50604 2.09397
-2.50111 2.08278
-2.49608 2.07145
-2.49102 2.06007
-2.48584 2.04855
-2.48057 2.03687
-2.47526 2.02515
-2.46984 2.01327
-2.46431 2.00124
-2.45876 1.98915
-2.45309 1.97690
-2.44731 1.96448
-2.44151 1.95201
-2.43559 1.93937
-2.42956 1.92655
-2.42349 1.91368
-2.41731 1.90062
-2.41102 1.88738
-2.40470 1.87408
-2.39825 1.86059
-2.39170 1.84690
-2.38510 1.83314
-2.37838 1.81918
-2.37154 1.80502
-2.36466 1.79077
-2.35766 1.77631
-2.35053 1.76164
-2.34335 1.74687
-2.33605 1.73188
-2.32862 1.71666
-2.32113 1.70134
-2.31351 1.68577
-2.30575 1.66995
-2.29793 1.65402
-2.28997 1.63784
-2.28187 1.62138
-2.27370 1.60479
-2.26538 1.58793
-2.24835 1.55346
-2.23963 1.53585
-2.22178 1.49982
-2.21264 1.48138
-2.19389 1.44361
-2.18427 1.42426
-2.16451 1.38454
-2.15436 1.36415
-2.13348 1.32223
-2.12273 1.30066
-2.10055 1.25619
-2.08911 1.23325
-2.06544 1.18583
-2.05318 1.16127
-2.02772 1.11031
-2.01448 1.08381
-1.98686 1.02852
-1.94202 0.93882
-1.89197 0.83870
-1.83455 0.72387
-1.92601 0.90677
-1.97244 0.99960
-1.98691 1.02852
-2.01457 1.08381
-2.02783 1.11031
-2.05334 1.16127
-2.06563 1.18583
-2.08939 1.23325
-2.10088 1.25619
-2.12317 1.30066
-2.13399 1.32223
-2.15503 1.36415
-2.16527 1.38454
-2.18524 1.42426
-2.19497 1.44361
-2.21399 1.48138
-2.22328 1.49982
-2.24146 1.53585
-2.25036 1.55346
-2.26779 1.58793
-2.27634 1.60479
-2.28475 1.62138
-2.29311 1.63784
-2.30134 1.65402
-2.30945 1.66995
-2.31751 1.68577
-2.32545 1.70134
-2.33329 1.71666
-2.34108 1.73188
-2.34876 1.74687
-2.35635 1.76164
-2.36390 1.77631
-2.37135 1.79077
-2.37872 1.80502
-2.38604 1.81918
-2.39329 1.83314
-2.40045 1.84690
-2.40758 1.86059
-2.41463 1.87408
-2.42160 1.88738
-2.42855 1.90062
-2.43543 1.91368
-2.44224 1.92655
-2.44903 1.93937
-2.45575 1.95201
-2.46241 1.96448
-2.46905 1.97690
-2.47564 1.98915
-2.48216 2.00124
-2.48868 2.01327
-2.49514 2.02515
