# sss file
1.25324 0.63512
1.17468 0.76452
1.10496 0.87491
1.04081 0.97270
0.98048 1.06133
0.92288 1.14285
0.86729 1.21862
0.81317 1.28959
0.76013 1.35642
0.70785 1.41962
0.65608 1.47956
0.60460 1.53653
0.55324 1.59074
0.50182 1.64236
0.45022 1.69150
0.39831 1.73826
0.34598 1.78269
0.29315 1.82481
0.23974 1.86464
0.18569 1.90216
0.13097 1.93733
0.07557 1.97011
0.01949 2.00044
-0.03722 2.02825
-0.09449 2.05346
-0.15222 2.07598
-0.21025 2.09573
-0.26841 2.11262
-0.32647 2.12657
-0.38417 2.13750
-0.44124 2.14535
-0.49737 2.15008
-0.55223 2.15166
-0.60552 2.15008
-0.65691 2.14535
-0.70612 2.13750
-0.75290 2.12657
-0.79701 2.11262
-0.83828 2.09573
-0.87657 2.07598
-0.91177 2.05346
-0.94383 2.02825
-0.97273 2.00044
-0.99848 1.97011
-1.02110 1.93733
-1.04065 1.90216
-1.05718 1.86464
-1.07076 1.82481
-1.08147 1.78269
-1.08937 1.73826
-1.09452 1.69150
-1.09698 1.64236
-1.09678 1.59074
-1.09394 1.53653
-1.08845 1.47956
-1.08028 1.41962
-1.06936 1.35642
-1.05556 1.28959
-1.03872 1.21862
-1.01853 1.14285
-0.99461 1.06133
-0.96631 0.97270
-0.93267 0.87491
-0.89201 0.76452
-0.84116 0.63512
-0.91972 0.76452
-0.98944 0.87491
-1.05359 0.97270
-1.11392 1.06133
-1.17151 1.14285
-1.22711 1.21862
-1.28122 1.28959
-1.33426 1.35642
-1.38654 1.41962
-1.43831 1.47956
-1.48979 1.53653
-1.54116 1.59074
-1.59257 1.64236
-1.64418 1.69150
-1.69609 1.73826
-1.74842 1.78269
-1.80125 1.82481
-1.85466 1.86464
-1.90871 1.90216
-1.96342 1.93733
-2.01883 1.97011
-2.07490 2.00044
-2.13162 2.02825
-2.18889 2.05346
-2.24661 2.07598
-2.30465 2.09573
-2.36281 2.11262
-2.42086 2.12657
-2.47857 2.13750
-2.53564 2.14535
-2.59176 2.15008
-2.64663 2.15166
-2.69991 2.15008
-2.75131 2.14535
-2.80052 2.13750
-2.84729 2.12657
-2.89141 2.11262
-2.93268 2.09573
-2.97096 2.07598
-3.00616 2.05346
-3.03823 2.02825
-3.06713 2.00044
-3.09288 1.97011
-3.11550 1.93733
-3.13504 1.90216
-3.15157 1.86464
-3.16516 1.82481
-3.17587 1.78269
-3.18377 1.73826
-3.18892 1.69150
-3.19138 1.64236
-3.19117 1.59074
-3.18833 1.53653
-3.18284 1.47956
-3.17467 1.41962
-3.16375 1.35642
-3.14996 1.28959
-3.13311 1.21862
-3.11293 1.14285
-3.08900 1.06133
-3.06071 0.97270
-3.02706 0.87491
-2.98640 0.76452
-2.93555 0.63512
-3.01411 0.76452
-3.08383 0.87491
-3.14798 0.97270
-3.20831 1.06133
-3.26591 1.14285
-3.32150 1.21862
-3.37562 1.28959
-3.42866 1.35642
-3.48094 1.41962
-3.53271 1.47956
-3.58419 1.53653
-3.63555 1.59074
-3.68697 1.64236
-3.73857 1.69150
-3.79049 1.73826
-3.84281 1.78269
-3.89564 1.82481
-3.94906 1.86464
-4.00310 1.90216
-4.05782 1.93733
-4.11322 1.97011
-4.16930 2.00044
-4.22601 2.02825
-4.28328 2.05346
-4.34101 2.07598
-4.39904 2.09573
-4.45720 2.11262
-4.51526 2.12657
-4.57297 2.13750
-4.63003 2.14535
-4.68616 2.15008
-4.74102 2.15166
-4.79431 2.15008
-4.84570 2.14535
-4.89491 2.13750
-4.94169 2.12657
-4.98580 2.11262
-5.02707 2.09573
-5.06536 2.07598
-5.10056 2.05346
-5.13262 2.02825
-5.16152 2.00044
-5.18727 1.97011
-5.20989 1.93733
-5.22944 1.90216
-5.24597 1.86464
-5.25955 1.82481
-5.27026 1.78269
-5.27816 1.73826
-5.28331 1.69150
-5.28577 1.64236
-5.28557 1.59074
-5.28273 1.53653
-5.27724 1.47956
-5.26907 1.41962
-5.25815 1.35642
-5.24435 1.28959
-5.22751 1.21862
-5.20732 1.14285
-5.18340 1.06133
-5.15510 0.97270
-5.12146 0.87491
-5.08080 0.76452
-5.02995 0.63512
-5.10851 0.76452
-5.17823 0.87491
-5.24238 0.97270
-5.30271 1.06133
-5.36030 1.14285
-5.41590 1.21862
-5.47002 1.28959
-5.52305 1.35642
-5.57533 1.41962
-5.62710 1.47956
-5.67858 1.53653
-5.72995 1.59074
-5.78136 1.64236
-5.83297 1.69150
-5.88488 1.73826
-5.93721 1.78269
-5.99004 1.82481
-6.04345 1.86464
-6.09750 1.90216
-6.15221 1.93733
-6.20762 1.97011
-6.26369 2.00044
-6.32041 2.02825
-6.37768 2.05346
-6.43540 2.07598
-6.49344 2.09573
-6.55160 2.11262
-6.60965 2.12657
-6.66736 2.13750
-6.72443 2.14535
-6.78055 2.15008
-6.83542 2.15166
-6.88873 2.20152
-6.94418 2.24987
-7.00210 2.29664
-7.06291 2.34175
-7.12705 2.38506
-7.19499 2.42643
-7.26723 2.46563
-7.34426 2.50240
-7.42654 2.53643
-7.51441 2.56733
-7.60801 2.59469
-7.70715 2.61801
-7.81119 2.63683
-7.91891 2.65067
-8.02853 2.65915
-8.13779 2.66201
-8.24419 2.65915
-8.34534 2.65067
-8.43921 2.63683
-8.52443 2.61801
-8.60024 2.59469
-8.66649 2.56733
-8.72345 2.53643
-8.77171 2.50240
-8.81197 2.46563
-8.84501 2.42643
-8.87158 2.38506
-8.89240 2.34175
-8.90811 2.29664
-8.91926 2.24987
-8.92636 2.20152
-8.92981 2.15166
-8.98313 2.20152
-9.03857 2.24987
-9.09650 2.29664
-9.15731 2.34175
-9.22145 2.38506
-9.28939 2.42643
-9.36162 2.46563
-9.43866 2.50240
-9.52094 2.53643
-9.60881 2.56733
-9.70241 2.59469
-9.80155 2.61801
-9.90558 2.63683
-10.01330 2.65067
-10.12292 2.65915
-10.23218 2.66201
-10.33859 2.65915
-10.43973 2.65067
-10.53361 2.63683
-10.61882 2.61801
-10.69463 2.59469
-10.76088 2.56733
-10.81785 2.53643
-10.86610 2.50240
-10.90636 2.46563
-10.93940 2.42643
-10.96598 2.38506
-10.98679 2.34175
-11.00250 2.29664
-11.01365 2.24987
-11.02075 2.20152
-11.02421 2.15166
-11.07753 2.20152
-11.13297 2.24987
-11.19089 2.29664
-11.25170 2.34175
-11.31584 2.38506
-11.38378 2.42643
-11.45602 2.46563
-11.53305 2.50240
-11.61533 2.53643
-11.70320 2.56733
-11.79680 2.59469
-11.89594 2.61801
-11.99998 2.63683
-12.10770 2.65067
-12.21732 2.65915
-12.32658 2.66201
-12.43298 2.65915
-12.53413 2.65067
-12.62800 2.63683
-12.71322 2.61801
-12.78903 2.59469
-12.85528 2.56733
-12.91225 2.53643
-12.96050 2.50240
-13.00076 2.46563
-13.03380 2.42643
-13.06037 2.38506
-13.08119 2.34175
-13.09690 2.29664
-13.10805 2.24987
-13.11515 2.20152
-13.11860 2.15166
-13.17037 2.20157
-13.22415 2.25005
-13.28030 2.29707
-13.33922 2.34254
-13.40135 2.38636
-13.46718 2.42839
-13.53724 2.46843
-13.61208 2.50624
-13.69224 2.54153
-13.77818 2.57394
-13.87022 2.60305
-13.96841 2.62839
-14.07236 2.64945
-14.18111 2.66573
-14.29306 2.67676
-14.40598 2.68221
-14.51722 2.68189
-14.62407 2.67580
-14.72412 2.66416
-14.81557 2.64732
-14.89735 2.62576
-14.96907 2.59997
-15.03092 2.57047
-15.08345 2.53772
-15.12739 2.50213
-15.16359 2.46406
-15.19288 2.42379
-15.21604 2.38155
-15.23378 2.33754
-15.24672 2.29189
-15.25540 2.24470
-15.26029 2.19606
-15.31232 2.24333
-15.36653 2.28923
-15.42330 2.33368
-15.48301 2.37659
-15.54611 2.41784
-15.61308 2.45725
-15.68441 2.49463
-15.76060 2.52972
-15.84211 2.56220
-15.92928 2.59172
-16.02227 2.61785
-16.12090 2.64015
-16.22452 2.65814
-16.33193 2.67137
-16.44137 2.67948
-16.55057 2.68221
-16.65703 2.67948
-16.75836 2.67137
-16.85254 2.65814
-16.93817 2.64015
-17.01450 2.61785
-17.08136 2.59172
