# sss file
-1.57080 3.14159
-1.47035 3.14064
-1.36983 3.13961
-1.26914 3.13827
-1.16855 3.13706
-1.06822 3.13643
-0.96793 3.13589
-0.86729 3.13456
-0.76633 3.13267
-0.66573 3.13146
-0.56569 3.13139
-0.46557 3.13114
-0.36470 3.12940
-0.26350 3.12699
-0.16297 3.12593
-0.06323 3.12647
0.03681 3.12638
0.13794 3.12411
0.23938 3.12125
0.33975 3.12050
0.43917 3.12165
0.53921 3.12158
0.64065 3.11870
0.74225 3.11549
0.84241 3.11519
0.94154 3.11693
1.04164 3.11672
1.14342 3.11315
1.24514 3.10972
1.34500 3.11000
1.44386 3.11228
1.54412 3.11177
1.64626 3.10748
1.74801 3.10398
1.84753 3.10494
1.94616 3.10768
2.04664 3.10671
2.14914 3.10171
2.25086 3.09828
2.34999 3.10002
2.44844 3.10311
2.54923 3.10153
2.65208 3.09583
2.75367 3.09265
2.85238 3.09524
2.95073 3.09854
3.05189 3.09621
3.15506 3.08988
3.25644 3.08711
3.35470 3.09059
3.45302 3.09395
3.55463 3.09075
3.65806 3.08387
3.75915 3.08170
3.85697 3.08606
3.95534 3.08930
4.05743 3.08513
4.16108 3.07783
4.26179 3.07641
4.35918 3.08164
4.45771 3.08458
4.56032 3.07936
4.66411 3.07178
4.76436 3.07128
4.86134 3.07731
4.96012 3.07976
5.06328 3.07344
5.16712 3.06575
5.26684 3.06631
5.36347 3.07304
5.46259 3.07481
5.56631 3.06738
5.67011 3.05977
5.76924 3.06151
5.86559 3.06882
5.96514 3.06971
6.06940 3.06119
6.17306 3.05387
6.27155 3.05689
6.36769 3.06461
6.46778 3.06444
6.57254 3.05490
6.67595 3.04808
6.77378 3.05243
6.86980 3.06039
6.97050 3.05899
7.07574 3.04852
7.17879 3.04242
7.27593 3.04813
7.37194 3.05612
7.47332 3.05335
7.57896 3.04208
7.68154 3.03692
7.77801 3.04398
7.87411 3.05178
7.97624 3.04752
8.08220 3.03560
8.18420 3.03160
8.28002 3.03996
8.37634 3.04732
8.47925 3.04149
8.58544 3.02913
8.68677 3.02648
8.78198 3.03605
8.87864 3.04273
8.98237 3.03528
9.08866 3.02269
9.18922 3.02156
9.28389 3.03223
9.38102 3.03797
9.48557 3.02888
9.59185 3.01631
9.69157 3.01686
9.78577 3.02847
9.88349 3.03303
9.98885 3.02232
10.09499 3.01003
10.19381 3.01239
10.28765 3.02472
10.38608 3.02787
10.49220 3.01561
10.59807 3.00388
10.69595 3.00813
10.78953 3.02096
10.88877 3.02248
10.99562 3.00879
11.10106 2.99790
11.19797 3.00408
11.29143 3.01716
11.39159 3.01685
11.49908 3.00187
11.60396 2.99212
11.69990 3.00023
11.79338 3.01327
11.89453 3.01096
12.00256 2.99490
12.10674 2.98655
12.20173 2.99657
12.29539 3.00925
12.39760 3.00483
12.50606 2.98792
12.60940 2.98123
12.70349 2.99305
12.79748 3.00507
12.90080 2.99844
13.00955 2.98095
13.11194 2.97616
13.20519 2.98967
13.29967 3.00071
13.40411 2.99182
13.51300 2.97404
13.61433 2.97138
13.70684 2.98637
13.80197 2.99611
13.90753 2.98498
14.01641 2.96723
14.11659 2.96687
14.20846 2.98313
14.30439 2.99126
14.41106 2.97793
14.51974 2.96057
14.61870 2.96264
14.71008 2.97990
14.80696 2.98613
14.91467 2.97072
15.02299 2.95408
15.12068 2.95869
15.21170 2.97665
15.30967 2.98071
15.41835 2.96336
15.52612 2.94781
15.62253 2.95501
15.71337 2.97332
15.81254 2.97498
15.92208 2.95589
16.02913 2.94180
16.12425 2.95157
16.21510 2.96987
16.31557 2.96893
16.42585 2.94837
16.53200 2.93607
16.62586 2.94835
16.71690 2.96626
16.81875 2.96257
16.92962 2.94083
17.03471 2.93064
17.12738 2.94531
17.21881 2.96245
17.32209 2.95589
17.43338 2.93331
17.53726 2.92555
17.62882 2.94244
17.72084 2.95839
17.82557 2.94893
17.93710 2.92588
18.03964 2.92079
18.13020 2.93967
18.22301 2.95405
18.32920 2.94168
18.44075 2.91857
18.54185 2.91639
18.63155 2.93697
18.72534 2.94939
18.83295 2.93419
18.94432 2.91144
19.04388 2.91233
19.13290 2.93429
19.22785 2.94439
19.33680 2.92648
19.44778 2.90452
19.54574 2.90861
19.63425 2.93158
19.73053 2.93903
19.84075 2.91859
19.95111 2.89788
20.04744 2.90521
20.13566 2.92878
20.23340 2.93329
20.34476 2.91058
20.45428 2.89154
20.54899 2.90212
20.63713 2.92584
20.73647 2.92716
20.84881 2.90248
20.95728 2.88554
21.05040 2.89931
21.13870 2.92271
21.23972 2.92065
21.35287 2.89436
21.46009 2.87991
21.55169 2.89673
21.64039 2.91933
21.74317 2.91376
21.85692 2.88626
21.96271 2.87468
22.05288 2.89434
22.14222 2.91567
22.24680 2.90651
22.36093 2.87824
22.46513 2.86986
22.55401 2.89210
22.64422 2.91167
22.75060 2.89892
22.86487 2.87037
22.96733 2.86546
23.05509 2.88994
23.14641 2.90730
23.25455 2.89102
23.36871 2.86270
23.46932 2.86148
23.55615 2.88783
23.64880 2.90253
23.75863 2.88286
23.87242 2.85528
23.97111 2.85791
24.05722 2.88568
24.15140 2.89732
24.26283 2.87447
24.37598 2.84816
24.47270 2.85473
24.55834 2.88345
24.65423 2.89166
24.76711 2.86591
24.87936 2.84140
24.97410 2.85193
25.05953 2.88107
25.15729 2.88555
25.27145 2.85724
25.38255 2.83504
25.47534 2.84946
25.56083 2.87848
25.66058 2.87898
25.77581 2.84851
25.88551 2.82911
25.97643 2.84728
26.06226 2.87561
26.16409 2.87196
26.28017 2.83980
26.38825 2.82364
26.47739 2.84535
26.56386 2.87242
26.66782 2.86449
26.78449 2.83117
26.89075 2.81865
26.97827 2.84361
27.06564 2.86886
27.17176 2.85663
27.28874 2.82267
27.39300 2.81415
27.47908 2.84200
27.56764 2.86486
27.67588 2.84838
27.79288 2.81440
27.89500 2.81015
27.97985 2.84045
28.06987 2.86041
28.18017 2.83981
28.29688 2.80639
28.39676 2.80664
28.48063 2.83889
28.57235 2.85546
28.68461 2.83095
28.80071 2.79873
28.89828 2.80360
28.98145 2.83726
29.07509 2.84998
29.18915 2.82187
29.30435 2.79146
29.39958 2.80100
29.48234 2.83548
29.57809 2.84398
