# sss file
-1.57080 3.14159
-3.15726 3.13613
-6.27458 3.13075
-7.85398 3.14159
-9.43187 3.12529
-12.54925 3.11990
-12.55839 3.09818
-15.69846 3.09818
-15.72658 3.11440
-18.84395 3.10901
-18.85853 3.09818
-21.97861 3.09818
-22.00129 3.10356
-25.11867 3.09816
-25.13868 3.09818
-28.25875 3.09818
-28.27601 3.09270
-31.41337 3.08728
-31.43882 3.09818
-34.55889 3.09818
-34.57071 3.08182
-37.68809 3.07643
-37.69725 3.05474
-40.81732 3.05474
-40.84543 3.07097
-43.98279 3.06554
-43.99739 3.05474
-47.11746 3.05474
-47.14013 3.06008
-50.25751 3.05468
-50.27754 3.05474
-53.39761 3.05474
-53.41484 3.04922
-56.54923 3.04379
-56.57414 3.05474
-59.69442 3.05474
-59.70463 3.03833
-62.82386 3.03293
-62.83052 3.01127
-65.95392 3.01127
-65.97869 3.02747
-69.11665 3.02203
-69.12717 3.01127
-72.25238 3.01127
-72.27024 3.01657
-75.39386 3.01116
-75.40850 3.01127
-78.53589 3.01127
-78.54710 3.00570
-81.67265 3.00028
-81.69160 3.01127
-84.83367 3.01127
-84.83839 2.99479
-87.96506 2.98938
-87.96674 2.96773
-91.09687 2.96773
-91.11702 2.98391
-94.24512 2.97848
-94.25140 2.96773
-97.38284 2.96773
-97.39677 2.97302
-100.52609 2.96759
-100.53709 2.96773
-103.66966 2.96773
-103.67745 2.96212
-106.81808 2.95667
-106.83390 2.96773
-109.96713 2.96773
-109.96886 2.95119
-113.09983 2.94576
-113.09873 2.92411
-116.23283 2.92411
-116.25037 2.94028
-119.38215 2.93484
-119.38599 2.92411
-122.52084 2.92411
-122.53244 2.92936
-125.66492 2.92392
-125.67376 2.92411
-128.80931 2.92411
-128.81500 2.91844
-131.94815 2.91299
-131.96204 2.92411
-135.09819 2.92411
-135.09802 2.90750
-138.23174 2.90205
-138.22886 2.88038
-141.36565 2.88038
-141.38151 2.89656
-144.51573 2.89110
-144.51797 2.88038
-147.65513 2.88038
-147.66519 2.88562
-150.79992 2.88015
-150.80733 2.88038
-153.94494 2.88038
-153.94922 2.87466
-157.08439 2.86919
-157.09699 2.88038
-160.23502 2.88038
-160.23354 2.86369
-163.36896 2.85822
-163.36485 2.83653
-166.50332 2.83653
-166.51802 2.85272
-169.64736 2.84725
-169.64849 2.83653
-172.78727 2.83653
-172.79624 2.84175
-175.93261 2.83626
-175.93899 2.83653
-179.07810 2.83653
-179.08135 2.83075
-182.21796 2.82526
-182.22962 2.83653
-185.36913 2.83653
-185.36668 2.81975
-188.50343 2.81425
-188.49839 2.79253
-191.63238 2.79253
-191.64622 2.80875
-194.78341 2.80324
-194.78370 2.79253
-197.92373 2.79253
-197.93188 2.79772
-201.06933 2.79222
-201.07495 2.79253
-204.21525 2.79253
-204.21771 2.78669
-207.35008 2.78118
-207.36105 2.79253
-210.50152 2.79253
-210.49830 2.77565
-213.63616 2.77013
-213.63042 2.74836
-216.77123 2.74836
-216.78441 2.76459
-219.91765 2.75908
-219.91730 2.74836
-223.05805 2.74836
-223.06556 2.75353
-226.20405 2.74800
-226.20908 2.74837
-229.34524 2.74836
-229.34707 2.74246
-232.48563 2.73692
-232.49608 2.74837
-235.63752 2.74836
-235.63369 2.73136
-238.76777 2.72583
-238.76147 2.70400
-241.90295 2.70400
-241.91563 2.72026
-245.05439 2.71471
-245.05352 2.70400
-248.19084 2.70400
-248.19784 2.70915
-251.33709 2.70359
-251.34167 2.70400
-254.48326 2.70400
-254.48458 2.69802
-257.61973 2.69246
-257.62977 2.70400
-260.77156 2.70400
-260.76721 2.68688
-263.90376 2.68131
-263.89697 2.65941
-267.03774 2.65941
-267.05002 2.67572
-270.18584 2.67015
-270.18453 2.65941
-273.32665 2.65941
-273.33325 2.66455
-276.47288 2.65896
-276.47708 2.65941
-279.61535 2.65941
-279.61626 2.65336
