# sss file
-1.57080 3.14159
-0.51600 3.12639
-0.50840 3.11119
-0.50079 3.09599
-0.49319 3.08078
-0.48559 3.06557
-0.47798 3.05036
-0.47037 3.03514
-0.46276 3.01992
-0.45514 3.00469
-0.44752 2.98945
-0.43990 2.97420
-0.43227 2.95894
-0.42463 2.94367
-0.41699 2.92839
-0.40935 2.91310
-0.40169 2.89779
-0.39403 2.88247
-0.38637 2.86713
-0.37869 2.85178
-0.37100 2.83641
-0.36331 2.82102
-0.35561 2.80561
-0.34789 2.79019
-0.34017 2.77474
-0.33243 2.75927
-0.32469 2.74377
-0.31693 2.72826
-0.30916 2.71271
-0.30137 2.69714
-0.29357 2.68155
-0.28576 2.66592
-0.27793 2.65027
-0.27009 2.63458
-0.26223 2.61886
-0.25436 2.60311
-0.24646 2.58732
-0.23855 2.57150
-0.23062 2.55565
-0.22268 2.53975
-0.21471 2.52382
-0.20672 2.50784
-0.19871 2.49182
-0.19068 2.47576
-0.18263 2.45966
-0.17455 2.44350
-0.16645 2.42730
-0.15833 2.41106
-0.15018 2.39476
-0.14200 2.37841
-0.13380 2.36200
-0.12557 2.34554
-0.11731 2.32902
-0.10902 2.31244
-0.10070 2.29581
-0.09235 2.27911
-0.08397 2.26234
-0.07556 2.24551
-0.06711 2.22861
-0.05862 2.21164
-0.05010 2.19460
-0.04154 2.17748
-0.03295 2.16029
-0.02431 2.14302
-0.01563 2.12566
-0.00691 2.10822
0.00185 2.09070
0.01066 2.07308
0.01951 2.05537
0.02841 2.03757
0.03736 2.01967
0.04637 2.00167
0.05542 1.98356
0.06453 1.96535
0.07369 1.94702
0.08291 1.92858
0.09219 1.91002
0.10153 1.89134
0.11093 1.87253
0.12040 1.85359
0.12994 1.83451
0.13955 1.81530
0.14923 1.79594
0.15899 1.77643
0.16882 1.75676
0.17874 1.73693
0.18874 1.71693
0.19882 1.69676
0.20900 1.67641
0.21927 1.65586
0.22964 1.63513
0.24011 1.61419
0.25068 1.59304
0.26137 1.57166
0.27217 1.55006
0.28309 1.52822
0.29414 1.50612
0.30532 1.48376
0.31664 1.46112
0.32810 1.43820
0.33972 1.41497
0.32520 1.42665
0.31072 1.43808
0.29628 1.44927
0.28189 1.46018
0.26750 1.47089
0.25318 1.48131
0.23888 1.49153
0.22461 1.50150
0.21039 1.51122
0.19619 1.52070
0.18204 1.52994
0.16790 1.53898
0.15380 1.54775
0.13974 1.55630
0.12571 1.56461
0.11171 1.57271
0.09776 1.58056
0.08384 1.58819
0.06996 1.59559
0.05612 1.60274
0.04231 1.60969
0.02854 1.61640
0.01483 1.62285
0.00116 1.62910
-0.01248 1.63513
-0.02607 1.64093
-0.03960 1.64648
-0.05309 1.65181
-0.06651 1.65690
-0.07989 1.66179
-0.09320 1.66642
-0.10645 1.67083
-0.11964 1.67500
-0.13278 1.67896
-0.14584 1.68268
-0.15883 1.68617
-0.17174 1.68943
-0.18458 1.69245
-0.19735 1.69524
-0.21003 1.69780
-0.22262 1.70012
-0.23513 1.70222
-0.24756 1.70409
-0.25989 1.70573
-0.27211 1.70712
-0.28425 1.70830
-0.29628 1.70924
-0.30819 1.70992
-0.32001 1.71039
-0.33170 1.71062
-0.34329 1.71062
-0.35476 1.71039
-0.36610 1.70992
-0.37733 1.70924
-0.38842 1.70830
-0.39938 1.70712
-0.41022 1.70573
-0.42091 1.70409
-0.43146 1.70222
-0.44187 1.70012
-0.45214 1.69780
-0.46226 1.69524
-0.47223 1.69245
-0.48205 1.68943
-0.49172 1.68617
-0.50121 1.68268
-0.51055 1.67896
-0.51973 1.67500
-0.52874 1.67083
-0.53759 1.66642
-0.54625 1.66176
-0.55476 1.65690
-0.56310 1.65181
-0.57125 1.64648
-0.57921 1.64090
-0.58701 1.63513
-0.59462 1.62910
-0.60206 1.62285
-0.60930 1.61637
-0.61636 1.60969
-0.62323 1.60274
-0.62991 1.59559
-0.63638 1.58817
-0.64269 1.58056
-0.64880 1.57271
-0.65470 1.56461
-0.66041 1.55630
-0.66593 1.54775
-0.67123 1.53895
-0.67634 1.52994
-0.68126 1.52070
-0.68597 1.51120
-0.69047 1.50147
-0.69478 1.49153
-0.69887 1.48131
-0.70275 1.47086
-0.70643 1.46018
-0.70991 1.44927
-0.71317 1.43808
-0.71621 1.42665
-0.71720 1.42275
-0.73171 1.43438
-0.74619 1.44577
-0.76063 1.45687
-0.77505 1.46777
-0.78941 1.47841
-0.80377 1.48881
-0.81806 1.49897
-0.83235 1.50890
-0.84658 1.51855
-0.86079 1.52800
-0.87497 1.53723
-0.88912 1.54620
-0.90323 1.55494
-0.91731 1.56346
-0.93135 1.57172
-0.94537 1.57979
-0.95933 1.58758
-0.97328 1.59519
-0.98717 1.60253
-1.00104 1.60966
-1.01487 1.61655
-1.02865 1.62322
-1.04241 1.62968
-1.05610 1.63588
-1.06975 1.64186
-1.08336 1.64762
-1.09691 1.65313
-1.11043 1.65844
-1.12387 1.66349
-1.13728 1.66834
-1.15061 1.67293
-1.16390 1.67733
-1.17712 1.68146
-1.19027 1.68538
-1.20335 1.68905
-1.21637 1.69250
-1.22931 1.69572
-1.24217 1.69871
-1.25496 1.70146
-1.26767 1.70399
-1.28028 1.70629
-1.29283 1.70835
-1.30526 1.71017
-1.31762 1.71178
-1.32987 1.71314
-1.34202 1.71427
-1.35406 1.71515
-1.36601 1.71583
-1.37785 1.71625
-1.38955 1.71643
-1.40117 1.71640
-1.41265 1.71613
-1.42402 1.71562
-1.43526 1.71487
-1.44637 1.71392
-1.45735 1.71271
-1.46820 1.71127
-1.47890 1.70959
-1.48947 1.70767
-1.49990 1.70555
-1.51018 1.70318
-1.52031 1.70058
-1.53028 1.69775
-1.54011 1.69468
-1.54978 1.69138
-1.55929 1.68785
-1.56863 1.68409
-1.57781 1.68008
-1.58683 1.67587
-1.59568 1.67142
-1.60436 1.66675
-1.61286 1.66182
-1.62121 1.65669
-1.62935 1.65132
-1.63732 1.64570
-1.64512 1.63989
-1.65273 1.63383
-1.66016 1.62754
-1.66740 1.62102
-1.67444 1.61427
-1.68130 1.60729
-1.68799 1.60009
-1.69447 1.59266
-1.70076 1.58500
-1.70685 1.57711
-1.71275 1.56898
-1.71845 1.56062
-1.72395 1.55204
-1.72924 1.54321
-1.73435 1.53417
-1.73925 1.52486
-1.74395 1.51535
-1.74845 1.50559
-1.75272 1.49559
-1.75680 1.48533
-1.76069 1.47488
-1.76434 1.46414
-1.76780 1.45319
-1.77105 1.44197
-1.77407 1.43051
-1.77407 1.43048
-1.78860 1.44206
-1.80308 1.45339
-1.81754 1.46448
-1.83195 1.47530
-1.84633 1.48589
-1.86069 1.49626
-1.87500 1.50637
-1.88930 1.51626
-1.90354 1.52588
-1.91776 1.53529
-1.93196 1.54446
-1.94612 1.55340
-1.96025 1.56211
-1.97434 1.57056
-1.98840 1.57880
-2.00243 1.58681
-2.01643 1.59460
-2.03040 1.60216
-2.04432 1.60947
-2.05820 1.61655
-2.07205 1.62343
-2.08585 1.63004
-2.09962 1.63646
-2.11335 1.64264
-2.12702 1.64858
-2.14066 1.65429
-2.15423 1.65978
-2.16776 1.66503
-2.18124 1.67006
-2.19467 1.67487
-2.20803 1.67944
-2.22134 1.68378
-2.23458 1.68788
-2.24776 1.69176
-2.26087 1.69542
-2.27392 1.69883
-2.28688 1.70202
-2.29978 1.70497
-2.31258 1.70767
-2.32530 1.71017
-2.33796 1.71243
-2.35051 1.71444
-2.36297 1.71623
-2.37534 1.71778
-2.38762 1.71911
-2.39980 1.72022
-2.41187 1.72107
-2.42384 1.72169
-2.43569 1.72207
-2.44742 1.72222
-2.45904 1.72215
-2.47055 1.72185
-2.48194 1.72129
-2.49320 1.72052
-2.50431 1.71949
-2.51532 1.71826
-2.52618 1.71678
-2.53691 1.71507
-2.54748 1.71311
-2.55792 1.71095
-2.56820 1.70853
-2.57835 1.70588
-2.58834 1.70301
-2.59817 1.69990
-2.60785 1.69656
-2.61736 1.69298
-2.62673 1.68920
-2.63591 1.68515
-2.64494 1.68090
-2.65379 1.67641
-2.66247 1.67167
-2.67097 1.66672
-2.67930 1.66153
-2.68745 1.65612
-2.69544 1.65049
-2.70322 1.64461
-2.71083 1.63851
-2.71825 1.63218
-2.72548 1.62563
-2.73254 1.61884
-2.73939 1.61182
-2.74607 1.60459
-2.75253 1.59710
-2.75882 1.58942
-2.76491 1.58147
-2.77079 1.57330
-2.77648 1.56491
-2.78198 1.55630
-2.78726 1.54742
-2.79235 1.53835
-2.79724 1.52901
-2.80193 1.51946
-2.80640 1.50964
-2.81067 1.49961
-2.81474 1.48935
-2.81860 1.47883
-2.82225 1.46809
-2.82569 1.45707
-2.82891 1.44582
-2.83095 1.43820
-2.84547 1.44973
-2.85996 1.46101
-2.87443 1.47205
-2.88885 1.48283
-2.90324 1.49338
-2.91760 1.50367
-2.93192 1.51374
-2.94623 1.52360
-2.96049 1.53318
-2.97474 1.54255
-2.98893 1.55166
-3.00311 1.56057
-3.01725 1.56922
-3.03138 1.57767
-3.04546 1.58588
-3.05951 1.59383
-3.07352 1.60158
-3.08749 1.60908
-3.10145 1.61637
-3.11535 1.62343
-3.12922 1.63025
-3.14305 1.63685
-3.15684 1.64321
-3.17059 1.64935
-3.18429 1.65527
-3.19794 1.66094
-3.21156 1.66642
-3.22510 1.67162
-3.23861 1.67661
-3.25205 1.68138
-3.26545 1.68592
-3.27878 1.69021
-3.29205 1.69430
-3.30524 1.69813
-3.31838 1.70174
-3.33145 1.70513
-3.34445 1.70828
-3.35736 1.71120
-3.37019 1.71387
-3.38295 1.71633
-3.39562 1.71854
-3.40820 1.72052
-3.42069 1.72227
-3.43309 1.72380
-3.44538 1.72507
-3.45757 1.72613
-3.46967 1.72695
-3.48165 1.72752
-3.49353 1.72787
-3.50529 1.72800
-3.51693 1.72787
-3.52845 1.72752
-3.53986 1.72695
-3.55113 1.72613
-3.56228 1.72507
-3.57329 1.72380
-3.58417 1.72227
-3.59490 1.72052
-3.60550 1.71854
-3.61594 1.71630
-3.62625 1.71387
-3.63640 1.71117
-3.64640 1.70825
-3.65624 1.70510
-3.66592 1.70172
-3.67545 1.69813
-3.68482 1.69427
-3.69400 1.69019
-3.70304 1.68589
-3.71189 1.68136
-3.72057 1.67658
-3.72908 1.67160
-3.73741 1.66636
-3.74557 1.66092
-3.75354 1.65525
-3.76133 1.64933
-3.76893 1.64319
-3.77636 1.63682
-3.78359 1.63023
-3.79063 1.62340
-3.79748 1.61634
-3.80415 1.60905
-3.81060 1.60152
-3.81687 1.59378
-3.82296 1.58582
-3.82884 1.57762
-3.83452 1.56919
-3.84000 1.56051
-3.84528 1.55163
-3.85036 1.54250
-3.85522 1.53312
-3.85990 1.52354
-3.86435 1.51369
-3.86862 1.50362
-3.87267 1.49332
-3.87652 1.48277
-3.88014 1.47197
-3.88358 1.46095
-3.88678 1.44967
-3.88780 1.44588
-3.90234 1.45736
-3.91684 1.46860
-3.93129 1.47956
-3.94572 1.49030
-3.96012 1.50080
-3.97450 1.51109
-3.98885 1.52112
-4.00315 1.53090
-4.01744 1.54045
-4.03168 1.54976
-4.04591 1.55887
-4.06010 1.56771
-4.07426 1.57633
-4.08839 1.58473
-4.10250 1.59290
-4.11657 1.60084
-4.13059 1.60853
-4.14459 1.61600
-4.15858 1.62327
-4.17250 1.63028
-4.18638 1.63706
-4.20024 1.64363
-4.21404 1.64995
-4.22783 1.65607
-4.24155 1.66194
-4.25523 1.66760
-4.26886 1.67300
-4.28244 1.67819
-4.29596 1.68314
-4.30944 1.68788
-4.32286 1.69237
-4.33621 1.69663
-4.34951 1.70068
-4.36275 1.70449
-4.37590 1.70805
-4.38899 1.71140
-4.40201 1.71452
-4.41494 1.71738
-4.42781 1.72004
-4.44058 1.72245
-4.45328 1.72462
-4.46589 1.72658
-4.47840 1.72830
-4.49082 1.72977
-4.50314 1.73102
-4.51536 1.73204
-4.52748 1.73282
-4.53948 1.73337
-4.55137 1.73366
-4.56315 1.73374
-4.57481 1.73359
-4.58636 1.73319
-4.59777 1.73257
-4.60907 1.73172
-4.62023 1.73062
-4.63126 1.72930
-4.64215 1.72775
-4.65291 1.72595
-4.66351 1.72392
-4.67397 1.72164
-4.68429 1.71916
-4.69444 1.71643
-4.70446 1.71349
-4.71432 1.71029
-4.72400 1.70687
-4.73353 1.70321
-4.74291 1.69934
-4.75211 1.69521
-4.76114 1.69087
-4.77000 1.68630
-4.77868 1.68149
-4.78720 1.67646
-4.79552 1.67119
-4.80368 1.66570
-4.81165 1.65996
-4.81943 1.65401
-4.82703 1.64783
-4.83446 1.64142
-4.84169 1.63479
-4.84871 1.62790
-4.85556 1.62081
-4.86223 1.61350
-4.86868 1.60594
-4.87495 1.59816
-4.88101 1.59014
-4.88688 1.58190
-4.89256 1.57344
-4.89802 1.56472
-4.90328 1.55578
-4.90836 1.54664
-4.91321 1.53723
-4.91787 1.52758
-4.92232 1.51772
-4.92657 1.50762
-4.93060 1.49726
-4.93443 1.48668
-4.93805 1.47587
-4.94146 1.46479
-4.94463 1.45350
-4.95917 1.46493
-4.97367 1.47612
-4.98816 1.48707
-5.00259 1.49777
-5.01700 1.50823
-5.03138 1.51844
-5.04574 1.52844
-5.06007 1.53819
-5.07436 1.54770
-5.08863 1.55697
-5.10287 1.56602
-5.11708 1.57483
-5.13125 1.58342
-5.14541 1.59179
-5.15952 1.59991
-5.17362 1.60781
-5.18767 1.61548
-5.20169 1.62290
-5.21568 1.63012
-5.22963 1.63711
-5.24355 1.64386
-5.25742 1.65039
-5.27127 1.65669
-5.28505 1.66274
-5.29881 1.66860
-5.31251 1.67421
-5.32617 1.67957
-5.33977 1.68472
-5.35333 1.68966
-5.36683 1.69435
-5.38026 1.69881
-5.39365 1.70303
-5.40697 1.70704
-5.42023 1.71082
-5.43341 1.71434
-5.44653 1.71766
-5.45958 1.72074
-5.47254 1.72357
-5.48542 1.72618
-5.49824 1.72857
-5.51095 1.73070
-5.52358 1.73262
-5.53611 1.73429
-5.54856 1.73573
-5.56091 1.73695
-5.57314 1.73792
-5.58528 1.73867
-5.59730 1.73917
-5.60922 1.73944
-5.62103 1.73949
-5.63272 1.73929
-5.64426 1.73884
-5.65571 1.73820
-5.66702 1.73730
-5.67820 1.73616
-5.68923 1.73479
-5.70015 1.73319
-5.71090 1.73135
-5.72153 1.72927
-5.73201 1.72698
-5.74233 1.72445
-5.75250 1.72167
-5.76253 1.71869
-5.77238 1.71545
-5.78209 1.71198
-5.79163 1.70830
-5.80100 1.70437
-5.81020 1.70020
-5.81924 1.69582
-5.82810 1.69121
-5.83680 1.68635
-5.84531 1.68128
-5.85364 1.67597
-5.86179 1.67044
-5.86976 1.66467
-5.87755 1.65867
-5.88515 1.65246
-5.89255 1.64599
-5.89978 1.63932
-5.90682 1.63242
-5.91366 1.62529
-5.92031 1.61792
-5.92676 1.61032
-5.93301 1.60250
-5.93907 1.59444
-5.94492 1.58617
-5.95058 1.57764
-5.95604 1.56890
-5.96129 1.55992
-5.96636 1.55074
-5.97120 1.54130
-5.97584 1.53162
-5.98027 1.52170
-5.98450 1.51156
-5.98854 1.50119
-5.99235 1.49058
-5.99594 1.47971
-5.99933 1.46860
-6.00145 1.46112
-6.01600 1.47250
-6.03051 1.48365
-6.04498 1.49453
-6.05945 1.50520
-6.07386 1.51560
-6.08825 1.52577
-6.10262 1.53573
-6.11697 1.54544
-6.13128 1.55491
-6.14556 1.56416
-6.15981 1.57314
-6.17403 1.58192
-6.18824 1.59048
-6.20241 1.59880
-6.21654 1.60689
-6.23065 1.61474
-6.24473 1.62238
-6.25877 1.62978
-6.27279 1.63695
-6.28677 1.64391
-6.30070 1.65062
-6.31459 1.65710
-6.32846 1.66338
-6.34229 1.66942
-6.35605 1.67520
-6.36979 1.68080
-6.38347 1.68615
-6.39710 1.69126
-6.41069 1.69615
-6.42421 1.70081
-6.43767 1.70523
-6.45108 1.70941
-6.46443 1.71339
-6.47772 1.71713
-6.49092 1.72062
-6.50407 1.72390
-6.51713 1.72693
-6.53013 1.72975
-6.54305 1.73232
-6.55588 1.73466
-6.56862 1.73675
-6.58127 1.73864
-6.59383 1.74026
-6.60630 1.74168
-6.61866 1.74284
-6.63093 1.74379
-6.64309 1.74448
-6.65514 1.74495
-6.66708 1.74520
-6.67890 1.74518
-6.69061 1.74495
-6.70218 1.74448
-6.71364 1.74379
-6.72497 1.74284
-6.73617 1.74168
-6.74722 1.74026
-6.75814 1.73862
-6.76891 1.73673
-6.77956 1.73464
-6.79005 1.73229
-6.80039 1.72972
-6.81057 1.72690
-6.82060 1.72387
-6.83047 1.72059
-6.84017 1.71708
-6.84972 1.71334
-6.85910 1.70939
-6.86831 1.70518
-6.87736 1.70076
-6.88622 1.69610
-6.89491 1.69121
-6.90342 1.68607
-6.91175 1.68072
-6.91991 1.67515
-6.92787 1.66934
-6.93565 1.66331
-6.94326 1.65705
-6.95066 1.65054
-6.95789 1.64384
-6.96491 1.63687
-6.97174 1.62970
-6.97838 1.62230
-6.98482 1.61466
-6.99108 1.60681
-6.99712 1.59872
-7.00297 1.59040
-7.00862 1.58184
-7.01406 1.57306
-7.01930 1.56405
-7.02434 1.55481
-7.02918 1.54533
-7.03381 1.53562
-7.03823 1.52569
-7.04244 1.51549
-7.04646 1.50509
-7.05025 1.49441
-7.05384 1.48353
-7.05721 1.47239
-7.05826 1.46871
-7.07281 1.48004
-7.08733 1.49111
-7.10182 1.50197
-7.11628 1.51258
-7.13072 1.52296
-7.14513 1.53310
-7.15949 1.54299
-7.17385 1.55267
