# sss file
-0.31756 0.63512
-0.52513 1.25969
-0.57203 1.56295
-0.56321 1.75474
-0.52441 1.88657
-0.46665 1.98050
-0.39568 2.04800
-0.31480 2.09568
-0.22598 2.12747
-0.13038 2.14571
-0.02863 2.15166
0.07906 2.14571
0.19290 2.12747
0.31352 2.09568
0.44208 2.04800
0.58055 1.98050
0.73223 1.88657
0.90287 1.75474
1.10348 1.56295
1.35983 1.25969
1.77683 0.63512
1.56927 1.25969
1.52236 1.56295
1.53118 1.75474
1.56999 1.88657
1.62775 1.98050
1.69871 2.04800
1.77959 2.09568
1.86842 2.12747
1.96402 2.14571
2.06576 2.15166
2.17346 2.14571
2.28730 2.12747
2.40791 2.09568
2.53647 2.04800
2.67494 1.98050
2.82663 1.88657
2.99726 1.75474
3.19788 1.56295
3.45422 1.25969
3.87123 0.63512
3.66366 1.25969
3.61676 1.56295
3.62558 1.75474
3.66438 1.88657
3.72214 1.98050
3.79311 2.04800
3.87399 2.09568
3.96281 2.12747
4.05841 2.14571
4.16016 2.15166
4.26785 2.14571
4.38169 2.12747
4.50231 2.09568
4.63087 2.04800
4.76934 1.98050
4.92102 1.88657
5.09166 1.75474
5.29227 1.56295
5.54862 1.25969
5.96562 0.63512
0.95003 0.65510
0.74790 1.26881
0.70219 1.56966
0.71160 1.76028
0.75076 1.89140
0.80875 1.98487
0.87987 2.05206
0.96086 2.09952
1.04975 2.13117
1.14539 2.14934
1.24715 2.15526
1.35483 2.14934
1.46863 2.13117
1.58918 2.09952
1.71763 2.05206
1.85594 1.98487
2.00740 1.89140
2.17768 1.76028
2.37771 1.56966
2.63285 1.26881
3.04443 0.65510
2.84229 1.26881
2.79659 1.56966
2.80600 1.76028
2.84515 1.89140
2.90314 1.98487
2.97427 2.05206
3.05526 2.09952
3.14415 2.13117
3.23979 2.14934
3.34154 2.15526
3.44923 2.14934
3.56303 2.13117
3.68357 2.09952
3.81202 2.05206
3.95034 1.98487
4.10179 1.89140
4.27207 1.76028
4.47210 1.56966
4.72725 1.26881
5.13882 0.65510
4.93669 1.26881
4.89098 1.56966
4.90039 1.76028
4.93955 1.89140
4.99754 1.98487
5.06866 2.05206
5.14965 2.09952
5.23855 2.13117
5.33418 2.14934
5.43594 2.15526
5.54362 2.14934
5.65742 2.13117
5.77797 2.09952
5.90642 2.05206
6.04473 1.98487
6.19619 1.89140
6.36647 1.76028
6.56650 1.56966
6.82164 1.26881
7.23322 0.65510
2.21791 0.67451
2.02095 1.27787
1.97643 1.57634
1.98642 1.76580
2.02593 1.89622
2.08415 1.98923
2.15543 2.05611
2.23652 2.10336
2.32549 2.13487
2.42116 2.15295
2.52293 2.15885
2.63060 2.15295
2.74437 2.13487
2.86484 2.10336
2.99318 2.05611
3.13134 1.98923
3.28257 1.89622
3.45250 1.76580
3.65195 1.57634
3.90590 1.27787
4.31230 0.67451
4.11534 1.27787
4.07083 1.57634
4.08082 1.76580
4.12032 1.89622
4.17854 1.98923
4.24982 2.05611
4.33092 2.10336
4.41988 2.13487
4.51556 2.15295
4.61733 2.15885
4.72500 2.15295
4.83876 2.13487
4.95924 2.10336
5.08758 2.05611
5.22574 1.98923
5.37696 1.89622
5.54689 1.76580
5.74634 1.57634
6.00030 1.27787
6.40670 0.67451
6.20974 1.27787
6.16522 1.57634
6.17521 1.76580
6.21472 1.89622
6.27294 1.98923
6.34422 2.05611
6.42531 2.10336
6.51428 2.13487
6.60995 2.15295
6.71172 2.15885
6.81939 2.15295
6.93316 2.13487
7.05363 2.10336
7.18197 2.05611
7.32013 1.98923
7.47136 1.89622
7.64129 1.76580
7.84074 1.57634
8.09469 1.27787
8.50109 0.67451
3.48605 0.69340
3.29402 1.28688
3.25068 1.58300
3.26125 1.77131
3.30110 1.90104
3.35955 1.99359
3.43098 2.06015
3.51219 2.10719
3.60122 2.13856
3.69694 2.15657
3.79872 2.16244
3.90638 2.15657
4.02010 2.13856
4.14051 2.10719
4.26874 2.06015
4.40675 1.99359
4.55774 1.90104
4.72733 1.77131
4.92620 1.58300
5.17898 1.28688
5.58044 0.69340
5.38842 1.28688
5.34508 1.58300
5.35564 1.77131
5.39550 1.90104
5.45394 1.99359
5.52538 2.06015
5.60658 2.10719
5.69562 2.13856
5.79133 2.15657
5.89311 2.16244
6.00077 2.15657
6.11450 2.13856
6.23490 2.10719
6.36314 2.06015
6.50114 1.99359
6.65214 1.90104
6.82172 1.77131
7.02059 1.58300
7.27337 1.28688
7.67484 0.69340
7.48281 1.28688
7.43947 1.58300
7.45004 1.77131
7.48989 1.90104
7.54834 1.99359
7.61977 2.06015
7.70098 2.10719
7.79001 2.13856
7.88573 2.15657
7.98751 2.16244
8.09517 2.15657
8.20889 2.13856
8.32930 2.10719
8.45753 2.06015
8.59554 1.99359
8.74653 1.90104
8.91612 1.77131
9.11499 1.58300
9.36777 1.28688
9.76923 0.69340
4.75442 0.71180
4.56713 1.29583
4.52494 1.58965
4.53608 1.77680
4.57628 1.90584
4.63495 1.99794
4.70655 2.06419
4.78785 2.11102
4.87696 2.14225
4.97271 2.16018
5.07451 2.16603
5.18215 2.16018
5.29584 2.14225
5.41617 2.11102
5.54430 2.06419
5.68215 1.99794
5.83292 1.90584
6.00216 1.77680
6.20046 1.58965
6.45208 1.29583
6.84882 0.71180
6.66152 1.29583
6.61934 1.58965
6.63048 1.77680
6.67068 1.90584
6.72935 1.99794
6.80094 2.06419
6.88225 2.11102
6.97135 2.14225
7.06711 2.16018
7.16890 2.16603
7.27655 2.16018
7.39023 2.14225
7.51057 2.11102
7.63870 2.06419
7.77655 1.99794
7.92731 1.90584
8.09655 1.77680
8.29485 1.58965
8.54648 1.29583
8.94321 0.71180
8.75592 1.29583
8.71373 1.58965
8.72487 1.77680
8.76507 1.90584
8.82374 1.99794
8.89534 2.06419
8.97664 2.11102
9.06575 2.14225
9.16150 2.16018
9.26330 2.16603
9.37094 2.16018
9.48463 2.14225
9.60496 2.11102
9.73309 2.06419
9.87094 1.99794
10.02171 1.90584
10.19095 1.77680
10.38925 1.58965
10.64087 1.29583
11.03761 0.71180
6.02303 0.72976
5.84026 1.30473
5.79921 1.59627
5.81092 1.78229
5.85146 1.91064
5.91036 2.00228
5.98211 2.06823
6.06352 2.11484
6.15269 2.14594
6.24849 2.16379
6.35030 2.16961
6.45793 2.16379
6.57157 2.14594
6.69184 2.11484
6.81987 2.06823
6.95756 2.00228
7.10810 1.91064
7.27700 1.78229
7.47473 1.59627
7.72521 1.30473
8.11742 0.72976
7.93465 1.30473
7.89361 1.59627
7.90532 1.78229
7.94586 1.91064
8.00476 2.00228
8.07650 2.06823
8.15792 2.11484
8.24709 2.14594
8.34288 2.16379
8.44469 2.16961
8.55232 2.16379
8.66597 2.14594
8.78624 2.11484
8.91426 2.06823
9.05195 2.00228
9.20250 1.91064
9.37139 1.78229
9.56912 1.59627
9.81961 1.30473
10.21182 0.72976
10.02905 1.30473
9.98800 1.59627
9.99971 1.78229
10.04025 1.91064
10.09915 2.00228
