# sss file
0.01895 3.10371
-0.08070 3.08929
-0.13366 3.07455
-0.16473 3.05970
-0.17141 3.05519
-0.22467 3.06994
-0.30130 3.08442
-0.42376 3.09846
-0.44458 3.10017
-0.51908 3.08554
-0.55942 3.07069
-0.58311 3.05573
-0.59108 3.04828
-0.64536 3.06292
-0.72070 3.07729
-0.83412 3.09117
-0.88366 3.09546
-0.94050 3.08066
-0.97212 3.06576
-0.99080 3.05074
-0.99914 3.04039
-1.05186 3.05493
-1.12262 3.06924
-1.22387 3.08313
-1.29531 3.08999
-1.34255 3.07514
-1.36974 3.06018
-1.38612 3.04516
-1.39515 3.03191
-1.44455 3.04645
-1.50890 3.06077
-1.59723 3.07471
-1.68316 3.08420
-1.72701 3.06940
-1.75330 3.05444
-1.76970 3.03948
-1.77991 3.02440
-1.78050 3.02322
-1.82565 3.03782
-1.88296 3.05219
-1.95907 3.06629
-2.05371 3.07857
-2.09805 3.06383
-2.12582 3.04897
-2.14377 3.03401
-2.15548 3.01898
-2.15788 3.01490
-2.19844 3.02955
-2.24882 3.04404
-2.31395 3.05825
-2.40235 3.07209
-2.41281 3.07343
-2.46004 3.05884
-2.49074 3.04404
-2.51136 3.02918
-2.52535 3.01420
-2.53025 3.00722
-2.56638 3.02193
-2.61047 3.03653
-2.66626 3.05096
-2.74001 3.06506
-2.76645 3.06914
-2.81766 3.05466
-2.85204 3.04001
-2.87581 3.02526
-2.89246 3.01033
-2.90067 3.00045
-2.93283 3.01527
-2.97151 3.03003
-3.01952 3.04457
-3.08169 3.05895
-3.11941 3.06581
-3.17507 3.05155
-3.21333 3.03701
-3.24037 3.02236
-3.25978 3.00754
-3.27207 2.99481
-3.30085 3.00969
-3.33500 3.02451
-3.37683 3.03921
-3.43001 3.05375
-3.47600 3.06356
-3.53602 3.04946
-3.57800 3.03508
-3.60814 3.02054
-3.63013 3.00582
-3.64632 2.99100
-3.64701 2.99025
-3.67318 3.00523
-3.70385 3.02011
-3.74096 3.03492
-3.78749 3.04956
-3.84009 3.06227
-3.90391 3.04838
-3.94900 3.03411
-3.98171 3.01968
-4.00581 3.00502
-4.02375 2.99025
-4.02743 2.98665
-4.05174 3.00163
-4.08004 3.01656
-4.11394 3.03143
-4.15598 3.04618
-4.21054 3.06077
-4.21509 3.06179
-4.28159 3.04801
-4.32887 3.03384
-4.36333 3.01946
-4.38885 3.00486
-4.40801 2.99019
-4.41482 2.98369
-4.43813 2.99868
-4.46512 3.01366
-4.49721 3.02853
-4.53669 3.04334
-4.58739 3.05798
-4.60355 3.06184
-4.67112 3.04812
-4.71920 3.03401
-4.75427 3.01962
-4.78028 3.00502
-4.79982 2.99035
-4.80961 2.98095
-4.83276 2.99599
-4.85942 3.01093
-4.89100 3.02580
-4.92963 3.04061
-4.97883 3.05525
-5.00666 3.06195
-5.07310 3.04817
-5.12029 3.03401
-5.15466 3.01962
-5.18011 3.00502
-5.19915 2.99030
-5.21131 2.97805
-5.23493 2.99304
-5.26213 3.00797
-5.29423 3.02284
-5.33330 3.03760
-5.38271 3.05219
-5.42335 3.06168
-5.48626 3.04779
-5.53076 3.03352
-5.56306 3.01903
-5.58688 3.00437
-5.60465 2.98965
-5.61791 2.97482
-5.61816 2.97444
-5.64271 2.98939
-5.67096 3.00432
-5.70416 3.01909
-5.74439 3.03379
-5.79483 3.04833
-5.84972 3.06050
-5.90696 3.04645
-5.94733 3.03207
-5.97652 3.01753
-5.99795 3.00282
-6.01379 2.98799
-6.02551 2.97310
-6.02762 2.96982
-6.05325 2.98476
-6.08262 2.99959
-6.11701 3.01431
-6.15843 3.02896
-6.20983 3.04339
-6.27616 3.05761
-6.27959 3.05820
-6.32992 3.04393
-6.36539 3.02944
-6.39097 3.01479
-6.40965 3.00002
-6.42334 2.98514
-6.43334 2.97019
-6.43659 2.96401
-6.46307 2.97891
-6.49330 2.99368
-6.52852 3.00835
-6.57053 3.02290
-6.62203 3.03723
-6.68740 3.05133
-6.70575 3.05460
-6.74930 3.04023
-6.78005 3.02563
-6.80218 3.01087
-6.81828 2.99605
-6.82998 2.98111
-6.83841 2.96616
-6.84225 2.95702
-6.86916 2.97186
-6.89972 2.98659
-6.93505 3.00120
-6.97678 3.01565
-7.02732 3.02998
-7.09026 3.04398
-7.12279 3.04994
-7.16066 3.03540
-7.18758 3.02075
-7.20700 3.00593
-7.22109 2.99105
-7.23128 2.97611
-7.23854 2.96116
-7.24266 2.94905
-7.26944 2.96385
-7.29970 2.97858
-7.33437 2.99315
-7.37492 3.00760
-7.42333 3.02182
-7.48266 3.03583
-7.52750 3.04447
-7.56152 3.02987
-7.58592 3.01517
-7.60366 3.00040
-7.61654 2.98546
-7.62588 2.97052
-7.63247 2.95551
-7.63696 2.94054
-7.66312 2.95529
-7.69246 2.96998
-7.72586 2.98460
-7.76449 2.99906
-7.81001 3.01329
-7.86497 3.02735
-7.91977 3.03862
-7.95176 3.02408
-7.97500 3.00942
-7.99204 2.99460
-8.00457 2.97971
-8.01369 2.96476
-8.02022 2.94975
-8.02469 2.93473
-8.02534 2.93182
-8.05051 2.94663
-8.07856 2.96137
-8.11020 2.97600
-8.14642 2.99046
-8.18869 3.00480
-8.23897 3.01892
-8.30018 3.03272
-8.30141 3.03299
-8.33284 3.01844
-8.35605 3.00384
-8.37329 2.98906
-8.38614 2.97417
-8.39566 2.95928
-8.40259 2.94431
-8.40746 2.92929
-8.40888 2.92346
-8.43280 2.93828
-8.45928 2.95303
-8.48894 2.96772
-8.52264 2.98229
-8.56151 2.99669
-8.60722 3.01093
-8.66213 3.02488
-8.67533 3.02783
-8.70735 3.01340
-8.73135 2.99884
-8.74945 2.98412
-8.76317 2.96933
-8.77349 2.95443
-8.78119 2.93952
-8.78674 2.92449
-8.78918 2.91576
-8.81180 2.93069
-8.83665 2.94550
-8.86428 2.96019
-8.89542 2.97482
-8.93107 2.98933
-8.97258 3.00373
-9.02186 3.01785
-9.04479 3.02354
-9.07815 3.00921
-9.10351 2.99476
-9.12289 2.98009
-9.13780 2.96535
-9.14923 2.95056
-9.15790 2.93564
-9.16439 2.92072
-9.16815 2.90907
-9.18945 2.92400
-9.21275 2.93887
-9.23849 2.95368
-9.26733 2.96842
-9.30004 2.98299
-9.33783 2.99750
-9.38228 3.01178
-9.41323 3.02032
-9.44831 3.00609
-9.47527 2.99170
-9.49616 2.97718
-9.51239 2.96250
-9.52503 2.94776
-9.53479 2.93295
-9.54223 2.91802
-9.54766 2.90351
-9.56778 2.91851
-9.58970 2.93343
-9.61379 2.94830
-9.64058 2.96304
-9.67085 2.97778
-9.70551 2.99234
-9.74601 3.00679
-9.78369 3.01812
-9.82062 3.00405
-9.84922 2.98976
-9.87160 2.97536
-9.88913 2.96073
-9.90292 2.94604
-9.91371 2.93128
-9.92207 2.91640
-9.92847 2.90151
-9.92935 2.89903
-9.94854 2.91408
-9.96931 2.92902
-9.99208 2.94394
-10.01730 2.95879
-10.04557 2.97353
-10.07783 2.98820
-10.11526 3.00276
-10.15915 3.01699
-10.19770 3.00303
-10.22774 2.98885
-10.25134 2.97444
-10.26999 2.95992
-10.28474 2.94528
-10.29640 2.93058
-10.30551 2.91576
-10.31256 2.90087
-10.31468 2.89552
-10.33319 2.91058
-10.35318 2.92557
-10.37499 2.94049
-10.39906 2.95535
-10.42601 2.97019
-10.45653 2.98487
-10.49179 2.99949
-10.53336 3.01399
-10.54193 3.01662
-10.58162 3.00276
-10.61265 2.98863
-10.63708 2.97428
-10.65646 2.95981
-10.67182 2.94517
-10.68401 2.93047
-10.69362 2.91570
-10.70112 2.90087
-10.70448 2.89261
-10.72262 2.90767
-10.74217 2.92266
-10.76345 2.93758
-10.78690 2.95250
-10.81303 2.96734
-10.84257 2.98208
-10.87657 2.99675
-10.91643 3.01125
-10.93356 3.01672
-10.97364 3.00287
-11.00496 2.98874
-11.02965 2.97439
-11.04925 2.95992
-11.06483 2.94534
-11.07718 2.93063
-11.08693 2.91586
-11.09454 2.90103
-11.09907 2.88985
-11.11714 2.90491
-11.13660 2.91991
-11.15778 2.93489
-11.18104 2.94975
-11.20693 2.96460
-11.23612 2.97934
-11.26962 2.99401
-11.30876 3.00851
-11.33458 3.01678
-11.37404 3.00287
-11.40486 2.98874
-11.42912 2.97439
-11.44836 2.95992
-11.46358 2.94528
-11.47566 2.93058
-11.48517 2.91581
-11.49255 2.90092
-11.49793 2.88688
-11.51619 2.90189
-11.53586 2.91689
-11.55724 2.93182
-11.58073 2.94674
-11.60679 2.96154
-11.63615 2.97627
-11.66973 2.99089
-11.70881 3.00534
-11.74386 3.01640
-11.78166 3.00239
-11.81115 2.98820
-11.83430 2.97380
-11.85258 2.95928
-11.86700 2.94458
-11.87840 2.92988
-11.88731 2.91505
-11.89417 2.90016
-11.89935 2.88521
-11.89997 2.88315
-11.91860 2.89817
-11.93867 2.91311
-11.96047 2.92805
-11.98439 2.94291
-12.01089 2.95766
-12.04068 2.97235
-12.07465 2.98691
-12.11407 3.00137
-12.15892 3.01511
-12.19417 3.00099
-12.22159 2.98670
-12.24306 2.97224
-12.25991 2.95761
-12.27318 2.94291
-12.28358 2.92815
-12.29161 2.91327
-12.29775 2.89838
-12.30228 2.88337
-12.30348 2.87840
-12.32257 2.89342
-12.34308 2.90831
-12.36535 2.92320
-12.38974 2.93801
-12.41675 2.95276
-12.44700 2.96740
-12.48136 2.98192
-12.52102 2.99626
-12.56765 3.01044
-12.57583 3.01264
-12.60802 2.99847
-12.63298 2.98407
-12.65245 2.96950
-12.66767 2.95481
-12.67959 2.94006
-12.68884 2.92524
-12.69592 2.91036
-12.70122 2.89541
-12.70502 2.88040
-12.70651 2.87245
-12.72595 2.88742
-12.74684 2.90232
-12.76947 2.91716
-12.79420 2.93193
-12.82152 2.94663
-12.85201 2.96121
-12.88645 2.97563
-12.92602 2.98998
-12.97214 3.00405
-12.99043 3.00899
-13.01946 2.99465
-13.04198 2.98020
-13.05950 2.96557
-13.07316 2.95083
-13.08377 2.93602
-13.09193 2.92115
-13.09809 2.90621
-13.10263 2.89126
-13.10577 2.87624
-13.10729 2.86531
-13.12695 2.88029
-13.14800 2.89514
-13.17078 2.90998
-13.19559 2.92470
-13.22289 2.93936
-13.25323 2.95389
-13.28735 2.96831
-13.32622 2.98256
-13.37121 2.99664
-13.39909 3.00421
-13.42543 2.98982
-13.44588 2.97530
-13.46179 2.96062
-13.47418 2.94587
-13.48373 2.93101
-13.49106 2.91613
-13.49652 2.90119
-13.50043 2.88618
-13.50305 2.87110
-13.50452 2.85731
-13.52414 2.87224
-13.54513 2.88710
-13.56777 2.90189
-13.59232 2.91656
-13.61926 2.93122
-13.64905 2.94577
-13.68234 2.96014
-13.72002 2.97439
-13.76323 2.98842
-13.79985 2.99873
-13.82421 2.98428
-13.84319 2.96971
-13.85799 2.95502
-13.86953 2.94027
-13.87842 2.92541
-13.88520 2.91047
-13.89024 2.89552
-13.89381 2.88051
-13.89619 2.86548
-13.89750 2.85038
-13.89759 2.84870
-13.91694 2.86358
-13.93762 2.87845
-13.95984 2.89325
-13.98388 2.90799
-14.01010 2.92260
-14.03897 2.93715
-14.07105 2.95158
-14.10709 2.96584
-14.14811 2.97993
-14.19226 2.99293
-14.21545 2.97848
-14.23363 2.96390
-14.24789 2.94921
-14.25905 2.93446
-14.26768 2.91958
-14.27430 2.90470
-14.27923 2.88974
-14.28273 2.87472
-14.28506 2.85969
-14.28636 2.84458
-14.28657 2.83992
-14.30550 2.85487
-14.32566 2.86975
-14.34724 2.88456
-14.37050 2.89930
-14.39578 2.91398
-14.42344 2.92853
-14.45403 2.94302
-14.48818 2.95734
-14.52674 2.97149
-14.57084 2.98541
-14.57717 2.98724
-14.59998 2.97283
-14.61801 2.95831
-14.63224 2.94361
-14.64347 2.92891
-14.65225 2.91408
-14.65902 2.89919
-14.66411 2.88423
-14.66779 2.86921
-14.67030 2.85417
-14.67181 2.83911
-14.67225 2.83157
-14.69061 2.84653
-14.71008 2.86142
-14.73090 2.87629
-14.75322 2.89104
-14.77739 2.90578
-14.80373 2.92039
-14.83266 2.93489
-14.86479 2.94927
-14.90086 2.96353
-14.94180 2.97756
-14.95647 2.98213
-14.97951 2.96777
-14.99788 2.95330
-15.01250 2.93866
-15.02417 2.92400
-15.03336 2.90918
-15.04055 2.89433
-15.04605 2.87943
-15.05014 2.86445
-15.05304 2.84945
-15.05489 2.83439
-15.05563 2.82387
-15.07338 2.83889
-15.09214 2.85384
-15.11209 2.86872
-15.13345 2.88353
-15.15648 2.89833
-15.18145 2.91301
-15.20877 2.92756
-15.23896 2.94205
-15.27262 2.95637
-15.31063 2.97057
-15.33252 2.97788
-15.35626 2.96363
-15.37532 2.94921
-15.39065 2.93467
-15.40295 2.92002
-15.41279 2.90529
-15.42058 2.89050
-15.42662 2.87559
-15.43124 2.86066
-15.43460 2.84566
-15.43691 2.83065
-15.43819 2.81725
-15.45529 2.83228
-15.47331 2.84723
-15.49245 2.86218
-15.51286 2.87705
-15.53479 2.89190
-15.55849 2.90664
-15.58431 2.92131
-15.61269 2.93586
-15.64420 2.95029
-15.67958 2.96460
-15.70782 2.97471
-15.73248 2.96057
-15.75243 2.94620
-15.76862 2.93176
-15.78171 2.91716
-15.79227 2.90249
-15.80074 2.88775
-15.80741 2.87289
-15.81260 2.85801
-15.81651 2.84306
-15.81929 2.82805
-15.82115 2.81301
-15.82124 2.81171
-15.83777 2.82680
-15.85516 2.84182
-15.87356 2.85682
-15.89313 2.87175
-15.91408 2.88661
-15.93664 2.90141
-15.96116 2.91613
-15.98799 2.93074
-16.01767 2.94528
-16.05085 2.95971
-16.08481 2.97267
-16.11047 2.95858
-16.13138 2.94437
-16.14840 2.92993
-16.16229 2.91543
-16.17357 2.90081
-16.18267 2.88607
-16.18997 2.87132
-16.19569 2.85644
-16.20011 2.84155
-16.20338 2.82658
-16.20564 2.81154
-16.20612 2.80736
-16.22216 2.82246
-16.23899 2.83748
-16.25678 2.85249
-16.27568 2.86748
-16.29585 2.88240
-16.31749 2.89720
-16.34095 2.91198
-16.36658 2.92670
-16.39480 2.94130
-16.42623 2.95578
-16.46166 2.97014
-16.46567 2.97165
-16.49221 2.95761
-16.51393 2.94345
-16.53170 2.92912
-16.54623 2.91462
-16.55812 2.90006
-16.56777 2.88537
-16.57556 2.87061
-16.58173 2.85579
-16.58658 2.84095
-16.59021 2.82598
-16.59284 2.81100
-16.59376 2.80388
-16.60945 2.81898
-16.62592 2.83407
-16.64327 2.84908
-16.66166 2.86407
-16.68127 2.87899
-16.70231 2.89390
-16.72502 2.90869
-16.74977 2.92346
-16.77694 2.93807
-16.80717 2.95266
-16.84111 2.96708
-16.85216 2.97138
-16.87931 2.95739
-16.90154 2.94324
-16.91980 2.92896
-16.93477 2.91452
-16.94703 2.89995
-16.95705 2.88532
-16.96512 2.87056
-16.97161 2.85579
-16.97668 2.84090
-16.98055 2.82598
-16.98339 2.81100
-16.98475 2.80095
-17.00029 2.81611
-17.01656 2.83119
-17.03367 2.84621
-17.05179 2.86120
-17.07110 2.87618
-17.09178 2.89109
-17.11404 2.90588
-17.13829 2.92066
-17.16487 2.93532
-17.19435 2.94991
-17.22736 2.96433
-17.24532 2.97149
-17.27262 2.95750
-17.29501 2.94340
-17.31336 2.92907
-17.32843 2.91462
-17.34081 2.90011
-17.35090 2.88548
-17.35904 2.87072
-17.36560 2.85595
-17.37071 2.84106
-17.37464 2.82615
-17.37751 2.81116
-17.37925 2.79817
-17.39476 2.81334
-17.41099 2.82843
-17.42809 2.84350
-17.44616 2.85850
-17.46536 2.87343
-17.48594 2.88834
-17.50808 2.90313
-17.53215 2.91791
-17.55850 2.93257
-17.58767 2.94717
-17.62026 2.96159
