# sss file
-1.55329 3.10658
-1.55281 3.10594
-1.55001 3.10461
-1.54289 3.10261
-1.53041 3.09997
-1.51253 3.09669
-1.48912 3.09285
-1.46086 3.08856
-1.42833 3.08380
-1.39210 3.07871
-1.35273 3.07335
-1.31074 3.06782
-1.26644 3.06214
-1.22003 3.05645
-1.17185 3.05076
-1.12208 3.04515
-1.07076 3.03974
-1.01814 3.03449
-0.96427 3.02944
-0.90945 3.02467
-0.85372 3.02022
-0.79730 3.01605
-0.74042 3.01221
-0.68323 3.00868
-0.62596 3.00555
-0.56886 3.00282
-0.51197 3.00045
-0.45560 2.99857
-0.39978 2.99716
-0.34449 2.99624
-0.28977 2.99588
-0.23545 2.99608
-0.18139 2.99684
-0.12726 2.99825
-0.07261 3.00021
-0.01695 3.00274
0.04046 3.00579
0.10032 3.00928
0.16355 3.01317
0.23108 3.01726
0.30396 3.02143
0.38300 3.02552
0.46891 3.02928
0.56177 3.03253
0.66102 3.03498
0.76509 3.03650
0.87160 3.03686
0.97742 3.03602
1.07926 3.03397
1.17424 3.03077
1.26023 3.02660
1.33616 3.02163
1.40160 3.01609
1.45688 3.01016
1.50269 3.00406
1.53993 2.99797
1.56962 2.99203
1.59270 2.98637
1.61021 2.98107
1.62294 2.97633
1.63179 2.97212
1.63752 2.96858
1.64078 2.96573
1.64235 2.96364
1.64283 2.96231
1.64297 2.96175
1.64333 2.96199
1.64468 2.96304
1.64773 2.96484
1.65317 2.96742
1.66193 2.97067
1.67485 2.97452
1.69294 2.97890
1.71724 2.98376
1.74889 2.98886
1.78902 2.99407
1.83873 2.99925
1.89898 3.00410
1.97024 3.00840
2.05072 3.01180
2.05245 3.01184
2.13767 3.01409
2.14465 3.01425
2.23308 3.01529
2.24490 3.01537
2.33468 3.01517
2.35046 3.01505
2.43955 3.01365
2.45804 3.01325
2.54457 3.01076
2.56448 3.01004
2.64713 3.00655
2.66719 3.00555
2.74520 3.00126
2.76442 3.00001
2.83765 2.99508
2.85539 2.99371
2.92412 2.98825
2.93992 2.98685
3.00476 2.98107
3.01843 2.97974
3.08007 2.97380
3.09161 2.97260
3.15079 2.96665
3.16023 2.96561
3.21764 2.95982
3.22515 2.95902
3.28140 2.95347
3.28713 2.95287
3.34265 2.94776
3.34684 2.94736
3.40197 2.94278
3.40488 2.94254
3.45976 2.93859
3.46175 2.93843
3.51646 2.93522
3.51788 2.93509
3.57240 2.93264
3.57354 2.93260
3.62783 2.93087
3.62895 2.93083
3.68292 2.92990
3.68425 2.92986
3.73788 2.92966
3.73949 2.92966
3.79277 2.93015
3.79469 2.93015
3.84760 2.93131
3.84975 2.93135
3.90231 2.93320
3.90455 2.93328
3.95677 2.93574
3.95896 2.93582
4.01083 2.93892
4.01279 2.93904
4.06428 2.94278
4.06582 2.94290
4.11686 2.94728
4.11795 2.94736
4.16842 2.95243
4.16887 2.95247
4.21852 2.95813
4.26671 2.96440
4.31329 2.97119
4.35821 2.97850
4.40137 2.98625
4.44266 2.99431
4.48201 3.00262
4.51931 3.01108
4.55433 3.01950
4.58683 3.02780
4.61650 3.03582
4.64292 3.04339
4.66555 3.05036
4.68392 3.05653
4.69754 3.06182
4.70656 3.06602
4.71107 3.06910
4.71250 3.07155
4.71306 3.07059
4.71651 3.06822
4.72446 3.06454
4.73800 3.05957
4.75741 3.05349
4.78243 3.04631
4.81258 3.03822
4.84715 3.02940
4.88559 3.01994
4.92719 3.01004
4.97083 2.99997
4.97154 2.99981
5.01572 2.99002
5.01823 2.98942
5.06287 2.97999
5.06691 2.97906
5.11202 2.96995
5.11740 2.96878
5.16292 2.96010
5.16944 2.95874
5.21530 2.95050
5.22285 2.94905
5.26898 2.94129
5.27752 2.93976
5.32379 2.93252
5.33324 2.93095
5.37952 2.92427
5.38982 2.92270
5.43602 2.91658
5.44717 2.91501
5.49318 2.90945
5.50503 2.90792
5.55075 2.90296
5.56324 2.90147
5.60864 2.89708
5.62153 2.89575
5.66658 2.89191
5.67976 2.89066
5.72445 2.88744
5.73768 2.88635
5.78202 2.88373
5.79510 2.88284
5.83911 2.88082
5.85189 2.88013
5.89558 2.87876
5.90796 2.87828
5.95126 2.87767
5.96322 2.87739
6.00612 2.87755
6.01773 2.87747
6.06015 2.87844
6.07155 2.87860
6.11347 2.88034
6.12492 2.88074
6.16625 2.88332
6.17816 2.88397
6.21892 2.88728
6.23167 2.88820
6.27197 2.89220
6.28601 2.89341
6.32610 2.89796
6.34185 2.89958
6.38210 2.90449
6.40000 2.90647
6.44091 2.91162
6.46141 2.91396
6.50353 2.91920
6.52704 2.92185
6.57103 2.92701
6.59802 2.92982
6.64448 2.93469
6.67527 2.93755
6.72474 2.94201
6.75949 2.94471
6.81234 2.94853
6.85090 2.95086
6.90716 2.95387
6.94899 2.95564
7.00830 2.95765
7.05228 2.95870
7.11378 2.95958
7.15841 2.95978
7.22084 2.95946
7.26430 2.95878
7.32621 2.95713
7.36666 2.95568
7.42659 2.95271
7.46257 2.95062
7.51929 2.94644
7.54991 2.94386
7.60262 2.93855
7.62735 2.93582
7.67563 2.92946
7.69454 2.92676
7.73822 2.91952
7.75166 2.91714
7.79083 2.90909
7.79936 2.90723
7.83422 2.89849
7.83849 2.89736
7.86927 2.88800
7.87001 2.88776
7.89481 2.87872
7.91385 2.87036
7.92796 2.86289
7.93793 2.85642
7.94456 2.85104
7.94849 2.84688
7.95046 2.84396
7.95111 2.84235
7.95109 2.84206
7.95107 2.84311
7.95175 2.84546
7.95386 2.84910
7.95821 2.85391
7.96560 2.85986
7.97700 2.86681
7.99337 2.87460
8.01586 2.88304
8.04302 2.89119
8.04560 2.89195
8.07675 2.89941
8.08384 2.90099
8.11920 2.90768
8.13171 2.90985
8.17138 2.91569
8.19021 2.91819
8.23418 2.92306
8.25992 2.92560
8.30793 2.92942
8.34084 2.93163
8.39237 2.93429
8.43212 2.93590
8.48628 2.93735
8.53184 2.93807
8.58748 2.93827
8.63729 2.93791
8.69312 2.93691
8.74525 2.93538
8.80005 2.93324
8.85247 2.93059
8.90531 2.92745
8.95635 2.92379
9.00666 2.91980
9.05505 2.91533
9.10266 2.91062
9.14772 2.90558
9.19266 2.90042
9.23410 2.89506
9.27672 2.88953
9.31452 2.88413
9.35518 2.87848
9.38959 2.87319
9.42873 2.86754
9.46004 2.86257
9.49809 2.85703
9.52668 2.85250
9.56392 2.84728
9.59020 2.84328
9.62689 2.83850
9.65128 2.83502
9.68761 2.83077
9.71049 2.82789
9.74651 2.82428
9.76830 2.82193
9.80403 2.81905
9.82513 2.81719
9.86053 2.81512
9.88124 2.81374
9.91629 2.81244
9.93689 2.81151
9.97153 2.81102
9.99222 2.81050
10.02645 2.81074
10.04726 2.81070
10.08108 2.81163
10.10205 2.81200
10.13548 2.81362
10.15649 2.81443
10.18955 2.81670
10.21051 2.81792
10.24321 2.82080
10.26396 2.82238
10.29629 2.82590
10.31665 2.82789
10.34858 2.83202
10.36839 2.83433
10.39991 2.83911
10.41903 2.84174
10.45002 2.84716
10.46835 2.85007
10.49877 2.85610
10.51622 2.85929
10.54596 2.86596
10.56248 2.86939
10.59145 2.87666
10.60704 2.88025
10.63520 2.88808
10.64982 2.89183
10.67711 2.90018
10.69075 2.90405
10.71714 2.91287
10.72975 2.91674
10.75529 2.92596
10.76676 2.92974
10.79149 2.93936
10.80166 2.94294
10.82564 2.95283
10.83431 2.95608
10.85761 2.96621
10.86456 2.96894
10.88712 2.97930
10.89202 2.98135
10.91380 2.99191
10.91636 2.99303
10.93709 3.00374
10.93711 3.00374
10.95378 3.01329
10.96606 3.02143
10.97387 3.02792
10.97762 3.03265
10.97830 3.03650
10.97908 3.03518
10.98301 3.03181
10.99180 3.02644
11.00647 3.01918
11.02729 3.01020
11.05403 2.99969
11.08334 2.98894
11.08604 2.98785
11.11648 2.97722
11.12267 2.97493
11.15386 2.96444
11.16330 2.96107
11.19495 2.95082
11.20721 2.94656
11.23924 2.93654
11.25390 2.93163
11.28621 2.92193
11.30294 2.91654
11.33555 2.90711
11.35403 2.90143
11.38685 2.89240
11.40681 2.88651
11.43982 2.87791
11.46111 2.87198
11.49426 2.86386
11.51668 2.85796
11.54993 2.85032
11.57338 2.84457
11.60662 2.83749
11.63101 2.83194
11.66415 2.82542
11.68941 2.82011
11.72235 2.81419
11.74837 2.80916
11.78107 2.80380
11.80770 2.79913
11.84012 2.79434
11.86723 2.79003
11.89931 2.78584
11.92669 2.78198
11.95842 2.77836
11.98590 2.77494
12.01724 2.77197
12.04462 2.76904
12.07562 2.76664
12.10266 2.76427
12.13330 2.76252
12.15988 2.76073
12.19014 2.75967
12.21614 2.75849
12.24600 2.75816
12.27140 2.75759
12.30082 2.75804
12.32565 2.75816
12.35461 2.75938
12.37902 2.76020
12.40746 2.76224
12.43171 2.76374
12.45957 2.76659
12.48402 2.76879
12.51134 2.77242
12.53636 2.77539
12.56326 2.77966
12.58932 2.78336
12.61599 2.78816
12.64359 2.79263
12.67031 2.79783
12.69807 2.80270
12.70001 2.80303
12.72718 2.80843
12.75545 2.81350
12.75955 2.81423
12.78760 2.81966
12.81680 2.82485
12.82332 2.82590
12.85268 2.83129
12.88332 2.83631
12.89236 2.83773
12.92355 2.84283
12.95603 2.84761
12.96774 2.84918
13.00116 2.85383
13.03589 2.85812
13.05025 2.85974
13.08619 2.86378
13.12339 2.86741
13.14017 2.86887
13.17872 2.87210
13.21841 2.87489
13.23708 2.87602
13.27806 2.87824
13.31990 2.88001
13.33958 2.88066
13.38243 2.88175
13.42580 2.88235
13.44536 2.88247
13.48923 2.88231
13.53322 2.88167
13.55133 2.88126
13.59519 2.87981
13.63874 2.87787
13.65425 2.87707
13.69706 2.87432
13.73920 2.87113
13.75111 2.87012
13.79201 2.86612
13.83194 2.86172
13.83970 2.86083
13.87806 2.85565
13.91528 2.85015
13.91873 2.84959
13.95417 2.84340
13.98768 2.83704
14.02007 2.82992
14.04669 2.82364
14.07607 2.81565
14.09634 2.80985
14.12277 2.80116
14.13739 2.79613
14.16107 2.78678
14.17074 2.78283
14.19180 2.77295
14.19730 2.77030
14.21586 2.75995
14.21792 2.75877
14.23340 2.74853
14.24457 2.73972
14.25211 2.73249
14.25673 2.72697
14.25911 2.72325
14.25990 2.72132
