# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.36839 3.14157
-1.36244 3.14154
-1.35722 3.14151
-1.35263 3.14148
-1.34861 3.14145
-1.34507 3.14142
-1.34194 3.14139
-1.33915 3.14136
-1.33663 3.14133
-1.33431 3.14130
-1.33214 3.14126
-1.33004 3.14123
-1.32795 3.14120
-1.32581 3.14117
-1.32356 3.14115
-1.32113 3.14112
-1.31845 3.14109
-1.31547 3.14106
-1.31210 3.14104
-1.30828 3.14101
-1.30393 3.14099
-1.29897 3.14097
-1.29332 3.14095
-1.28689 3.14093
-1.27958 3.14091
-1.27129 3.14090
-1.26193 3.14088
-1.25137 3.14087
-1.23949 3.14086
-1.22618 3.14085
-1.21130 3.14084
-1.19472 3.14083
-1.17628 3.14083
-1.15586 3.14082
-1.13330 3.14082
-1.10848 3.14081
-1.08126 3.14081
-1.05153 3.14081
-1.01922 3.14081
-0.98428 3.14080
-0.94670 3.14080
-0.90654 3.14080
-0.86393 3.14079
-0.81907 3.14079
-0.77224 3.14078
-0.72379 3.14077
-0.67416 3.14076
-0.62383 3.14074
-0.57331 3.14072
-0.52314 3.14070
-0.47383 3.14068
-0.42583 3.14065
-0.37956 3.14062
-0.33536 3.14058
-0.29348 3.14055
-0.25409 3.14050
-0.21731 3.14046
-0.18317 3.14041
-0.15164 3.14036
-0.12268 3.14031
-0.09619 3.14026
-0.07206 3.14021
-0.05015 3.14015
-0.03034 3.14009
-0.01247 3.14003
0.00360 3.13997
0.01800 3.13991
0.03087 3.13985
0.04235 3.13979
0.05255 3.13973
0.06160 3.13968
0.06959 3.13962
0.07663 3.13956
0.08283 3.13950
0.08828 3.13945
0.09305 3.13940
0.09725 3.13935
0.10093 3.13930
0.10418 3.13925
0.10707 3.13921
0.10967 3.13916
0.11204 3.13913
0.11426 3.13909
0.11637 3.13906
0.11846 3.13903
0.12057 3.13900
0.12278 3.13897
0.12515 3.13895
0.12774 3.13894
0.13062 3.13892
0.13386 3.13891
0.13753 3.13891
0.14170 3.13891
0.14646 3.13891
0.15188 3.13891
0.15806 3.13892
0.16509 3.13893
0.17306 3.13895
0.18207 3.13896
0.19225 3.13898
0.20370 3.13901
0.21655 3.13904
0.23093 3.13906
0.24698 3.13909
0.26483 3.13913
0.28463 3.13916
0.30652 3.13920
0.33064 3.13923
0.35711 3.13927
0.38607 3.13930
0.41759 3.13933
0.45173 3.13937
0.48851 3.13939
0.52790 3.13942
0.56979 3.13944
0.61399 3.13946
0.66026 3.13947
0.70826 3.13947
0.75759 3.13947
0.80776 3.13946
0.85828 3.13944
0.90861 3.13942
0.95824 3.13939
1.00668 3.13935
1.05351 3.13930
1.09836 3.13925
1.14096 3.13918
1.18112 3.13912
1.21870 3.13904
1.25364 3.13896
1.28596 3.13888
1.31569 3.13879
1.34292 3.13870
1.36776 3.13861
1.39033 3.13852
1.41078 3.13842
1.42923 3.13832
1.44584 3.13822
1.46074 3.13813
1.47407 3.13803
1.48597 3.13793
1.49655 3.13784
1.50594 3.13775
1.51425 3.13766
1.52158 3.13757
1.52803 3.13749
1.53371 3.13740
1.53869 3.13733
1.54305 3.13725
1.54689 3.13719
1.55027 3.13712
1.55327 3.13706
1.55595 3.13701
1.55839 3.13696
1.56065 3.13692
1.56279 3.13688
1.56488 3.13685
1.56698 3.13682
1.56915 3.13680
1.57146 3.13679
1.57397 3.13678
1.57675 3.13678
1.57987 3.13678
1.58339 3.13679
1.58740 3.13681
1.59196 3.13683
1.59717 3.13686
1.60310 3.13689
1.60985 3.13693
1.61751 3.13698
1.62619 3.13703
1.63599 3.13708
1.64703 3.13714
1.65944 3.13720
1.67333 3.13727
1.68885 3.13734
1.70613 3.13741
1.72531 3.13748
1.74654 3.13755
1.76997 3.13763
1.79571 3.13770
1.82390 3.13777
1.85463 3.13784
1.88797 3.13791
1.92396 3.13797
1.96256 3.13802
2.00370 3.13807
2.04723 3.13811
2.09291 3.13815
2.14043 3.13817
2.18940 3.13818
2.23937 3.13818
2.28984 3.13817
2.34028 3.13814
2.39017 3.13810
2.43902 3.13805
2.48638 3.13799
2.53186 3.13792
2.57517 3.13784
2.61608 3.13775
2.65445 3.13764
2.69020 3.13754
2.72331 3.13742
2.75382 3.13730
2.78181 3.13717
2.80736 3.13704
2.83062 3.13691
2.85170 3.13677
2.87075 3.13664
2.88791 3.13650
2.90332 3.13636
2.91713 3.13623
2.92946 3.13609
2.94043 3.13596
2.95018 3.13584
2.95882 3.13571
2.96645 3.13560
2.97317 3.13548
2.97908 3.13537
2.98427 3.13527
2.98882 3.13517
2.99281 3.13509
2.99633 3.13500
2.99944 3.13493
3.00222 3.13486
3.00473 3.13480
3.00704 3.13475
3.00921 3.13470
3.01131 3.13467
3.01339 3.13464
3.01554 3.13462
3.01780 3.13461
3.02023 3.13461
3.02292 3.13462
3.02592 3.13464
3.02931 3.13466
3.03316 3.13470
3.03754 3.13474
3.04253 3.13479
3.04823 3.13485
3.05471 3.13491
3.06207 3.13499
3.07042 3.13507
3.07986 3.13515
3.09050 3.13525
3.10247 3.13534
3.11588 3.13545
3.13088 3.13555
3.14761 3.13566
3.16619 3.13577
3.18678 3.13589
3.20951 3.13600
3.23453 3.13611
3.26196 3.13622
3.29191 3.13633
