# sss file
-1.57080 3.14159
-1.57080 3.14159
-1.50582 3.14154
-1.54747 3.14150
-1.55267 3.14145
-1.51319 3.14141
-1.47694 3.14136
-1.44498 3.14132
-1.41803 3.14127
-1.39650 3.14121
-1.38051 3.14115
-1.36997 3.14109
-1.36464 3.14103
-1.36418 3.14096
-1.36822 3.14088
-1.37635 3.14080
-1.38818 3.14072
-1.40335 3.14063
-1.42151 3.14054
-1.44234 3.14045
-1.46557 3.14035
-1.49093 3.14025
-1.51820 3.14015
-1.54719 3.14004
-1.56223 3.13994
-1.53024 3.13983
-1.49701 3.13971
-1.46267 3.13960
-1.42734 3.13949
-1.39112 3.13937
-1.35409 3.13926
-1.31634 3.13914
-1.27794 3.13902
-1.23896 3.13891
-1.19945 3.13879
-1.15948 3.13868
-1.11908 3.13857
-1.07832 3.13846
-1.03723 3.13835
-0.99585 3.13824
-0.95422 3.13814
-0.91237 3.13803
-0.87034 3.13794
-0.82816 3.13784
-0.78586 3.13775
-0.74347 3.13766
-0.70102 3.13758
-0.65853 3.13750
-0.61603 3.13742
-0.57356 3.13735
-0.53114 3.13729
-0.48879 3.13723
-0.44656 3.13717
-0.40446 3.13712
-0.36252 3.13708
-0.32079 3.13705
-0.27929 3.13701
-0.23806 3.13699
-0.19714 3.13697
-0.15657 3.13696
-0.11639 3.13696
-0.07665 3.13696
-0.03740 3.13697
0.00129 3.13699
0.03938 3.13701
0.07678 3.13704
0.11343 3.13708
0.14924 3.13712
0.18411 3.13717
0.21794 3.13723
0.25062 3.13729
0.28201 3.13736
0.31196 3.13743
0.34031 3.13751
0.36687 3.13760
0.39143 3.13769
0.41376 3.13778
0.43358 3.13788
0.45060 3.13798
0.46450 3.13809
0.47492 3.13819
0.48149 3.13829
0.48380 3.13839
0.48147 3.13849
0.47413 3.13859
0.46147 3.13868
0.44330 3.13876
0.41962 3.13883
0.39064 3.13888
0.35690 3.13892
0.31926 3.13895
0.27890 3.13895
0.23726 3.13893
0.19589 3.13889
0.15632 3.13883
0.11993 3.13875
0.08778 3.13864
0.06062 3.13852
0.03888 3.13838
0.02268 3.13822
0.01196 3.13805
0.00647 3.13787
0.00588 3.13768
0.00982 3.13748
0.01788 3.13727
0.02966 3.13705
0.04481 3.13683
0.06296 3.13660
0.08381 3.13638
0.10708 3.13614
0.13249 3.13591
0.15983 3.13568
0.18889 3.13545
0.21950 3.13521
0.25148 3.13498
0.28470 3.13476
0.31904 3.13453
0.35437 3.13431
0.39060 3.13409
0.42763 3.13388
0.46539 3.13367
0.50380 3.13346
0.54279 3.13327
0.58230 3.13307
0.62229 3.13289
0.66269 3.13271
0.70346 3.13254
0.74456 3.13238
0.78595 3.13223
0.82758 3.13208
0.86944 3.13195
0.91147 3.13182
0.95365 3.13171
0.99595 3.13160
1.03834 3.13150
1.08080 3.13142
1.12328 3.13135
1.16577 3.13128
1.20823 3.13123
1.25065 3.13119
1.29298 3.13116
1.33521 3.13115
1.37729 3.13114
1.41921 3.13115
1.46093 3.13117
1.50241 3.13120
1.54362 3.13124
1.58452 3.13130
1.62508 3.13137
1.66524 3.13144
1.70496 3.13154
1.74418 3.13164
1.78286 3.13176
1.82093 3.13188
1.85832 3.13202
1.89496 3.13217
1.93076 3.13233
1.96563 3.13250
1.99946 3.13268
2.03214 3.13287
2.06354 3.13307
2.09352 3.13327
2.12190 3.13349
2.14850 3.13371
2.17311 3.13393
2.19549 3.13416
2.21540 3.13440
2.23252 3.13464
2.24654 3.13487
2.25710 3.13511
2.26383 3.13534
2.26634 3.13557
2.26422 3.13579
2.25712 3.13600
2.24472 3.13619
2.22682 3.13637
2.20341 3.13652
2.17468 3.13665
2.14117 3.13675
2.10370 3.13681
2.06345 3.13684
2.02183 3.13684
1.98041 3.13679
1.94072 3.13671
1.90413 3.13658
1.87174 3.13642
1.84432 3.13623
1.82230 3.13601
1.80584 3.13577
1.79486 3.13550
1.78913 3.13521
1.78833 3.13491
1.79207 3.13459
1.79996 3.13426
1.81161 3.13392
1.82663 3.13358
1.84469 3.13323
1.86545 3.13288
1.88865 3.13252
1.91400 3.13217
1.94130 3.13182
1.97033 3.13147
2.00090 3.13112
2.03287 3.13078
2.06608 3.13044
2.10040 3.13011
2.13573 3.12978
2.17196 3.12947
2.20900 3.12916
2.24676 3.12886
2.28517 3.12857
2.32417 3.12829
2.36370 3.12803
2.40369 3.12777
2.44410 3.12753
2.48488 3.12730
2.52599 3.12709
2.56738 3.12689
2.60903 3.12670
2.65089 3.12653
2.69292 3.12637
2.73511 3.12623
2.77741 3.12611
2.81981 3.12600
2.86226 3.12590
2.90474 3.12583
2.94723 3.12577
2.98969 3.12573
3.03210 3.12570
3.07442 3.12570
3.11664 3.12571
3.15872 3.12574
3.20063 3.12579
3.24234 3.12585
3.28381 3.12593
3.32501 3.12603
3.36590 3.12615
3.40644 3.12628
3.44659 3.12643
3.48629 3.12660
3.52551 3.12679
3.56418 3.12699
3.60224 3.12720
3.63962 3.12744
3.67625 3.12769
3.71205 3.12795
3.74692 3.12822
3.78076 3.12851
3.81346 3.12881
3.84488 3.12913
3.87488 3.12945
3.90330 3.12978
3.92995 3.13013
3.95462 3.13047
3.97708 3.13083
3.99707 3.13119
4.01431 3.13155
