# sss file
-0.52360 3.14159
-1.49803 3.12474
-1.56775 3.12387
-2.44202 3.12345
-2.61949 3.12132
-3.39991 3.12191
-3.67125 3.11879
-4.37130 3.12020
-4.72299 3.11626
-5.35467 3.11832
-5.77474 3.11372
-6.34828 3.11634
-6.82649 3.11119
-7.35042 3.11427
-7.83993 3.10948
-7.87824 3.10866
-8.35963 3.11212
-8.83027 3.10821
-8.92998 3.10612
-9.37465 3.10992
-9.82503 3.10680
-9.98174 3.10359
-10.39450 3.10768
-10.82417 3.10526
-11.03349 3.10106
-11.41834 3.10538
-11.82755 3.10363
-12.08523 3.09852
-12.44553 3.10306
-12.83494 3.10190
-13.13698 3.09599
-13.47553 3.10072
-13.84604 3.10007
-14.16155 3.09428
-14.18873 3.09346
-14.50792 3.09836
-14.86056 3.09819
-15.17048 3.09300
-15.24048 3.09091
-15.54231 3.09597
-15.87819 3.09624
-16.18156 3.09166
-16.29222 3.08839
-16.57846 3.09358
-16.89865 3.09424
-17.19477 3.09019
-17.34398 3.08586
-17.61610 3.09116
-17.92165 3.09219
-18.21008 3.08865
-18.39572 3.08331
-18.65504 3.08875
-18.94698 3.09010
-19.22744 3.08706
-19.44747 3.08078
-19.69512 3.08631
-19.97435 3.08795
-20.24676 3.08538
-20.47773 3.07909
-20.49922 3.07826
-20.73617 3.08386
-21.00362 3.08578
-21.26795 3.08363
-21.49669 3.07784
-21.55096 3.07571
-21.77812 3.08141
-22.03458 3.08360
-22.29093 3.08185
-22.51690 3.07649
-22.60271 3.07318
-22.82083 3.07896
-23.06706 3.08137
-23.31558 3.07998
-23.53837 3.07508
-23.65447 3.07065
-23.86423 3.07651
-24.10092 3.07911
-24.34182 3.07810
-24.56108 3.07360
-24.70620 3.06810
-24.90825 3.07403
-25.13602 3.07685
-25.36954 3.07616
-25.58502 3.07208
-25.75796 3.06557
-25.95281 3.07156
-26.17226 3.07457
-26.39864 3.07419
-26.61015 3.07048
-26.79168 3.06392
-26.80971 3.06305
-26.99786 3.06907
-27.20952 3.07225
-27.42905 3.07217
-27.63643 3.06883
-27.81690 3.06265
-27.86145 3.06050
-28.04336 3.06660
-28.24772 3.06993
-28.46064 3.07012
-28.66385 3.06713
-28.84295 3.06132
-28.91320 3.05797
-29.08927 3.06411
-29.28678 3.06759
-29.49337 3.06805
-29.69234 3.06538
-29.86982 3.05995
-29.96495 3.05544
-30.13554 3.06162
-30.32663 3.06525
-30.52715 3.06594
-30.72187 3.06360
-30.89751 3.05850
-31.01670 3.05289
-31.18214 3.05913
-31.36718 3.06289
-31.56190 3.06381
-31.75241 3.06177
-31.92601 3.05702
-32.06844 3.05036
-32.22905 3.05664
-32.40838 3.06052
-32.59757 3.06166
-32.78387 3.05991
-32.95530 3.05548
-33.10449 3.04873
-33.12020 3.04783
-33.27623 3.05415
-33.45019 3.05814
-33.63408 3.05947
-33.81626 3.05801
-33.98537 3.05390
-34.13401 3.04747
-34.17193 3.04528
-34.32368 3.05165
-34.49254 3.05574
-34.67136 3.05726
-34.84949 3.05607
-35.01621 3.05226
-35.16411 3.04616
-35.22369 3.04275
-35.37135 3.04914
-35.53541 3.05335
-35.70940 3.05506
-35.88356 3.05411
-36.04779 3.05059
-36.19477 3.04479
-36.27543 3.04022
-36.41925 3.04665
-36.57877 3.05095
-36.74813 3.05283
-36.91840 3.05211
-37.08010 3.04888
-37.22602 3.04338
-37.32718 3.03767
-37.46733 3.04414
-37.62255 3.04854
-37.78748 3.05057
-37.95398 3.05009
-38.11310 3.04713
-38.25784 3.04192
-38.37892 3.03514
-38.51561 3.04163
-38.66673 3.04612
-38.82743 3.04831
-38.99025 3.04806
-39.14679 3.04536
-39.29022 3.04041
-39.41666 3.03354
-39.43068 3.03261
