# sss file
-1.57080 3.14159
-3.92972 3.13616
-3.92701 3.13074
-3.92429 3.12531
-3.92158 3.11988
-3.91886 3.11444
-3.91615 3.10903
-3.91344 3.10359
-3.91072 3.09816
-3.90801 3.09274
-3.90529 3.08730
-3.90257 3.08187
-3.89986 3.07643
-3.89715 3.07101
-3.89443 3.06557
-3.89171 3.06014
-3.88900 3.05472
-3.88628 3.04928
-3.88356 3.04384
-3.88084 3.03840
-3.87813 3.03297
-3.87541 3.02753
-3.87268 3.02209
-3.86997 3.01666
-3.86725 3.01122
-3.86453 3.00577
-3.86180 3.00032
-3.85909 2.99490
-3.85636 2.98945
-3.85364 2.98400
-3.85092 2.97856
-3.84820 2.97311
-3.84547 2.96766
-3.84274 2.96220
-3.84002 2.95676
-3.83729 2.95131
-3.83456 2.94585
-3.83184 2.94040
-3.82911 2.93494
-3.82638 2.92948
-3.82365 2.92401
-3.82092 2.91856
-3.81819 2.91310
-3.81545 2.90763
-3.81273 2.90217
-3.80999 2.89670
-3.80725 2.89122
-3.80451 2.88574
-3.80178 2.88028
-3.79904 2.87480
-3.79630 2.86932
-3.79357 2.86385
-3.79082 2.85836
-3.78808 2.85287
-3.78533 2.84738
-3.78259 2.84191
-3.77984 2.83641
-3.77710 2.83091
-3.77435 2.82543
-3.77160 2.81992
-3.76885 2.81442
-3.76609 2.80891
-3.76335 2.80342
-3.76059 2.79790
-3.75783 2.79239
-3.75508 2.78689
-3.75232 2.78137
-3.74956 2.77584
-3.74680 2.77031
-3.74404 2.76480
-3.74127 2.75927
-3.73851 2.75373
-3.73575 2.74821
-3.73297 2.74267
-3.73020 2.73712
-3.72743 2.73158
-3.72466 2.72604
-3.72188 2.72049
-3.71910 2.71493
-3.71633 2.70939
-3.71355 2.70382
-3.71077 2.69825
-3.70798 2.69268
-3.70520 2.68713
-3.70241 2.68155
-3.69962 2.67596
-3.69684 2.67040
-3.69404 2.66481
-3.69125 2.65921
-3.68845 2.65361
-3.68566 2.64803
-3.68285 2.64243
-3.68005 2.63682
-3.67725 2.63122
-3.67444 2.62560
-3.67163 2.61998
-3.66882 2.61436
-3.66601 2.60875
-3.66320 2.60311
-3.66038 2.59747
-3.65756 2.59185
-3.65474 2.58620
-3.65191 2.58055
-3.64908 2.57489
-3.64626 2.56925
-3.64343 2.56358
-3.64059 2.55791
-3.63777 2.55225
-3.63493 2.54657
-3.63208 2.54088
-3.62924 2.53519
-3.62640 2.52952
-3.62355 2.52382
-3.62069 2.51811
-3.61785 2.51242
-3.61499 2.50670
-3.61213 2.50098
-3.60926 2.49525
-3.60641 2.48954
-3.60354 2.48380
-3.60067 2.47805
-3.59780 2.47232
-3.59492 2.46657
-3.59204 2.46080
-3.58916 2.45504
-3.58628 2.44928
-3.58339 2.44350
-3.58050 2.43772
-3.57761 2.43195
-3.57471 2.42615
-3.57181 2.42034
-3.56891 2.41453
-3.56601 2.40874
-3.56310 2.40291
