# sss file
-1.57080 3.14159
-0.42552 3.13616
-0.42281 3.13074
-0.42009 3.12531
-0.41738 3.11988
-0.41466 3.11444
-0.41195 3.10903
-0.40924 3.10359
-0.40652 3.09816
-0.40440 3.09392
-0.51659 3.09540
-0.63422 3.09625
-0.75432 3.09646
-0.87354 3.09605
-0.98858 3.09496
-1.09678 3.09331
-1.19639 3.09112
-1.27238 3.08894
-1.37245 3.09071
-1.47829 3.09194
-1.58794 3.09261
-1.69894 3.09268
-1.80858 3.09215
-1.91434 3.09103
-2.01418 3.08937
-2.10668 3.08723
-2.17585 3.08516
-2.26877 3.08700
-2.36699 3.08835
-2.46904 3.08918
-2.57296 3.08945
-2.67654 3.08917
-2.77763 3.08831
-2.87430 3.08694
-2.96513 3.08508
-3.04921 3.08276
-3.11112 3.08063
-3.19770 3.08236
-3.28847 3.08362
-3.38221 3.08439
-3.47739 3.08464
-3.57233 3.08439
-3.66535 3.08363
-3.75492 3.08238
-3.83986 3.08067
-3.91933 3.07852
-3.99290 3.07601
-4.04524 3.07384
-4.12368 3.07542
-4.20515 3.07656
-4.28877 3.07729
-4.37342 3.07753
-4.45793 3.07734
-4.54108 3.07668
-4.62181 3.07559
-4.69916 3.07407
-4.77245 3.07215
-4.84123 3.06989
-4.90525 3.06729
-4.94636 3.06533
-5.01601 3.06691
-5.08810 3.06812
-5.16199 3.06894
-5.23695 3.06936
-5.31216 3.06938
-5.38676 3.06898
-5.45997 3.06820
-5.53102 3.06702
-5.59931 3.06546
-5.66437 3.06356
-5.72588 3.06133
-5.78365 3.05882
-5.81283 3.05736
-5.87534 3.05913
-5.94013 3.06057
-6.00677 3.06166
-6.07478 3.06240
-6.14354 3.06276
-6.21244 3.06276
-6.28081 3.06238
-6.34805 3.06164
-6.41356 3.06054
-6.47685 3.05909
-6.53753 3.05732
-6.59531 3.05525
-6.65000 3.05287
-6.66665 3.05207
-6.72460 3.05409
-6.78491 3.05582
-6.84728 3.05725
-6.91132 3.05831
-6.97660 3.05905
-7.04258 3.05943
-7.10872 3.05947
-7.17441 3.05913
-7.23914 3.05844
-7.30236 3.05742
-7.36362 3.05605
-7.42257 3.05437
-7.47890 3.05238
-7.53243 3.05011
-7.53605 3.04996
-7.59197 3.05215
-7.65036 3.05409
-7.71096 3.05571
-7.77347 3.05700
-7.83749 3.05797
-7.90258 3.05860
-7.96817 3.05886
-8.03374 3.05879
-8.09872 3.05835
-8.16257 3.05755
-8.22481 3.05643
-8.28501 3.05498
-8.34283 3.05321
