# sss file
-1.57080 3.14159
-0.38999 3.13616
-0.38728 3.13074
-0.38456 3.12531
-0.38185 3.11988
-0.37913 3.11444
-0.37642 3.10903
-0.37371 3.10359
-0.37099 3.09816
-0.36863 3.09344
-0.48093 3.09456
-0.59681 3.09506
-0.71326 3.09492
-0.82722 3.09416
-0.93591 3.09281
-1.03726 3.09091
-1.13007 3.08852
-1.16197 3.08753
-1.26153 3.08877
-1.36452 3.08945
-1.46888 3.08960
-1.57238 3.08917
-1.67286 3.08820
-1.76851 3.08669
-1.85798 3.08470
-1.94052 3.08228
-1.95538 3.08179
-2.04506 3.08312
-2.13790 3.08398
-2.23244 3.08434
-2.32703 3.08417
-2.42001 3.08350
-2.50982 3.08232
-2.59527 3.08071
-2.67544 3.07865
-2.74891 3.07624
-2.83070 3.07765
-2.91540 3.07864
-3.00188 3.07915
-3.08893 3.07921
-3.17523 3.07879
-3.25954 3.07791
-3.34073 3.07658
-3.41797 3.07485
-3.49060 3.07272
-3.54244 3.07086
-3.61784 3.07236
-3.69584 3.07345
-3.77565 3.07409
-3.85631 3.07434
-3.93676 3.07413
-4.01600 3.07348
-4.09306 3.07242
-4.16714 3.07095
-4.23761 3.06911
-4.30404 3.06692
-4.33604 3.06569
-4.40612 3.06723
-4.47858 3.06839
-4.55279 3.06917
-4.62799 3.06955
-4.70336 3.06953
-4.77804 3.06909
-4.85120 3.06826
-4.92213 3.06702
-4.99024 3.06544
-5.05505 3.06350
-5.11626 3.06124
-5.12970 3.06067
-5.19532 3.06227
-5.26312 3.06350
-5.33259 3.06440
-5.40310 3.06489
-5.47402 3.06502
-5.54461 3.06476
-5.61418 3.06411
-5.68209 3.06310
-5.74777 3.06173
-5.81077 3.06002
-5.87075 3.05799
-5.92337 3.05584
-5.98519 3.05747
-6.04900 3.05879
-6.11440 3.05974
-6.18089 3.06036
-6.24791 3.06061
-6.31485 3.06050
-6.38113 3.06002
-6.44619 3.05920
-6.50950 3.05803
-6.57063 3.05650
-6.62924 3.05470
-6.68506 3.05259
-6.71705 3.05118
-6.77560 3.05285
-6.83598 3.05420
-6.89787 3.05525
-6.96085 3.05595
-7.02444 3.05631
-7.08814 3.05633
-7.15144 3.05601
-7.21384 3.05534
-7.27488 3.05434
-7.33414 3.05302
-7.39128 3.05139
-7.44603 3.04947
-7.49822 3.04726
-7.51072 3.04669
-7.56641 3.04838
-7.62383 3.04979
-7.68266 3.05089
-7.74256 3.05167
-7.80311 3.05213
-7.86392 3.05226
-7.92453 3.05207
-7.98449 3.05156
-8.04337 3.05070
-8.10080 3.04954
-8.15646 3.04808
-8.21008 3.04635
-8.26145 3.04431
-8.30437 3.04233
-8.35759 3.04407
-8.41240 3.04551
-8.46855 3.04667
-8.52573 3.04753
-8.58363 3.04808
-8.64183 3.04831
-8.70000 3.04823
-8.75770 3.04783
-8.81456 3.04713
-8.87025 3.04612
-8.92444 3.04481
-8.97688 3.04323
-9.02735 3.04136
-9.07570 3.03925
-9.09799 3.03815
-9.14902 3.03990
-9.20152 3.04138
-9.25530 3.04260
-9.31009 3.04351
-9.36558 3.04414
-9.42147 3.04446
-9.47740 3.04448
-9.53303 3.04420
-9.58803 3.04363
-9.64205 3.04273
-9.69482 3.04157
-9.74607 3.04013
-9.79561 3.03841
-9.84326 3.03646
-9.88889 3.03425
-9.89159 3.03411
-9.94065 3.03588
-9.99111 3.03739
-10.04277 3.03864
-10.09542 3.03961
-10.14878 3.04032
-10.20256 3.04072
-10.25649 3.04083
-10.31022 3.04066
-10.36346 3.04018
-10.41592 3.03942
-10.46732 3.03838
-10.51741 3.03706
-10.56600 3.03550
-10.61290 3.03368
-10.65799 3.03160
-10.68514 3.03021
-10.73246 3.03200
-10.78109 3.03354
-10.83086 3.03482
-10.88157 3.03585
-10.93301 3.03661
-10.98490 3.03708
-11.03699 3.03727
-11.08898 3.03718
-11.14061 3.03682
-11.19158 3.03617
-11.24167 3.03524
-11.29064 3.03406
-11.33827 3.03259
-11.38440 3.03090
-11.42890 3.02898
-11.47166 3.02681
-11.47857 3.02643
-11.52433 3.02823
-11.57132 3.02980
-11.61939 3.03113
-11.66837 3.03219
-11.71806 3.03299
-11.76823 3.03354
-11.81864 3.03381
-11.86903 3.03381
-11.91914 3.03353
-11.96875 3.03297
-12.01759 3.03216
-12.06546 3.03107
-12.11215 3.02974
-12.15751 3.02816
-12.20139 3.02635
-12.24369 3.02431
-12.27195 3.02277
-12.31628 3.02460
-12.36178 3.02618
-12.40831 3.02753
-12.45573 3.02865
-12.50383 3.02951
-12.55242 3.03010
-12.60128 3.03042
-12.65020 3.03050
-12.69892 3.03031
-12.74723 3.02985
-12.79489 3.02913
-12.84170 3.02814
-12.88748 3.02692
-12.93206 3.02544
-12.97531 3.02374
-13.01711 3.02182
-13.05738 3.01969
-13.06524 3.01923
-13.10827 3.02106
-13.15241 3.02268
-13.19753 3.02405
-13.24351 3.02519
-13.29017 3.02610
-13.33733 3.02675
-13.38478 3.02713
-13.43232 3.02728
-13.47974 3.02715
-13.52682 3.02677
-13.57337 3.02614
-13.61917 3.02527
-13.66406 3.02412
-13.70788 3.02275
-13.75049 3.02115
-13.79177 3.01935
-13.83164 3.01731
-13.85839 3.01579
-13.90025 3.01763
-13.94316 3.01927
-13.98700 3.02066
-14.03166 3.02184
-14.07700 3.02279
-14.12282 3.02348
-14.16897 3.02393
-14.21524 3.02412
-14.26144 3.02407
-14.30738 3.02376
-14.35287 3.02321
-14.39771 3.02241
-14.44174 3.02138
-14.48480 3.02011
-14.52677 3.01860
-14.56753 3.01689
-14.60696 3.01495
-14.64505 3.01282
-14.65144 3.01244
-14.69219 3.01428
-14.73397 3.01594
-14.77663 3.01737
-14.82008 3.01857
-14.86419 3.01954
-14.90879 3.02028
-14.95372 3.02077
-14.99882 3.02104
-15.04388 3.02104
-15.08875 3.02081
-15.13322 3.02034
-15.17714 3.01961
-15.22033 3.01866
-15.26267 3.01748
-15.30400 3.01607
-15.34421 3.01444
-15.38322 3.01261
-15.42095 3.01057
-15.44434 3.00916
-15.48409 3.01103
-15.52480 3.01268
-15.56638 3.01413
-15.60871 3.01537
-15.65168 3.01638
-15.69514 3.01716
