# sss file
-1.57080 3.14159
-3.13888 3.13616
-3.13617 3.13074
-3.13345 3.12531
-3.13074 3.11988
-3.12802 3.11444
-3.12531 3.10903
-3.12260 3.10359
-3.12241 3.10321
-3.13847 3.10353
-3.15466 3.10386
-3.17114 3.10418
-3.18776 3.10448
-3.20462 3.10481
-3.22163 3.10513
-3.23899 3.10545
-3.25644 3.10578
-3.27423 3.10608
-3.29215 3.10640
-3.31035 3.10671
-3.32880 3.10703
-3.34754 3.10733
-3.36645 3.10764
-3.38569 3.10796
-3.40513 3.10827
-3.42489 3.10857
-3.44488 3.10885
-3.46515 3.10916
-3.48575 3.10946
-3.50665 3.10975
-3.52779 3.11003
-3.54929 3.11032
-3.57105 3.11060
-3.59309 3.11089
-3.61549 3.11117
-3.63820 3.11144
-3.66118 3.11170
-3.68452 3.11197
-3.70824 3.11222
-3.73223 3.11248
-3.75663 3.11271
-3.78130 3.11296
-3.80639 3.11321
-3.83179 3.11343
-3.85749 3.11366
-3.88364 3.11387
-3.91003 3.11408
-3.93681 3.11429
-3.96393 3.11448
-3.99144 3.11467
-4.01930 3.11484
-4.04743 3.11501
-4.07597 3.11518
-4.10478 3.11533
-4.13393 3.11549
-4.16350 3.11562
-4.19326 3.11573
-4.22327 3.11585
-4.25364 3.11596
-4.28433 3.11606
-4.31522 3.11613
-4.34635 3.11621
-4.37767 3.11626
-4.40925 3.11632
-4.44105 3.11636
-4.47306 3.11638
-4.50512 3.11640
-4.53732 3.11640
-4.56971 3.11638
-4.60209 3.11634
-4.63465 3.11630
-4.66714 3.11625
-4.69968 3.11619
-4.73223 3.11609
-4.76477 3.11600
-4.79719 3.11590
-4.82956 3.11577
-4.86188 3.11564
-4.89400 3.11549
-4.92604 3.11531
-4.95787 3.11512
-4.98957 3.11493
-5.02093 3.11473
-5.05222 3.11450
-5.08318 3.11427
-5.11394 3.11400
-5.14441 3.11374
-5.17454 3.11347
-5.20442 3.11317
-5.23399 3.11286
-5.26327 3.11254
-5.29213 3.11220
-5.32078 3.11186
-5.34900 3.11150
-5.37692 3.11112
-5.40442 3.11074
-5.43161 3.11034
-5.45844 3.10992
-5.48491 3.10950
-5.51101 3.10904
-5.53682 3.10861
-5.56222 3.10813
-5.58726 3.10766
-5.61196 3.10718
-5.63624 3.10667
-5.66025 3.10616
-5.68389 3.10564
-5.70720 3.10511
-5.73012 3.10456
-5.75273 3.10401
-5.77501 3.10344
-5.79697 3.10287
-5.81865 3.10228
-5.83994 3.10167
-5.86095 3.10106
-5.88165 3.10044
-5.90205 3.09981
-5.92213 3.09916
-5.94197 3.09852
-5.96149 3.09785
-5.98074 3.09719
-5.99975 3.09650
-6.01842 3.09580
-6.03691 3.09511
-6.05508 3.09439
-6.07302 3.09367
-6.09066 3.09295
-6.10814 3.09221
-6.12534 3.09147
-6.14232 3.09071
-6.15903 3.08993
-6.17555 3.08917
-6.19185 3.08837
-6.20795 3.08757
-6.22383 3.08677
-6.23951 3.08595
-6.25496 3.08514
-6.27112 3.08571
-6.28746 3.08626
-6.30403 3.08681
-6.32080 3.08736
-6.33776 3.08791
-6.35493 3.08846
-6.37233 3.08901
-6.38993 3.08955
-6.40778 3.09008
-6.42587 3.09061
-6.44420 3.09114
-6.46276 3.09167
-6.48156 3.09219
-6.50062 3.09272
-6.51990 3.09323
-6.53945 3.09373
-6.55934 3.09424
-6.57944 3.09473
-6.59984 3.09523
-6.62048 3.09570
-6.64147 3.09620
-6.66270 3.09667
-6.68423 3.09713
-6.70613 3.09760
-6.72824 3.09806
-6.75076 3.09850
-6.77351 3.09893
-6.79667 3.09937
-6.82004 3.09981
-6.84380 3.10021
-6.86796 3.10063
-6.89233 3.10102
-6.91717 3.10142
-6.94228 3.10180
-6.96771 3.10217
-6.99354 3.10253
-7.01972 3.10289
-7.04620 3.10323
-7.07308 3.10355
-7.10028 3.10388
-7.12778 3.10418
-7.15565 3.10446
-7.18395 3.10475
-7.21246 3.10502
-7.24135 3.10528
-7.27061 3.10553
-7.30014 3.10576
-7.32991 3.10597
-7.36002 3.10617
-7.39045 3.10635
-7.42114 3.10652
-7.45208 3.10667
-7.48322 3.10682
-7.51461 3.10693
-7.54621 3.10705
-7.57805 3.10712
-7.60999 3.10720
-7.64216 3.10726
-7.67438 3.10730
-7.70672 3.10730
-7.73915 3.10731
-7.77166 3.10728
-7.80424 3.10724
-7.83679 3.10720
-7.86935 3.10712
-7.90184 3.10703
-7.93432 3.10692
-7.96668 3.10678
-7.99894 3.10663
-8.03110 3.10646
-8.06312 3.10627
-8.09496 3.10606
-8.12652 3.10583
-8.15796 3.10559
-8.18918 3.10532
-8.22019 3.10505
-8.25086 3.10475
-8.28127 3.10443
-8.31143 3.10408
-8.34125 3.10372
-8.37080 3.10336
-8.40000 3.10296
-8.42895 3.10256
-8.45749 3.10213
-8.48570 3.10169
-8.51354 3.10123
-8.54105 3.10076
-8.56817 3.10026
-8.59497 3.09975
-8.62141 3.09922
-8.64746 3.09869
-8.67320 3.09814
-8.69854 3.09757
-8.72349 3.09698
-8.74809 3.09637
-8.77239 3.09576
-8.79634 3.09513
-8.81987 3.09449
-8.84309 3.09382
-8.86602 3.09316
-8.88856 3.09247
-8.91075 3.09177
-8.93267 3.09107
-8.95422 3.09034
-8.97549 3.08960
-8.99643 3.08884
-9.01707 3.08808
-9.03740 3.08730
-9.05742 3.08652
-9.07718 3.08573
-9.09663 3.08491
-9.11581 3.08409
-9.13471 3.08325
-9.15334 3.08240
-9.17170 3.08154
-9.18978 3.08067
-9.20765 3.07979
-9.22528 3.07890
-9.24262 3.07799
-9.25974 3.07708
-9.27663 3.07616
-9.29331 3.07523
-9.30973 3.07428
-9.32595 3.07333
-9.34195 3.07236
-9.35774 3.07139
-9.38874 3.06951
-9.40500 3.07029
-9.42146 3.07105
-9.43811 3.07181
-9.45497 3.07257
-9.47204 3.07331
-9.48933 3.07405
-9.50682 3.07480
-9.52455 3.07554
-9.54247 3.07626
-9.56066 3.07698
-9.57907 3.07770
-9.59771 3.07841
-9.61659 3.07911
-9.63576 3.07981
-9.65513 3.08050
-9.67482 3.08118
-9.69474 3.08187
-9.71495 3.08253
-9.73540 3.08320
-9.75613 3.08384
-9.77719 3.08449
-9.79852 3.08512
-9.82012 3.08574
-9.84206 3.08635
-9.86432 3.08698
-9.88685 3.08757
-9.90971 3.08816
