# sss file
-1.57080 3.14159
-1.47565 2.95131
4.80753 2.95131
4.90355 2.75927
-1.37963 2.75927
-1.28179 2.56358
5.00140 2.56358
5.10219 2.36200
-1.18100 2.36200
-1.07583 2.15166
5.20735 2.15166
5.31889 1.92858
-0.96429 1.92858
-0.84330 1.68661
5.43988 1.68661
5.57570 1.41497
-0.70748 1.41497
-0.54525 1.09049
5.73794 1.09049
5.96562 0.63512
-0.31756 0.63512
-1.57080 3.14159
1.57080 3.14159
2.82403 0.63512
1.57080 3.14159
0.00000 3.14159
1.25324 0.63512
0.00000 3.14159
3.14159 3.14159
4.39483 0.63512
