# sss file
-1.57080 3.14159
-0.03078 3.13922
-0.06295 3.13685
-0.09518 3.13453
-0.12683 3.13216
-0.15906 3.12979
-0.19053 3.12747
-0.22242 3.12515
-0.25443 3.12288
-0.28609 3.12065
-0.31782 3.11843
-0.34970 3.11630
-0.38176 3.11417
-0.41372 3.11209
-0.44548 3.11011
-0.47762 3.10818
-0.50965 3.10634
-0.54166 3.10455
-0.57383 3.10286
-0.60598 3.10126
-0.63822 3.09971
-0.67035 3.09831
-0.70257 3.09696
-0.73494 3.09575
-0.76738 3.09463
-0.79982 3.09362
-0.83234 3.09270
-0.86492 3.09193
-0.89753 3.09125
-0.93016 3.09067
-0.96294 3.09028
-0.99569 3.08994
-1.02849 3.08975
-1.06145 3.08970
-1.09453 3.08980
-1.12758 3.08999
-1.16062 3.09028
-1.19380 3.09072
-1.22708 3.09130
-1.26040 3.09197
-1.29374 3.09280
-1.32708 3.09376
-1.36062 3.09483
-1.39409 3.09599
-1.42778 3.09730
-1.46138 3.09870
-1.49504 3.10025
-1.52889 3.10184
-1.56276 3.10358
-1.59657 3.10542
-1.63041 3.10736
-1.66434 3.10934
-1.69849 3.11147
-1.73243 3.11364
-1.76664 3.11591
-1.80076 3.11824
-1.83477 3.12065
-1.86915 3.12312
-1.90328 3.12564
-1.93758 3.12820
-1.97138 3.13081
-2.00626 3.13347
-2.03962 3.13618
-2.07459 3.13888
-1.57080 3.14159
1.00219 3.13884
0.96996 3.13613
0.93822 3.13337
0.90632 3.13062
0.87471 3.12791
0.84323 3.12520
0.81143 3.12254
0.77994 3.11993
0.74809 3.11732
0.71646 3.11480
0.68477 3.11229
0.65303 3.10987
0.62130 3.10750
0.58956 3.10523
0.55774 3.10300
0.52577 3.10087
0.49382 3.09884
0.46184 3.09691
0.42983 3.09507
0.39770 3.09333
0.36565 3.09168
0.33345 3.09018
0.30120 3.08878
0.26879 3.08752
0.23645 3.08636
0.20403 3.08535
0.17152 3.08448
0.13896 3.08370
0.10627 3.08312
0.07358 3.08264
0.04084 3.08230
0.00789 3.08211
-0.02496 3.08206
-0.05799 3.08215
-0.09102 3.08240
-0.12419 3.08278
-0.15744 3.08332
-0.19068 3.08399
