# sss file
-0.31756 0.63512
-0.44526 0.89051
-0.10812 0.63512
-0.10463 0.63512
-0.23428 0.89443
0.10481 0.63512
0.10293 0.64585
-0.02330 0.89832
0.31237 0.64585
0.31321 0.65115
0.18769 0.90221
0.52265 0.65115
0.52351 0.65641
0.39868 0.90607
0.73295 0.65641
0.73384 0.66163
0.60969 0.90992
0.94327 0.66163
0.94418 0.66681
0.82070 0.91376
1.15362 0.66681
1.15453 0.67195
1.03172 0.91758
1.36397 0.67195
1.36491 0.67706
1.24275 0.92139
1.57435 0.67706
1.57531 0.68212
1.45378 0.92518
1.78475 0.68212
1.78572 0.68716
1.66482 0.92896
1.99516 0.68716
1.99616 0.69215
1.87587 0.93272
2.20560 0.69215
2.20661 0.69711
2.08693 0.93647
2.41604 0.69711
2.41707 0.70204
2.29799 0.94020
2.62651 0.70204
2.62755 0.70694
2.50906 0.94393
2.83699 0.70694
2.83805 0.71180
2.72014 0.94763
3.04749 0.71180
3.04857 0.71663
2.93122 0.95133
3.25801 0.71663
3.25910 0.72143
3.14231 0.95501
3.46854 0.72143
3.46964 0.72620
3.35340 0.95868
3.67908 0.72620
3.68020 0.73094
3.56451 0.96233
3.88964 0.73094
3.89078 0.73565
3.77562 0.96598
4.10022 0.73565
4.10137 0.74034
3.98673 0.96961
4.31081 0.74034
4.31197 0.74499
4.19785 0.97322
4.52141 0.74499
4.52259 0.74962
4.40898 0.97683
4.73202 0.74962
4.73322 0.75422
4.62011 0.98042
4.94266 0.75422
4.94386 0.75879
4.83125 0.98400
5.15330 0.75879
5.15452 0.76334
5.04240 0.98757
5.36396 0.76334
5.36519 0.76786
5.25355 0.99113
5.57462 0.76786
5.57587 0.77236
5.46471 0.99468
5.78531 0.77236
5.78656 0.77683
5.67587 0.99821
5.99600 0.77683
5.99727 0.78127
5.88704 1.00173
6.20671 0.78127
6.20799 0.78570
6.09821 1.00525
6.41743 0.78570
6.41872 0.79010
6.30939 1.00875
6.62816 0.79010
6.62946 0.79447
6.52058 1.01223
6.83890 0.79447
6.84021 0.79883
6.73177 1.01571
7.04965 0.79883
7.05098 0.80316
6.94297 1.01918
7.26042 0.80316
7.26175 0.80747
7.15417 1.02264
7.47119 0.80747
7.47254 0.81176
7.36537 1.02608
7.68198 0.81176
7.68333 0.81603
7.57659 1.02952
7.89277 0.81603
7.89414 0.82027
7.78780 1.03294
