# sss file
-1.57080 3.14159
-1.57080 3.14159
6.00562 0.63512
4.76189 3.12259
4.46488 3.14159
4.85960 3.10351
12.31393 0.66487
11.08503 3.12269
10.88325 3.14159
11.31194 3.06054
18.62286 0.69340
17.40826 3.12259
17.01588 3.14159
17.41675 3.10659
24.93232 0.72083
23.73140 3.12269
23.00397 3.14159
23.62550 3.12563
31.24227 0.74731
30.05463 3.12259
28.85892 3.14159
29.88257 3.13228
37.55265 0.77292
36.37777 3.12269
36.00718 3.14159
36.44235 3.06425
43.86343 0.79774
42.70100 3.12259
42.19395 3.14159
42.58604 3.09904
50.17455 0.82186
49.02414 3.12269
48.51997 3.14159
48.91903 3.08743
56.48601 0.84533
55.34737 3.12259
54.77048 3.14159
55.16636 3.09653
62.79776 0.86819
61.67051 3.12269
60.96745 3.14159
61.39747 3.10930
69.10978 0.89051
67.99374 3.12259
67.22806 3.14159
67.66939 3.11226
75.42206 0.91232
74.31688 3.12269
73.53059 3.14159
73.96037 3.11074
81.73458 0.93366
80.64011 3.12259
79.51686 3.14159
80.18007 3.12563
88.04732 0.95455
86.96325 3.12269
85.62697 3.14159
86.44641 3.12962
94.36027 0.97503
93.28648 3.12259
91.94929 3.14159
92.73603 3.12829
100.67341 0.99512
99.60962 3.12269
97.76756 3.14159
98.99595 3.13361
106.98673 1.01484
105.93285 3.12259
103.83821 3.14159
105.27347 3.13494
113.30022 1.03423
112.25599 3.12270
110.05090 3.14159
111.55695 3.13494
119.61388 1.05328
118.57922 3.12259
116.28371 3.14159
117.84044 3.13494
125.92769 1.07203
124.90236 3.12270
122.60047 3.14159
124.12394 3.13494
132.24165 1.09049
131.22560 3.12259
129.11492 3.14159
130.41370 3.13361
138.55574 1.10867
137.54873 3.12270
135.48767 3.14159
136.69726 3.13361
144.86997 1.12659
143.87197 3.12259
141.86785 3.14159
142.98083 3.13361
151.18432 1.14426
150.19510 3.12270
148.34346 3.14159
149.27732 3.13095
157.49879 1.16169
156.51834 3.12259
154.49631 3.14159
155.55450 3.13228
163.81337 1.17889
162.84147 3.12270
160.80161 3.14159
161.83815 3.13228
170.12807 1.19587
169.16471 3.12259
167.11674 3.14159
168.12180 3.13228
176.44287 1.21264
175.48784 3.12270
173.46031 3.14159
174.41218 3.13095
182.75777 1.22921
181.81108 3.12259
178.35677 3.14159
174.37877 3.13760
182.78958 1.24559
181.85102 3.12270
178.04952 3.14159
174.37897 3.13760
182.82148 1.26179
181.89108 3.12259
178.07169 3.14159
174.37918 3.13760
182.85347 1.27781
181.93102 3.12270
178.03441 3.14159
174.37940 3.13760
182.88555 1.29365
181.97108 3.12259
178.14216 3.14159
174.37961 3.13760
182.91771 1.30934
182.01102 3.12271
178.20553 3.14159
174.37983 3.13760
182.94994 1.32486
182.05108 3.12259
178.26006 3.14159
174.38005 3.13760
182.98226 1.34023
182.09102 3.12271
178.29609 3.14159
174.38027 3.13760
183.01465 1.35545
182.13108 3.12259
178.34270 3.14159
174.38049 3.13760
183.04711 1.37053
182.17102 3.12271
178.35014 3.14159
174.38072 3.13760
183.07964 1.38548
182.21108 3.12259
178.41029 3.14159
174.38095 3.13760
183.11223 1.40029
182.25102 3.12271
184.82445 3.14159
180.66437 3.13760
189.42808 1.41497
188.57426 3.12259
191.33506 3.14159
186.94779 3.13760
195.74398 1.42952
194.89739 3.12271
197.56401 3.14159
193.23122 3.13760
202.05995 1.44396
201.22063 3.12259
203.35530 3.14159
199.51465 3.13760
208.37598 1.45827
207.54376 3.12271
209.61964 3.14159
205.79808 3.13760
214.69206 1.47248
213.86700 3.12259
215.56197 3.14159
212.08151 3.13760
221.00820 1.48657
220.19013 3.12271
221.87591 3.14159
218.36495 3.13760
227.32439 1.50055
226.51337 3.12259
228.12487 3.14159
224.64839 3.13760
233.64064 1.51444
232.83650 3.12272
234.40679 3.14159
230.93183 3.13760
239.95693 1.52822
239.15975 3.12259
240.72918 3.14159
237.21528 3.13760
246.27328 1.54190
245.48287 3.12272
247.03291 3.14159
243.49873 3.13760
252.58967 1.55548
251.80612 3.12259
253.30104 3.14159
249.78219 3.13760
258.90611 1.56898
258.12924 3.12272
259.61362 3.14159
256.06564 3.13760
265.22259 1.58238
264.45249 3.12259
265.92647 3.14159
262.34910 3.13760
271.53912 1.59569
270.77561 3.12272
272.24586 3.14159
268.63257 3.13760
277.85569 1.60892
277.09886 3.12259
278.58066 3.14159
274.91604 3.13760
284.17231 1.62207
283.42198 3.12272
284.85371 3.14159
281.19951 3.13760
290.48896 1.63513
289.74523 3.12259
291.11576 3.14159
287.48299 3.13760
296.80565 1.64811
296.06835 3.12272
297.29143 3.14159
293.76647 3.13760
303.12239 1.66102
302.39160 3.12259
303.57748 3.14159
300.04996 3.13760
309.43916 1.67385
308.71472 3.12273
309.85516 3.14159
306.33345 3.13760
315.75596 1.68661
315.03797 3.12259
316.14909 3.14159
312.61694 3.13760
322.07281 1.69929
321.36109 3.12273
322.42505 3.14159
318.90044 3.13760
328.38968 1.71190
327.68434 3.12259
328.71728 3.14159
325.18395 3.13760
334.70660 1.72445
334.00746 3.12273
334.98454 3.14159
331.46745 3.13760
341.02354 1.73693
340.33071 3.12259
341.26947 3.14159
337.75097 3.13760
347.34052 1.74934
