# sss file
-1.57080 3.14159
-1.57080 3.14159
0.02112 3.09936
0.25943 3.05915
0.02112 3.09936
0.04224 3.05711
-0.08244 3.01768
-0.02487 2.97574
0.04224 3.05711
0.20636 3.01768
0.40226 2.98348
0.20636 3.01768
0.30062 2.97676
0.27712 2.93517
0.34205 2.89389
0.30062 2.97676
0.04224 3.05711
0.06328 3.01503
0.19073 2.97574
0.06328 3.01503
0.08446 2.97269
0.01813 2.93354
0.05378 2.89123
0.08446 2.97269
0.01813 2.93354
0.05378 2.89123
0.01813 2.93354
-0.02024 2.89328
-0.10375 2.85989
-0.10780 2.81800
-0.02024 2.89328
0.02186 2.85108
0.10905 2.81409
0.02186 2.85108
0.05873 2.80853
0.04255 2.76770
0.07857 2.72505
0.05873 2.80853
0.08446 2.97269
0.18993 2.93354
0.33097 2.90167
0.18993 2.93354
0.26856 2.89328
0.26866 2.85108
0.32851 2.81018
0.26856 2.89328
0.38545 2.85989
0.51874 2.83712
0.38545 2.85989
0.48171 2.82458
0.51633 2.78195
0.58974 2.74433
0.48171 2.82458
0.26856 2.89328
0.33125 2.85210
0.43140 2.81800
0.33125 2.85210
0.38370 2.81059
0.37993 2.76873
0.42565 2.72671
0.38370 2.81059
0.37993 2.76873
0.42565 2.72671
0.37993 2.76873
0.38155 2.72629
0.34543 2.69033
0.35675 2.64711
0.38155 2.72629
0.42655 2.68450
0.49809 2.64983
0.42655 2.68450
0.46786 2.64229
0.47219 2.59943
0.51063 2.55674
0.46786 2.64229
0.38370 2.81059
0.08446 2.97269
0.10567 2.93027
0.19658 2.89123
0.10567 2.93027
0.12692 2.88775
0.08539 2.84861
0.11437 2.80606
0.12692 2.88775
0.20759 2.84861
0.31810 2.81780
0.20759 2.84861
0.27433 2.80853
0.28348 2.76584
0.33797 2.72505
0.27433 2.80853
0.12692 2.88775
0.14824 2.84512
0.22117 2.80606
0.14824 2.84512
0.16952 2.80256
0.14182 2.76316
0.16806 2.72028
0.16952 2.80256
0.14182 2.76316
0.16806 2.72028
0.14182 2.76316
0.12331 2.72318
0.07211 2.69158
0.06879 2.64983
0.12331 2.72318
0.15284 2.67991
0.21387 2.64166
0.15284 2.67991
0.18109 2.63663
0.17358 2.59563
0.20267 2.55186
0.18109 2.63663
0.16952 2.80256
0.14182 2.76316
0.16806 2.72028
0.14182 2.76316
0.12331 2.72318
0.07211 2.69158
0.06879 2.64983
0.12331 2.72318
0.15284 2.67991
0.21387 2.64166
0.15284 2.67991
0.18109 2.63663
0.17358 2.59563
0.20267 2.55186
0.18109 2.63663
0.12331 2.72318
0.11200 2.68221
0.14343 2.63914
0.11200 2.68221
0.10599 2.64082
0.06948 2.60743
0.07321 2.56479
0.10599 2.64082
0.06948 2.60743
0.07321 2.56479
0.06948 2.60743
0.03989 2.57262
-0.01207 2.54995
-0.02974 2.51227
0.03989 2.57262
0.04824 2.52933
0.08652 2.48617
0.04824 2.52933
0.05844 2.48553
0.04185 2.44831
0.05647 2.40366
0.05844 2.48553
0.10599 2.64082
0.13893 2.59753
0.19734 2.56013
0.13893 2.59753
0.17041 2.55398
0.17048 2.51184
0.20175 2.46770
0.17041 2.55398
0.22574 2.51611
0.29290 2.48960
0.22574 2.51611
0.27752 2.47716
0.30314 2.43253
0.35024 2.39233
0.27752 2.47716
0.17041 2.55398
0.20063 2.51014
0.25341 2.47179
0.20063 2.51014
0.23012 2.46576
0.23209 2.42321
0.26163 2.37835
0.23012 2.46576
0.23209 2.42321
0.26163 2.37835
0.23209 2.42321
0.23635 2.38010
0.21749 2.34542
0.22663 2.30094
0.23635 2.38010
0.26668 2.33484
0.31409 2.29583
0.26668 2.33484
0.29653 2.28914
0.30413 2.24454
0.33405 2.19809
0.29653 2.28914
0.23012 2.46576
0.16952 2.80256
0.23662 2.76316
0.32824 2.73272
0.23662 2.76316
0.29511 2.72318
0.30884 2.67991
0.35903 2.63914
0.29511 2.72318
0.37791 2.69158
0.47070 2.67240
0.37791 2.69158
0.45270 2.65819
0.49208 2.61563
0.55559 2.58002
0.45270 2.65819
0.29511 2.72318
0.34740 2.68221
0.42299 2.64983
0.34740 2.68221
0.39479 2.64082
0.40513 2.59753
0.44797 2.55546
0.39479 2.64082
0.40513 2.59753
0.44797 2.55546
0.40513 2.59753
0.41721 2.55398
0.39974 2.51611
0.41631 2.47179
0.41721 2.55398
0.45928 2.51184
0.51929 2.47802
0.45928 2.51184
0.49910 2.46899
0.51154 2.42473
0.54911 2.38119
0.49910 2.46899
0.39479 2.64082
0.46468 2.60743
0.54411 2.58677
0.46468 2.60743
0.52909 2.57262
0.56404 2.52933
0.62060 2.49260
0.52909 2.57262
0.60373 2.54995
0.67834 2.54251
0.60373 2.54995
0.67477 2.52507
0.72612 2.48595
0.79001 2.45758
0.67477 2.52507
0.52909 2.57262
0.58882 2.53635
0.65906 2.51227
0.58882 2.53635
0.64449 2.49902
0.67361 2.45478
0.72378 2.41583
0.64449 2.49902
0.67361 2.45478
0.72378 2.41583
0.67361 2.45478
0.70232 2.40997
0.70542 2.36696
0.73431 2.32158
0.70232 2.40997
0.75066 2.37068
0.80840 2.34300
0.75066 2.37068
0.79669 2.33042
0.82208 2.28424
0.86523 2.24274
0.79669 2.33042
0.64449 2.49902
