# sss file
-1.57080 3.14159
-2.18403 3.13616
-2.18132 3.13074
-2.17860 3.12531
-2.17589 3.11988
-2.17317 3.11444
-2.17046 3.10903
-2.16775 3.10359
-2.16503 3.09816
-2.16232 3.09274
-2.15960 3.08730
-2.15688 3.08187
-2.15417 3.07643
-2.15146 3.07101
-2.14874 3.06557
-2.14602 3.06014
-2.14331 3.05472
-2.14059 3.04928
-2.13787 3.04384
-2.13515 3.03840
-2.13244 3.03297
-2.12972 3.02753
-2.12699 3.02209
-2.12428 3.01666
-2.12156 3.01122
-2.11884 3.00577
-2.11611 3.00032
-2.11340 2.99490
-2.11067 2.98945
-2.10795 2.98400
-2.10523 2.97856
-2.10251 2.97311
-2.09978 2.96766
-2.09705 2.96220
-2.09433 2.95676
-2.09160 2.95131
-2.08887 2.94585
-2.08615 2.94040
-2.08342 2.93494
-2.08069 2.92948
-2.07796 2.92401
-2.07523 2.91856
-2.07250 2.91310
-2.06976 2.90763
-2.06704 2.90217
-2.06430 2.89670
-2.06156 2.89122
-2.05882 2.88574
-2.05609 2.88028
-2.05335 2.87480
-2.05061 2.86932
-2.04788 2.86385
-2.04513 2.85836
-2.04239 2.85287
-2.03964 2.84738
-2.03690 2.84191
-2.03415 2.83641
-2.03141 2.83091
-2.02866 2.82543
-2.02591 2.81992
-2.02316 2.81442
-2.02040 2.80891
-2.01766 2.80342
-2.01490 2.79790
-2.01214 2.79239
-2.00939 2.78689
-2.00663 2.78137
-2.00387 2.77584
-2.00111 2.77031
-1.99835 2.76480
-1.99558 2.75927
-1.99282 2.75373
-1.99006 2.74821
-1.98728 2.74267
-1.98451 2.73712
-1.98174 2.73158
-1.97897 2.72604
-1.97619 2.72049
-1.97341 2.71493
-1.97064 2.70939
-1.96786 2.70382
-1.96508 2.69825
-1.96229 2.69268
-1.95951 2.68713
-1.95672 2.68155
-1.95393 2.67596
-1.95115 2.67040
-1.94835 2.66481
-1.94556 2.65921
-1.94276 2.65361
-1.93997 2.64803
-1.93716 2.64243
-1.93436 2.63682
-1.93156 2.63122
-1.92875 2.62560
-1.92594 2.61998
