# sss file
-1.57080 3.14159
0.00272 3.13616
0.00543 3.13074
0.00815 3.12531
0.01086 3.11988
0.01358 3.11444
0.01629 3.10903
0.01792 3.10576
-0.08026 3.10186
-0.15971 3.09764
-0.22438 3.09318
-0.27745 3.08852
-0.32142 3.08373
-0.35819 3.07884
-0.38920 3.07386
-0.41557 3.06883
-0.43816 3.06375
-0.45764 3.05861
-0.47451 3.05344
-0.47880 3.05200
-0.50020 3.05717
-0.52406 3.06232
-0.55082 3.06742
-0.58113 3.07248
-0.61575 3.07748
-0.65570 3.08238
-0.70232 3.08721
-0.75733 3.09188
-0.82301 3.09641
-0.90231 3.10072
-0.99885 3.10471
-1.02930 3.10576
-1.12747 3.10186
-1.20692 3.09764
-1.27158 3.09316
-1.32466 3.08852
-1.36862 3.08373
-1.40539 3.07884
-1.43641 3.07386
-1.46278 3.06883
-1.48537 3.06375
-1.50484 3.05860
-1.52172 3.05344
-1.52600 3.05200
-1.54740 3.05717
-1.57126 3.06232
-1.59802 3.06742
-1.62832 3.07248
-1.66295 3.07748
-1.70289 3.08238
-1.74951 3.08721
-1.80452 3.09188
-1.87020 3.09641
-1.94950 3.10072
-2.04604 3.10471
-2.07646 3.10576
-2.17464 3.10186
-2.25409 3.09764
-2.31876 3.09316
-2.37184 3.08852
-2.41581 3.08373
-2.45258 3.07884
-2.48359 3.07386
-2.50997 3.06883
-2.53256 3.06375
-2.55204 3.05861
-2.56891 3.05344
-2.57320 3.05200
-2.59460 3.05717
-2.61846 3.06232
-2.64522 3.06742
-2.67552 3.07248
-2.71014 3.07748
-2.75009 3.08238
-2.79671 3.08721
-2.85172 3.09188
-2.91739 3.09641
-2.99668 3.10072
-3.09322 3.10471
-3.12368 3.10576
-3.22185 3.10186
-3.30131 3.09764
-3.36598 3.09318
-3.41904 3.08852
-3.46301 3.08373
-3.49978 3.07884
-3.53079 3.07386
-3.55716 3.06883
-3.57976 3.06375
-3.59923 3.05861
-3.61610 3.05344
-3.62039 3.05200
-3.64180 3.05717
-3.66565 3.06232
-3.69242 3.06742
-3.72272 3.07248
-3.75734 3.07748
-3.79729 3.08238
-3.84391 3.08721
-3.89892 3.09188
-3.96461 3.09641
-4.04390 3.10072
-4.14044 3.10471
-4.17089 3.10576
-4.26906 3.10186
-4.34851 3.09764
-4.41317 3.09316
-4.46625 3.08852
-4.51021 3.08373
-4.54699 3.07884
-4.57800 3.07386
-4.60437 3.06883
-4.62696 3.06375
-4.64643 3.05860
-4.66331 3.05344
-4.66759 3.05200
-4.68900 3.05717
-4.71285 3.06232
-4.73961 3.06742
-4.76991 3.07248
-4.80454 3.07748
-4.84449 3.08238
-4.89111 3.08721
-4.94612 3.09188
-5.01180 3.09641
-5.09109 3.10072
-5.18763 3.10471
-5.21805 3.10576
-5.31623 3.10186
-5.39569 3.09764
-5.46035 3.09316
-5.51343 3.08852
-5.55740 3.08373
-5.59417 3.07884
-5.62519 3.07386
-5.65156 3.06883
-5.67415 3.06375
-5.69363 3.05861
-5.71050 3.05344
-5.71479 3.05200
-5.73620 3.05717
-5.76005 3.06232
-5.78681 3.06742
-5.81711 3.07248
-5.85173 3.07748
-5.89168 3.08238
-5.93830 3.08721
-5.99331 3.09188
-6.05899 3.09641
-6.13828 3.10072
-6.23482 3.10471
-6.26527 3.10576
-6.26256 3.10034
-6.25984 3.09491
-6.25712 3.08947
-6.25441 3.08403
-6.25170 3.07862
-6.24954 3.07430
-6.30353 3.07050
-6.35159 3.06649
-6.39439 3.06230
-6.43254 3.05797
-6.46662 3.05352
-6.49711 3.04895
-6.52447 3.04431
-6.54906 3.03959
-6.57121 3.03480
-6.59120 3.02995
-6.60931 3.02504
-6.62571 3.02009
-6.64063 3.01510
-6.65420 3.01007
-6.66655 3.00501
-6.67784 2.99992
-6.68815 2.99480
-6.69759 2.98967
-6.70623 2.98451
-6.71413 2.97933
-6.72139 2.97412
-6.72260 2.97322
-6.73494 2.97841
-6.74792 2.98360
-6.76158 2.98876
-6.77601 2.99390
-6.79128 2.99903
-6.80749 3.00411
-6.82472 3.00918
-6.84310 3.01423
-6.86276 3.01921
-6.88386 3.02418
-6.90657 3.02909
-6.93107 3.03394
-6.95764 3.03876
-6.98652 3.04349
-7.01802 3.04815
-7.05250 3.05272
-7.09040 3.05721
-7.13214 3.06154
-7.17830 3.06576
-7.22944 3.06980
-7.28619 3.07365
-7.29675 3.07430
-7.35074 3.07050
-7.39879 3.06649
-7.44159 3.06230
-7.47974 3.05797
-7.51382 3.05352
-7.54432 3.04895
-7.57167 3.04431
-7.59626 3.03959
-7.61841 3.03480
-7.63841 3.02995
-7.65651 3.02504
-7.67292 3.02009
-7.68783 3.01510
-7.70140 3.01007
-7.71375 3.00501
-7.72504 2.99992
-7.73535 2.99480
-7.74479 2.98967
-7.75343 2.98451
-7.76133 2.97933
-7.76859 2.97412
-7.76980 2.97322
-7.78214 2.97841
-7.79512 2.98360
-7.80878 2.98876
-7.82321 2.99390
-7.83848 2.99903
-7.85469 3.00411
-7.87191 3.00918
-7.89030 3.01423
-7.90996 3.01921
-7.93106 3.02418
-7.95376 3.02909
-7.97827 3.03394
-8.00484 3.03876
-8.03371 3.04349
-8.06522 3.04815
-8.09970 3.05272
-8.13759 3.05721
-8.17934 3.06154
-8.22549 3.06576
-8.27664 3.06981
-8.33339 3.07365
-8.34393 3.07430
-8.39792 3.07050
-8.44598 3.06649
-8.48878 3.06230
-8.52693 3.05797
-8.56101 3.05352
-8.59150 3.04895
-8.61886 3.04431
-8.64345 3.03959
-8.66560 3.03480
-8.68560 3.02995
-8.70370 3.02504
-8.72011 3.02009
-8.73502 3.01510
-8.74859 3.01007
-8.76095 3.00501
-8.77224 2.99992
-8.78255 2.99480
-8.79199 2.98967
-8.80062 2.98451
-8.80853 2.97933
-8.81578 2.97412
-8.81699 2.97322
-8.82934 2.97841
-8.84231 2.98360
-8.85598 2.98876
-8.87041 2.99390
-8.88568 2.99903
-8.90188 3.00411
-8.91911 3.00918
-8.93750 3.01423
-8.95716 3.01921
-8.97825 3.02418
-9.00096 3.02909
-9.02546 3.03394
-9.05203 3.03876
-9.08091 3.04349
-9.11241 3.04815
-9.14689 3.05272
-9.18478 3.05721
-9.22653 3.06154
-9.27269 3.06576
-9.32383 3.06981
-9.38058 3.07365
-9.39113 3.07430
-9.44513 3.07050
-9.49318 3.06649
-9.53598 3.06230
-9.57413 3.05797
-9.60821 3.05352
-9.63871 3.04895
-9.66606 3.04431
-9.69065 3.03959
-9.71280 3.03480
-9.73280 3.02995
-9.75090 3.02504
-9.76731 3.02009
-9.78222 3.01510
-9.79579 3.01007
-9.80815 3.00501
-9.81944 2.99992
-9.82974 2.99480
-9.83919 2.98967
-9.84782 2.98451
-9.85572 2.97933
-9.86298 2.97412
-9.86419 2.97322
-9.87654 2.97841
-9.88951 2.98360
-9.90318 2.98876
-9.91761 2.99390
-9.93288 2.99903
-9.94908 3.00411
-9.96631 3.00918
-9.98469 3.01423
-10.00436 3.01921
-10.02545 3.02418
-10.04816 3.02909
-10.07267 3.03394
-10.09924 3.03876
-10.12811 3.04349
-10.15961 3.04815
-10.19410 3.05272
-10.23199 3.05721
-10.27374 3.06154
-10.31989 3.06576
-10.37103 3.06980
-10.42779 3.07365
-10.43834 3.07430
-10.49233 3.07050
-10.54039 3.06649
-10.58319 3.06230
-10.62133 3.05797
-10.65542 3.05352
-10.68591 3.04895
-10.71326 3.04431
-10.73785 3.03959
-10.76000 3.03480
-10.78000 3.02995
-10.79810 3.02504
-10.81451 3.02009
-10.82942 3.01510
-10.84299 3.01007
-10.85535 3.00501
-10.86664 2.99992
-10.87694 2.99480
-10.88639 2.98967
-10.89502 2.98451
-10.90292 2.97933
-10.91018 2.97412
-10.91139 2.97322
-10.92373 2.97841
-10.93671 2.98360
-10.95037 2.98876
-10.96480 2.99390
-10.98007 2.99903
-10.99628 3.00411
-11.01351 3.00918
-11.03189 3.01423
-11.05155 3.01921
-11.07265 3.02418
-11.09536 3.02909
-11.11986 3.03394
-11.14643 3.03876
-11.17531 3.04349
-11.20681 3.04815
-11.24129 3.05272
-11.27918 3.05721
-11.32093 3.06154
-11.36709 3.06576
-11.41823 3.06981
-11.47498 3.07365
-11.48552 3.07430
-11.53951 3.07050
-11.58757 3.06649
-11.63037 3.06230
-11.66852 3.05797
-11.70260 3.05352
-11.73310 3.04895
-11.76045 3.04431
-11.78504 3.03959
-11.80719 3.03480
-11.82719 3.02995
-11.84529 3.02504
-11.86170 3.02009
-11.87662 3.01510
-11.89019 3.01007
-11.90254 3.00501
-11.91383 2.99992
-11.92414 2.99480
-11.93358 2.98967
-11.94222 2.98451
-11.95012 2.97933
-11.95737 2.97412
-11.95859 2.97322
-11.97093 2.97841
-11.98391 2.98360
-11.99757 2.98876
-12.01200 2.99390
-12.02727 2.99903
-12.04348 3.00411
-12.06070 3.00918
-12.07909 3.01423
-12.09875 3.01921
-12.11985 3.02418
-12.14255 3.02909
-12.16706 3.03394
-12.19363 3.03876
-12.22250 3.04349
-12.25400 3.04815
-12.28848 3.05272
-12.32637 3.05721
-12.36812 3.06154
-12.41428 3.06576
-12.46542 3.06981
-12.52217 3.07365
-12.53272 3.07430
-12.53001 3.06888
-12.52729 3.06344
-12.52457 3.05801
-12.52186 3.05259
-12.52085 3.05055
-12.56086 3.04677
-12.59750 3.04281
-12.63108 3.03874
-12.66184 3.03453
-12.69004 3.03023
-12.71590 3.02582
-12.73965 3.02135
-12.76148 3.01678
-12.78156 3.01213
-12.80006 3.00745
-12.81712 3.00271
-12.83286 2.99791
-12.84739 2.99305
-12.86085 2.98817
-12.87330 2.98325
-12.88483 2.97830
-12.89551 2.97330
-12.90543 2.96829
-12.91464 2.96325
-12.92318 2.95818
-12.93112 2.95308
-12.93850 2.94798
-12.94535 2.94285
-12.95173 2.93769
-12.95766 2.93254
-12.96317 2.92736
-12.96829 2.92216
-12.97305 2.91696
-12.97595 2.91355
-12.98571 2.91878
-12.99579 2.92397
-13.00624 2.92917
-13.01706 2.93435
-13.02830 2.93951
-13.03998 2.94464
-13.05215 2.94978
-13.06482 2.95487
-13.07805 2.95995
-13.09188 2.96502
-13.10637 2.97006
-13.12155 2.97506
-13.13750 2.98003
-13.15429 2.98499
-13.17198 2.98988
-13.19068 2.99476
-13.21045 2.99958
-13.23142 3.00436
-13.25371 3.00910
-13.27741 3.01377
-13.30270 3.01838
-13.32972 3.02293
-13.35865 3.02738
-13.38969 3.03176
-13.42302 3.03602
-13.45890 3.04018
-13.49756 3.04422
-13.53924 3.04810
-13.56806 3.05055
-13.60805 3.04675
-13.64470 3.04281
-13.67828 3.03874
-13.70904 3.03453
-13.73724 3.03023
-13.76310 3.02582
-13.78685 3.02135
-13.80869 3.01678
-13.82877 3.01213
-13.84726 3.00745
-13.86432 3.00271
-13.88006 2.99791
-13.89459 2.99305
-13.90805 2.98817
-13.92050 2.98325
-13.93203 2.97830
-13.94271 2.97330
-13.95263 2.96829
-13.96184 2.96325
-13.97038 2.95818
-13.97832 2.95308
-13.98570 2.94798
-13.99255 2.94285
-13.99893 2.93769
-14.00486 2.93254
-14.01037 2.92736
-14.01549 2.92216
-14.02024 2.91694
-14.02315 2.91355
-14.03290 2.91878
-14.04299 2.92397
-14.05344 2.92917
-14.06426 2.93435
-14.07550 2.93951
-14.08718 2.94464
-14.09935 2.94978
-14.11202 2.95487
-14.12525 2.95995
-14.13908 2.96502
-14.15356 2.97006
-14.16874 2.97506
-14.18470 2.98003
-14.20148 2.98499
-14.21918 2.98988
-14.23787 2.99476
-14.25765 2.99958
-14.27862 3.00436
-14.30090 3.00910
-14.32460 3.01377
-14.34990 3.01838
-14.37692 3.02293
-14.40585 3.02738
-14.43688 3.03176
-14.47022 3.03602
-14.50609 3.04018
-14.54475 3.04422
-14.58643 3.04810
-14.61524 3.05055
-14.65523 3.04675
-14.69189 3.04281
-14.72547 3.03874
-14.75623 3.03453
-14.78443 3.03023
-14.81029 3.02582
-14.83404 3.02135
-14.85588 3.01678
-14.87596 3.01213
-14.89445 3.00745
-14.91151 3.00271
-14.92725 2.99791
-14.94179 2.99305
-14.95524 2.98817
-14.96770 2.98325
-14.97923 2.97830
-14.98991 2.97330
-14.99982 2.96829
-15.00904 2.96325
-15.01758 2.95818
-15.02551 2.95308
-15.03289 2.94798
-15.03975 2.94285
-15.04613 2.93769
-15.05206 2.93254
-15.05757 2.92736
-15.06269 2.92216
-15.06744 2.91694
-15.07035 2.91355
-15.08010 2.91878
-15.09019 2.92397
-15.10064 2.92917
-15.11146 2.93435
-15.12270 2.93951
-15.13438 2.94464
-15.14655 2.94978
-15.15922 2.95487
-15.17245 2.95995
-15.18628 2.96502
-15.20076 2.97006
-15.21594 2.97506
-15.23190 2.98003
-15.24868 2.98499
-15.26637 2.98988
-15.28507 2.99476
-15.30485 2.99958
-15.32582 3.00436
-15.34810 3.00910
-15.37180 3.01377
-15.39709 3.01838
-15.42411 3.02293
-15.45304 3.02738
-15.48408 3.03176
-15.51741 3.03602
-15.55329 3.04018
-15.59195 3.04422
-15.63363 3.04810
-15.66245 3.05055
-15.70245 3.04677
-15.73909 3.04281
-15.77267 3.03874
-15.80343 3.03453
-15.83163 3.03023
-15.85749 3.02582
-15.88125 3.02135
-15.90308 3.01678
-15.92316 3.01213
-15.94165 3.00745
-15.95871 3.00271
-15.97445 2.99791
-15.98899 2.99305
-16.00244 2.98817
-16.01490 2.98325
-16.02642 2.97830
-16.03711 2.97330
-16.04702 2.96829
-16.05623 2.96325
-16.06477 2.95818
-16.07271 2.95308
-16.08009 2.94798
-16.08694 2.94285
-16.09332 2.93769
-16.09925 2.93254
-16.10476 2.92736
-16.10988 2.92216
-16.11465 2.91696
-16.11755 2.91355
-16.12730 2.91878
-16.13738 2.92397
-16.14783 2.92917
-16.15865 2.93435
-16.16989 2.93951
-16.18158 2.94464
-16.19375 2.94978
-16.20642 2.95487
-16.21965 2.95995
-16.23348 2.96502
-16.24796 2.97006
-16.26314 2.97506
-16.27910 2.98003
-16.29588 2.98499
-16.31357 2.98988
-16.33227 2.99476
-16.35205 2.99958
-16.37302 3.00436
-16.39530 3.00910
-16.41900 3.01377
-16.44430 3.01838
-16.47132 3.02293
-16.50025 3.02738
-16.53128 3.03176
-16.56462 3.03602
-16.60049 3.04018
-16.63915 3.04422
-16.68083 3.04810
-16.70965 3.05055
-16.74964 3.04675
-16.78629 3.04281
-16.81988 3.03874
-16.85063 3.03453
-16.87883 3.03023
-16.90469 3.02582
-16.92845 3.02135
-16.95028 3.01678
-16.97036 3.01213
-16.98885 3.00745
-17.00591 3.00271
-17.02165 2.99791
-17.03619 2.99305
-17.04964 2.98817
-17.06210 2.98325
-17.07362 2.97830
-17.08431 2.97330
-17.09422 2.96829
-17.10343 2.96325
-17.11197 2.95818
-17.11991 2.95308
-17.12729 2.94798
-17.13414 2.94285
-17.14052 2.93769
-17.14645 2.93254
-17.15196 2.92736
-17.15708 2.92216
-17.16184 2.91694
-17.16474 2.91355
-17.17450 2.91878
-17.18458 2.92397
-17.19503 2.92917
-17.20585 2.93435
-17.21709 2.93951
-17.22877 2.94464
-17.24094 2.94978
-17.25361 2.95487
-17.26684 2.95995
-17.28067 2.96502
-17.29516 2.97006
-17.31034 2.97506
-17.32629 2.98003
-17.34308 2.98499
-17.36077 2.98988
-17.37947 2.99476
-17.39924 2.99958
-17.42021 3.00436
-17.44249 3.00910
-17.46620 3.01377
-17.49149 3.01838
-17.51851 3.02293
-17.54744 3.02738
-17.57848 3.03176
-17.61181 3.03602
-17.64769 3.04018
-17.68634 3.04422
-17.72803 3.04810
-17.75684 3.05055
-17.79683 3.04675
-17.83348 3.04281
-17.86706 3.03874
-17.89782 3.03453
-17.92602 3.03023
-17.95188 3.02582
-17.97564 3.02135
-17.99747 3.01678
-18.01755 3.01213
-18.03604 3.00745
-18.05310 3.00271
-18.06884 2.99791
-18.08338 2.99305
-18.09683 2.98817
-18.10929 2.98325
-18.12082 2.97830
-18.13150 2.97330
-18.14141 2.96829
-18.15063 2.96325
-18.15917 2.95818
-18.16710 2.95308
-18.17449 2.94798
-18.18134 2.94285
-18.18772 2.93769
-18.19365 2.93254
-18.19916 2.92736
-18.20428 2.92216
-18.20903 2.91694
-18.21194 2.91355
-18.22170 2.91878
-18.23178 2.92397
-18.24223 2.92917
-18.25305 2.93435
-18.26429 2.93951
-18.27597 2.94464
-18.28814 2.94978
-18.30081 2.95487
-18.31404 2.95995
-18.32787 2.96502
-18.34235 2.97006
-18.35753 2.97506
-18.37349 2.98003
-18.39027 2.98499
-18.40797 2.98988
-18.42666 2.99476
-18.44644 2.99958
-18.46741 3.00436
-18.48969 3.00910
-18.51339 3.01377
-18.53869 3.01838
-18.56571 3.02293
-18.59464 3.02738
-18.62567 3.03176
-18.65900 3.03602
-18.69488 3.04018
-18.73354 3.04422
-18.77522 3.04810
-18.80404 3.05055
-18.80132 3.04511
-18.79860 3.03967
-18.79588 3.03425
-18.79451 3.03151
-18.82754 3.02774
-18.85821 3.02384
-18.88670 3.01980
-18.91317 3.01567
-18.93775 3.01145
-18.96061 3.00714
-18.98185 3.00274
-19.00160 2.99827
-19.02000 2.99373
-19.03712 2.98914
-19.05308 2.98449
-19.06796 2.97980
-19.08184 2.97506
-19.09479 2.97027
-19.10688 2.96542
-19.11820 2.96058
-19.12877 2.95568
-19.13866 2.95075
-19.14789 2.94579
-19.15655 2.94081
-19.16466 2.93580
-19.17225 2.93076
-19.17937 2.92571
-19.18601 2.92063
-19.19225 2.91554
-19.19809 2.91042
-19.20357 2.90529
-19.20868 2.90014
-19.21349 2.89499
-19.21796 2.88981
-19.22216 2.88461
-19.22608 2.87942
-19.22974 2.87421
-19.23316 2.86897
-19.23520 2.86567
-19.24370 2.87091
-19.25242 2.87612
-19.26139 2.88134
-19.27060 2.88653
-19.28009 2.89172
-19.28985 2.89689
-19.29993 2.90206
-19.31031 2.90719
-19.32105 2.91231
-19.33213 2.91742
-19.34361 2.92250
-19.35549 2.92757
-19.36783 2.93261
-19.38063 2.93765
-19.39393 2.94264
-19.40778 2.94762
-19.42220 2.95257
-19.43725 2.95749
-19.45298 2.96237
-19.46941 2.96722
-19.48663 2.97202
-19.50469 2.97681
-19.52366 2.98154
-19.54360 2.98621
-19.56461 2.99084
-19.58675 2.99541
-19.61015 2.99992
-19.63488 3.00436
-19.66107 3.00874
-19.68883 3.01303
-19.71829 3.01721
-19.74957 3.02131
-19.78284 3.02529
-19.81822 3.02915
-19.84170 3.03151
-19.87473 3.02774
-19.90541 3.02384
-19.93389 3.01980
-19.96037 3.01567
-19.98495 3.01145
-20.00780 3.00714
-20.02904 3.00274
-20.04880 2.99827
-20.06719 2.99373
-20.08431 2.98914
-20.10027 2.98449
-20.11515 2.97980
-20.12903 2.97506
-20.14198 2.97027
-20.15408 2.96544
-20.16539 2.96058
-20.17596 2.95568
-20.18585 2.95075
-20.19509 2.94579
-20.20375 2.94081
-20.21186 2.93580
-20.21945 2.93076
-20.22656 2.92571
-20.23321 2.92063
-20.23945 2.91554
-20.24529 2.91042
-20.25076 2.90529
-20.25588 2.90014
-20.26068 2.89499
-20.26516 2.88981
-20.26936 2.88461
-20.27328 2.87942
-20.27694 2.87421
-20.28036 2.86897
-20.28240 2.86567
-20.29090 2.87091
-20.29962 2.87612
-20.30859 2.88134
-20.31780 2.88653
-20.32729 2.89172
-20.33705 2.89689
-20.34713 2.90206
-20.35751 2.90719
-20.36825 2.91231
-20.37933 2.91742
-20.39081 2.92250
-20.40269 2.92757
-20.41504 2.93263
-20.42783 2.93765
-20.44113 2.94264
-20.45498 2.94762
-20.46940 2.95257
-20.48445 2.95749
-20.50018 2.96237
-20.51662 2.96722
-20.53383 2.97202
-20.55189 2.97681
-20.57087 2.98154
-20.59080 2.98621
-20.61181 2.99084
-20.63396 2.99541
-20.65735 2.99992
-20.68209 3.00436
-20.70828 3.00874
-20.73604 3.01303
-20.76550 3.01721
-20.79678 3.02131
-20.83004 3.02529
-20.86542 3.02915
-20.88891 3.03151
-20.92194 3.02774
-20.95262 3.02384
-20.98110 3.01980
-21.00757 3.01567
-21.03215 3.01145
-21.05501 3.00714
-21.07625 3.00274
-21.09600 2.99827
-21.11440 2.99373
-21.13152 2.98914
-21.14748 2.98449
-21.16235 2.97980
-21.17624 2.97506
-21.18918 2.97027
-21.20129 2.96544
-21.21260 2.96058
-21.22316 2.95568
-21.23305 2.95075
-21.24229 2.94579
-21.25095 2.94081
-21.25906 2.93580
-21.26665 2.93076
-21.27376 2.92571
-21.28041 2.92063
-21.28665 2.91554
-21.29249 2.91042
-21.29796 2.90529
-21.30308 2.90014
-21.30788 2.89499
-21.31236 2.88981
-21.31655 2.88461
-21.32048 2.87942
-21.32414 2.87421
-21.32756 2.86897
-21.32959 2.86567
-21.33810 2.87091
-21.34682 2.87612
-21.35579 2.88134
-21.36500 2.88653
-21.37449 2.89172
-21.38425 2.89689
-21.39433 2.90206
-21.40471 2.90719
-21.41544 2.91231
-21.42653 2.91742
-21.43800 2.92250
-21.44989 2.92757
-21.46222 2.93261
-21.47503 2.93765
-21.48833 2.94264
-21.50218 2.94762
-21.51660 2.95257
-21.53165 2.95749
-21.54738 2.96237
-21.56381 2.96722
-21.58103 2.97202
-21.59909 2.97681
-21.61806 2.98154
-21.63800 2.98621
-21.65901 2.99084
-21.68115 2.99541
-21.70455 2.99992
-21.72928 3.00436
-21.75548 3.00874
-21.78323 3.01303
-21.81269 3.01721
-21.84398 3.02131
-21.87724 3.02529
-21.91262 3.02915
-21.93610 3.03151
-21.96913 3.02774
-21.99981 3.02384
-22.02829 3.01980
-22.05477 3.01567
-22.07935 3.01145
-22.10220 3.00714
-22.12344 3.00274
-22.14320 2.99827
-22.16159 2.99373
-22.17871 2.98914
-22.19467 2.98449
-22.20955 2.97980
