# sss file
-1.57080 3.14159
0.00272 3.13616
0.00543 3.13074
0.00815 3.12531
0.01086 3.11988
0.01358 3.11444
0.01629 3.10903
0.01900 3.10359
0.02172 3.09816
0.02443 3.09274
0.02715 3.08730
0.02987 3.08187
0.03258 3.07643
0.03529 3.07101
0.03801 3.06557
0.04073 3.06014
0.04344 3.05472
0.04616 3.04928
0.04888 3.04384
0.05160 3.03840
0.05431 3.03297
0.05703 3.02753
0.05976 3.02209
0.06247 3.01666
0.06519 3.01122
0.06791 3.00577
0.07064 3.00032
0.07335 2.99490
0.07608 2.98945
0.07880 2.98400
0.08152 2.97856
0.08424 2.97311
0.08697 2.96766
0.08970 2.96220
0.09242 2.95676
0.09515 2.95131
0.09788 2.94585
0.10060 2.94040
0.10333 2.93494
0.10606 2.92948
0.10879 2.92401
0.11152 2.91856
0.11425 2.91310
0.11699 2.90763
0.11971 2.90217
0.12245 2.89670
0.12519 2.89122
0.12793 2.88574
0.13066 2.88028
0.13340 2.87480
0.13614 2.86932
0.13887 2.86385
0.14162 2.85836
0.14436 2.85287
0.14711 2.84738
0.14985 2.84191
0.15260 2.83641
0.15534 2.83091
0.15802 2.82556
0.14607 2.82222
0.13861 2.82004
0.12714 2.81661
0.12024 2.81448
0.11019 2.81130
0.09938 2.80775
0.09326 2.80567
0.08287 2.80207
0.07721 2.80002
0.06902 2.79702
0.05921 2.79331
0.05419 2.79136
0.04475 2.78760
0.04012 2.78569
0.03346 2.78289
0.02454 2.77905
0.02043 2.77723
0.01185 2.77333
0.00809 2.77157
0.00267 2.76898
-0.00548 2.76501
-0.00882 2.76335
-0.01665 2.75933
-0.01971 2.75772
-0.02410 2.75538
-0.03156 2.75129
-0.03425 2.74978
-0.04144 2.74565
-0.04389 2.74420
-0.04744 2.74209
-0.05430 2.73792
-0.05645 2.73656
-0.06307 2.73235
-0.06503 2.73105
-0.06788 2.72917
-0.07420 2.72492
-0.07592 2.72371
-0.08201 2.71942
-0.08357 2.71829
-0.08585 2.71662
-0.09168 2.71229
-0.09304 2.71125
-0.09867 2.70688
-0.09988 2.70592
-0.10170 2.70446
-0.10710 2.70006
-0.10815 2.69919
-0.11336 2.69475
-0.11429 2.69395
-0.11572 2.69268
-0.12073 2.68822
-0.12152 2.68750
-0.12637 2.68301
-0.12706 2.68235
-0.12818 2.68129
-0.13283 2.67676
-0.13342 2.67620
-0.13792 2.67165
-0.13841 2.67114
-0.13925 2.67026
-0.14360 2.66569
-0.14400 2.66526
-0.14821 2.66066
-0.14916 2.65960
-0.15322 2.65498
-0.15347 2.65469
-0.15740 2.65005
-0.15759 2.64983
-0.15803 2.64931
-0.15870 2.64848
-0.16783 2.65287
-0.16851 2.65320
-0.17774 2.65757
-0.17858 2.65796
-0.17984 2.65855
-0.18919 2.66289
-0.19019 2.66334
-0.19967 2.66766
-0.20081 2.66817
-0.20250 2.66893
-0.21209 2.67321
-0.21345 2.67382
-0.22319 2.67807
-0.22469 2.67872
-0.22683 2.67963
-0.23672 2.68387
-0.23844 2.68459
-0.24846 2.68878
-0.25036 2.68956
-0.25305 2.69067
-0.26323 2.69483
-0.26537 2.69568
-0.27572 2.69981
-0.27807 2.70075
-0.28136 2.70203
-0.29188 2.70610
-0.29451 2.70711
-0.30520 2.71116
-0.30804 2.71223
-0.31202 2.71370
-0.32292 2.71771
-0.32607 2.71884
-0.33715 2.72280
-0.34056 2.72400
-0.34534 2.72567
-0.35666 2.72960
-0.36040 2.73086
-0.37191 2.73474
-0.37596 2.73608
-0.38164 2.73794
-0.39341 2.74176
-0.39785 2.74317
-0.40983 2.74693
-0.41458 2.74841
-0.42132 2.75046
-0.43360 2.75416
-0.43880 2.75571
-0.45130 2.75935
-0.45686 2.76093
-0.46482 2.76320
-0.47767 2.76677
-0.48373 2.76842
-0.49682 2.77194
-0.50329 2.77364
-0.51265 2.77607
-0.52611 2.77951
-0.53316 2.78127
-0.54690 2.78465
-0.55439 2.78644
-0.56537 2.78903
-0.57952 2.79229
-0.58767 2.79414
-0.60211 2.79734
-0.61078 2.79921
-0.62359 2.80193
-0.63422 2.80413
-0.64512 2.80072
-0.65129 2.79873
-0.66179 2.79524
-0.66750 2.79329
-0.67569 2.79042
-0.68564 2.78683
-0.69074 2.78496
-0.70034 2.78131
-0.70505 2.77947
-0.71175 2.77679
-0.72088 2.77306
-0.72507 2.77130
-0.73385 2.76751
-0.73771 2.76581
-0.74321 2.76333
-0.75158 2.75948
-0.75501 2.75786
-0.76309 2.75396
-0.76623 2.75240
-0.77071 2.75015
-0.77841 2.74618
-0.78121 2.74470
-0.78865 2.74069
-0.79120 2.73928
-0.79484 2.73724
-0.80194 2.73317
-0.80421 2.73185
-0.81108 2.72773
-0.81314 2.72649
-0.81609 2.72466
-0.82266 2.72051
-0.82448 2.71934
-0.83083 2.71514
-0.83247 2.71404
-0.83485 2.71242
-0.84094 2.70818
-0.84238 2.70717
-0.84829 2.70291
-0.84958 2.70195
-0.85148 2.70055
-0.85714 2.69625
-0.85827 2.69537
-0.86375 2.69103
-0.86475 2.69023
-0.86625 2.68902
-0.87153 2.68465
-0.87239 2.68393
-0.87752 2.67954
-0.87826 2.67887
-0.87943 2.67786
-0.88436 2.67342
-0.88500 2.67286
-0.88979 2.66840
-0.89033 2.66790
-0.89121 2.66704
-0.89584 2.66256
-0.89627 2.66213
-0.90076 2.65763
-0.90113 2.65726
-0.90179 2.65657
-0.90612 2.65205
-0.90640 2.65175
-0.91060 2.64719
-0.91082 2.64695
-0.91128 2.64644
-0.91536 2.64188
-0.91550 2.64170
-0.91947 2.63711
-0.91956 2.63701
-0.91985 2.63664
-0.92368 2.63203
-0.92371 2.63199
-0.92742 2.62737
-0.92759 2.62716
-0.93096 2.62281
-0.93975 2.62724
-0.93984 2.62727
-0.94872 2.63167
-0.94893 2.63177
-0.94936 2.63199
-0.95834 2.63637
-0.95868 2.63652
-0.96775 2.64088
-0.96823 2.64111
-0.96898 2.64147
-0.97814 2.64578
-0.97877 2.64607
-0.98804 2.65036
-0.98880 2.65072
-0.98990 2.65123
-0.99929 2.65549
-1.00020 2.65590
-1.00971 2.66015
-1.01078 2.66062
-1.01227 2.66129
-1.02191 2.66549
-1.02315 2.66604
-1.03291 2.67022
-1.03431 2.67081
-1.03625 2.67163
-1.04615 2.67579
-1.04776 2.67645
-1.05779 2.68057
-1.05959 2.68131
-1.06202 2.68231
-1.07221 2.68638
-1.07423 2.68718
-1.08456 2.69124
-1.08677 2.69210
-1.08979 2.69327
-1.10029 2.69728
-1.10276 2.69821
-1.11341 2.70219
-1.11610 2.70318
-1.11977 2.70452
-1.13063 2.70847
-1.13359 2.70952
-1.14462 2.71343
-1.14783 2.71456
-1.15224 2.71608
-1.16347 2.71992
-1.16701 2.72113
-1.17843 2.72494
-1.18224 2.72618
-1.18750 2.72791
-1.19916 2.73165
-1.20334 2.73297
-1.21518 2.73668
-1.21965 2.73806
-1.22590 2.73996
-1.23801 2.74360
-1.24290 2.74503
-1.25523 2.74864
-1.26044 2.75013
-1.26780 2.75220
-1.28043 2.75573
-1.28613 2.75729
-1.29899 2.76076
-1.30504 2.76236
-1.31368 2.76461
-1.32687 2.76799
-1.33346 2.76966
-1.34690 2.77298
-1.35389 2.77468
-1.36400 2.77708
-1.37781 2.78032
-1.38541 2.78206
-1.39174 2.78349
-1.40210 2.78013
-1.40750 2.77833
-1.41752 2.77489
-1.42252 2.77313
-1.42963 2.77060
-1.43918 2.76708
-1.44368 2.76538
-1.45293 2.76182
-1.45708 2.76016
-1.46295 2.75780
-1.47179 2.75416
-1.47552 2.75257
-1.48408 2.74889
-1.48752 2.74736
-1.49234 2.74519
-1.50053 2.74143
-1.50361 2.73997
-1.51153 2.73615
-1.51436 2.73476
-1.51832 2.73280
-1.52592 2.72892
-1.52845 2.72762
-1.53581 2.72369
-1.53812 2.72243
-1.54135 2.72066
-1.54842 2.71670
-1.55048 2.71553
-1.55733 2.71153
-1.55920 2.71042
-1.56181 2.70882
-1.56842 2.70478
-1.57007 2.70374
-1.57647 2.69966
-1.57796 2.69868
-1.58006 2.69730
-1.58623 2.69317
-1.58756 2.69229
-1.59353 2.68812
-1.59471 2.68730
-1.59639 2.68609
-1.60217 2.68190
-1.60318 2.68114
-1.60880 2.67692
-1.60969 2.67622
-1.61101 2.67520
-1.61643 2.67094
-1.61721 2.67034
-1.62248 2.66604
-1.62316 2.66549
-1.62416 2.66465
-1.62926 2.66033
-1.62982 2.65984
-1.63479 2.65549
-1.63526 2.65508
-1.63601 2.65440
-1.64083 2.65003
-1.64120 2.64968
-1.64588 2.64529
-1.64619 2.64499
-1.64672 2.64447
-1.65127 2.64005
-1.65149 2.63982
-1.65590 2.63538
-1.65606 2.63521
-1.65642 2.63483
-1.66072 2.63038
-1.66081 2.63028
-1.66498 2.62578
-1.66502 2.62574
-1.66523 2.62553
-1.66927 2.62102
-1.67317 2.61658
-1.67324 2.61648
-1.67698 2.61207
-1.68054 2.60772
-1.68287 2.60484
-1.69122 2.60910
-1.69973 2.61339
-1.70847 2.61774
-1.71732 2.62207
-1.71740 2.62211
-1.71761 2.62220
-1.72656 2.62653
-1.72675 2.62661
-1.73579 2.63091
-1.73612 2.63107
-1.73662 2.63130
-1.74575 2.63556
-1.74621 2.63578
-1.75545 2.64001
-1.75603 2.64029
-1.75685 2.64066
-1.76619 2.64488
-1.76693 2.64521
-1.77638 2.64940
-1.77725 2.64978
-1.77843 2.65030
-1.78799 2.65446
-1.78903 2.65491
-1.79872 2.65906
-1.79990 2.65954
-1.80150 2.66023
-1.81131 2.66434
-1.81268 2.66490
-1.82261 2.66897
-1.82416 2.66960
-1.82621 2.67044
-1.83628 2.67448
-1.83804 2.67518
-1.84823 2.67918
-1.85274 2.68094
-1.86310 2.68490
-1.86526 2.68572
-1.87576 2.68966
-1.87814 2.69054
-1.88128 2.69171
-1.89196 2.69560
-1.89459 2.69656
-1.90542 2.70042
-1.90827 2.70143
-1.91209 2.70275
-1.92310 2.70657
-1.92626 2.70766
-1.93743 2.71143
-1.94082 2.71256
-1.94540 2.71405
-1.95679 2.71779
-1.96051 2.71899
-1.97207 2.72266
-1.97606 2.72391
-1.98151 2.72560
-1.99331 2.72923
-1.99767 2.73055
-2.00966 2.73412
-2.01431 2.73548
-2.02074 2.73734
-2.03300 2.74087
-2.03806 2.74228
-2.05054 2.74575
-2.05591 2.74720
-2.06347 2.74924
-2.07622 2.75263
-2.08208 2.75416
-2.09505 2.75749
-2.10129 2.75906
-2.11011 2.76124
-2.12341 2.76449
-2.13016 2.76612
-2.14368 2.76929
-2.15083 2.77093
-2.15363 2.77157
-2.16408 2.76840
-2.16944 2.76672
-2.17956 2.76349
-2.18455 2.76182
-2.19156 2.75948
-2.20126 2.75615
-2.20578 2.75456
-2.21520 2.75118
-2.21940 2.74963
-2.22525 2.74744
-2.23428 2.74397
-2.23808 2.74248
-2.24685 2.73897
-2.25036 2.73751
-2.25520 2.73549
-2.26364 2.73192
-2.26681 2.73055
-2.27500 2.72692
-2.27792 2.72558
-2.28193 2.72375
-2.28981 2.72006
-2.29244 2.71880
-2.30010 2.71507
-2.30250 2.71386
-2.30579 2.71221
-2.31318 2.70841
-2.31533 2.70729
-2.32252 2.70345
-2.32448 2.70238
-2.32716 2.70090
-2.33409 2.69703
-2.33586 2.69603
-2.34260 2.69212
-2.34418 2.69116
-2.34635 2.68987
-2.35287 2.68592
-2.35428 2.68504
-2.36062 2.68106
-2.36188 2.68024
-2.36362 2.67913
-2.36975 2.67508
-2.37087 2.67434
-2.37684 2.67028
-2.37783 2.66960
-2.37919 2.66864
-2.38499 2.66455
-2.38583 2.66393
-2.39147 2.65980
-2.39223 2.65925
-2.39327 2.65847
-2.39875 2.65430
-2.39938 2.65381
-2.40472 2.64964
-2.40526 2.64921
-2.40605 2.64858
-2.41123 2.64437
-2.41167 2.64399
-2.41673 2.63976
-2.41708 2.63945
-2.41765 2.63897
-2.42256 2.63470
-2.42284 2.63446
-2.42763 2.63016
-2.42784 2.62999
-2.42820 2.62963
-2.43287 2.62533
-2.43301 2.62519
-2.43756 2.62087
-2.43763 2.62079
-2.43785 2.62059
-2.44228 2.61623
-2.44229 2.61623
-2.44658 2.61188
-2.44666 2.61182
-2.45078 2.60750
-2.45472 2.60329
-2.45857 2.59907
-2.46213 2.59502
-2.46272 2.59435
-2.47107 2.59848
-2.47933 2.60250
-2.48804 2.60668
-2.49692 2.61089
-2.50592 2.61508
-2.50600 2.61512
-2.51510 2.61931
-2.51530 2.61939
-2.51555 2.61951
-2.52472 2.62366
-2.52505 2.62382
-2.53432 2.62794
-2.53477 2.62814
-2.53531 2.62837
-2.54468 2.63248
-2.54528 2.63275
-2.55474 2.63682
-2.55547 2.63713
-2.55634 2.63750
-2.56591 2.64156
-2.56680 2.64194
-2.57647 2.64596
-2.57875 2.64690
-2.58854 2.65089
-2.58973 2.65138
-2.59963 2.65534
-2.60099 2.65589
-2.60266 2.65653
-2.61269 2.66048
-2.61423 2.66107
-2.62438 2.66498
-2.62609 2.66563
-2.62823 2.66645
-2.63852 2.67032
-2.64044 2.67102
-2.65085 2.67485
-2.65297 2.67563
-2.65563 2.67659
-2.66620 2.68040
-2.66854 2.68121
-2.67924 2.68498
-2.68179 2.68586
-2.68505 2.68699
-2.69593 2.69071
-2.69873 2.69165
-2.70975 2.69533
-2.71277 2.69633
-2.71672 2.69761
-2.72792 2.70125
-2.73123 2.70230
-2.74259 2.70590
-2.74616 2.70701
-2.75086 2.70845
-2.76241 2.71199
-2.76629 2.71316
-2.77802 2.71666
-2.78216 2.71786
-2.78773 2.71948
-2.79968 2.72292
-2.80419 2.72418
-2.81632 2.72758
-2.82111 2.72888
-2.82765 2.73066
-2.84001 2.73396
-2.84522 2.73534
-2.85777 2.73860
-2.86331 2.74001
-2.87093 2.74193
-2.88375 2.74511
-2.88971 2.74657
-2.90274 2.74970
-2.90906 2.75118
-2.91790 2.75323
-2.93122 2.75629
-2.93804 2.75780
-2.95114 2.76068
-2.96136 2.75757
-2.96640 2.75598
-2.97633 2.75278
-2.98104 2.75123
-2.98756 2.74905
-2.99711 2.74577
-3.00137 2.74426
-3.01064 2.74092
-3.01463 2.73947
-3.02009 2.73743
-3.02901 2.73402
-3.03262 2.73262
-3.04130 2.72917
-3.04464 2.72781
-3.04918 2.72593
-3.05756 2.72241
-3.06056 2.72111
-3.06872 2.71755
-3.07150 2.71631
-3.07526 2.71460
-3.08312 2.71098
-3.08563 2.70980
-3.09328 2.70612
-3.09558 2.70499
-3.09869 2.70347
-3.10608 2.69975
-3.10813 2.69868
-3.11533 2.69492
-3.11721 2.69391
-3.11974 2.69255
-3.12671 2.68874
-3.12839 2.68781
-3.13517 2.68397
-3.13670 2.68309
-3.13874 2.68190
-3.14532 2.67801
-3.14667 2.67719
-3.15306 2.67327
-3.15428 2.67251
-3.15592 2.67149
-3.16213 2.66754
-3.16319 2.66684
-3.16925 2.66285
-3.17018 2.66221
-3.17147 2.66136
-3.17735 2.65733
-3.17816 2.65677
-3.18390 2.65271
-3.18460 2.65218
-3.18558 2.65148
-3.19116 2.64741
-3.19177 2.64695
-3.19720 2.64284
-3.19771 2.64245
-3.19844 2.64190
-3.20373 2.63776
-3.20415 2.63742
-3.20932 2.63326
-3.20964 2.63297
-3.21015 2.63258
-3.21519 2.62837
-3.21544 2.62816
-3.22035 2.62393
-3.22054 2.62378
-3.22086 2.62352
-3.22566 2.61927
-3.22577 2.61918
-3.23045 2.61491
-3.23050 2.61485
-3.23066 2.61471
-3.23522 2.61044
-3.23962 2.60618
-3.23964 2.60616
-3.24390 2.60197
-3.24791 2.59789
-3.25188 2.59372
-3.25552 2.58983
-3.25923 2.58574
-3.26253 2.58201
-3.26541 2.57871
-3.27351 2.58264
-3.28113 2.58630
-3.28954 2.59029
-3.29771 2.59410
-3.30646 2.59814
-3.31521 2.60212
-3.32430 2.60620
-3.32434 2.60622
-3.33351 2.61028
-3.33367 2.61036
-3.33374 2.61038
-3.34299 2.61442
-3.34326 2.61453
-3.35260 2.61855
-3.35300 2.61872
-3.35335 2.61886
-3.36278 2.62285
-3.36330 2.62307
-3.37282 2.62704
-3.37349 2.62731
-3.37416 2.62759
-3.38377 2.63152
-3.38459 2.63185
-3.39430 2.63576
-3.39628 2.63654
-3.40608 2.64041
-3.40719 2.64084
-3.41711 2.64468
-3.41838 2.64517
-3.41980 2.64572
-3.42983 2.64952
-3.43127 2.65007
-3.44141 2.65385
-3.44302 2.65444
-3.44488 2.65512
-3.45516 2.65888
-3.45695 2.65953
-3.46734 2.66324
-3.46931 2.66393
-3.47167 2.66477
-3.48220 2.66844
-3.48439 2.66920
-3.49504 2.67284
-3.49742 2.67364
-3.50034 2.67462
-3.51114 2.67823
-3.51376 2.67909
-3.52469 2.68264
-3.52753 2.68356
-3.53106 2.68469
-3.54215 2.68820
-3.54524 2.68915
-3.55648 2.69264
-3.55981 2.69366
-3.56403 2.69492
-3.57545 2.69835
-3.57906 2.69942
-3.59063 2.70279
-3.59448 2.70390
-3.59949 2.70534
-3.61125 2.70867
-3.61545 2.70983
-3.62736 2.71310
-3.63181 2.71431
-3.63769 2.71588
-3.64981 2.71909
-3.65464 2.72035
-3.66692 2.72350
-3.67202 2.72478
-3.67887 2.72651
-3.69140 2.72960
-3.69689 2.73092
-3.70959 2.73396
-3.71540 2.73532
-3.72334 2.73716
-3.73629 2.74011
-3.74252 2.74151
-3.74474 2.74199
-3.75425 2.73879
-3.75843 2.73736
-3.76769 2.73410
-3.77158 2.73268
-3.77688 2.73074
-3.78581 2.72742
-3.78935 2.72606
-3.79805 2.72268
-3.80133 2.72138
-3.80575 2.71959
-3.81416 2.71615
-3.81713 2.71489
-3.82532 2.71141
-3.82806 2.71020
-3.83173 2.70859
-3.83963 2.70503
-3.84212 2.70390
-3.84982 2.70030
-3.85211 2.69921
-3.85513 2.69775
-3.86259 2.69410
-3.86466 2.69309
-3.87191 2.68939
-3.87380 2.68841
-3.87627 2.68713
-3.88332 2.68340
-3.88500 2.68248
-3.89187 2.67872
-3.89340 2.67786
-3.89540 2.67674
-3.90207 2.67294
-3.90342 2.67214
-3.90992 2.66829
-3.91115 2.66756
-3.91274 2.66659
-3.91906 2.66271
-3.92012 2.66203
-3.92630 2.65812
-3.92725 2.65751
-3.92849 2.65669
-3.93450 2.65275
-3.93531 2.65218
-3.94117 2.64821
-3.94190 2.64772
-3.94285 2.64705
-3.94854 2.64303
-3.94915 2.64260
-3.95471 2.63856
-3.95524 2.63819
-3.95592 2.63766
-3.96135 2.63360
-3.96178 2.63328
-3.96708 2.62918
-3.96742 2.62891
-3.96790 2.62853
-3.97307 2.62443
-3.97333 2.62421
-3.97838 2.62006
-3.97857 2.61990
-3.97885 2.61967
-3.98380 2.61550
-3.98392 2.61540
-3.98874 2.61121
-3.98879 2.61115
-3.98892 2.61105
-3.99363 2.60683
-3.99817 2.60266
-4.00258 2.59852
-4.00669 2.59451
-4.01080 2.59043
-4.01456 2.58661
-4.01841 2.58258
-4.02183 2.57892
-4.02544 2.57497
-4.02856 2.57146
-4.03196 2.56756
-4.03481 2.56421
-4.03800 2.56037
-4.04006 2.55783
-4.04752 2.56158
-4.05400 2.56481
-4.06172 2.56859
-4.06864 2.57196
-4.07665 2.57582
-4.08403 2.57932
-4.09235 2.58323
-4.10025 2.58689
-4.10888 2.59084
-4.11734 2.59467
-4.12634 2.59867
-4.13540 2.60266
-4.14461 2.60664
-4.14477 2.60672
-4.15406 2.61068
-4.15434 2.61079
-4.15449 2.61085
-4.16386 2.61481
-4.16426 2.61497
-4.17373 2.61888
-4.17425 2.61910
-4.17471 2.61929
-4.18426 2.62319
-4.18491 2.62344
-4.19457 2.62731
-4.19536 2.62763
-4.19615 2.62794
-4.20589 2.63177
-4.20683 2.63215
-4.21668 2.63595
-4.21777 2.63637
-4.21891 2.63680
-4.22886 2.64058
-4.23012 2.64105
-4.24017 2.64480
-4.24159 2.64533
-4.24314 2.64590
-4.25331 2.64962
-4.25490 2.65019
-4.26518 2.65387
-4.26695 2.65450
-4.26896 2.65520
-4.27936 2.65884
-4.28132 2.65953
-4.29184 2.66314
-4.29399 2.66387
-4.29651 2.66473
-4.30716 2.66829
-4.30952 2.66907
-4.32030 2.67260
-4.32286 2.67342
-4.32597 2.67444
-4.33689 2.67792
-4.33970 2.67881
-4.35074 2.68225
-4.35377 2.68319
-4.35751 2.68434
-4.36873 2.68773
-4.37201 2.68872
-4.38337 2.69208
-4.38689 2.69311
-4.39133 2.69440
-4.40285 2.69769
-4.40667 2.69878
-4.41835 2.70203
-4.42241 2.70316
-4.42765 2.70458
-4.43952 2.70779
-4.44390 2.70896
-4.45593 2.71211
-4.46057 2.71330
-4.46670 2.71487
-4.47893 2.71796
-4.48394 2.71921
-4.49633 2.72224
-4.50164 2.72352
-4.50358 2.72398
-4.51276 2.72084
-4.51645 2.71954
-4.52539 2.71633
-4.52883 2.71507
-4.53342 2.71337
-4.54208 2.71011
-4.54522 2.70890
-4.55367 2.70557
-4.55659 2.70441
-4.56041 2.70287
-4.56860 2.69948
-4.57126 2.69837
-4.57926 2.69496
-4.58170 2.69389
-4.58487 2.69249
-4.59264 2.68902
-4.59485 2.68800
-4.60244 2.68449
-4.60447 2.68352
-4.60709 2.68229
-4.61445 2.67872
-4.61629 2.67782
-4.62347 2.67421
-4.62514 2.67335
-4.62728 2.67227
-4.63427 2.66862
-4.63577 2.66782
-4.64259 2.66414
-4.64396 2.66340
-4.64566 2.66246
-4.65231 2.65874
-4.65352 2.65806
-4.66002 2.65430
-4.66110 2.65365
-4.66245 2.65287
-4.66878 2.64909
-4.66972 2.64850
-4.67591 2.64468
-4.67675 2.64415
-4.67777 2.64350
-4.68382 2.63966
-4.68454 2.63919
-4.69044 2.63531
-4.69107 2.63489
-4.69182 2.63438
