# sss file
-1.57080 3.14159
0.21874 3.13616
0.22145 3.13074
0.22417 3.12531
0.22688 3.11988
0.22960 3.11444
0.23231 3.10903
0.23502 3.10359
0.23774 3.09816
0.24045 3.09274
0.24317 3.08730
0.24589 3.08187
0.24860 3.07643
0.25131 3.07101
0.25403 3.06557
0.25675 3.06014
0.25946 3.05472
0.26218 3.04928
0.26490 3.04384
0.26762 3.03840
0.27033 3.03297
0.27305 3.02753
0.27578 3.02209
0.27849 3.01666
0.28069 3.01226
0.24437 3.00990
0.20951 3.00735
0.17613 3.00465
0.16105 3.00333
0.12992 3.00036
0.10839 2.99815
0.07991 2.99491
0.06080 2.99257
0.03495 2.98906
0.01821 2.98663
-0.00513 2.98289
-0.01959 2.98041
-0.04050 2.97647
-0.05285 2.97399
-0.07154 2.96983
-0.08192 2.96739
-0.08201 2.96737
-0.09859 2.96304
-0.10698 2.96073
-0.10739 2.96062
-0.12210 2.95613
-0.12881 2.95398
-0.12949 2.95377
-0.14251 2.94917
-0.14784 2.94718
-0.14872 2.94686
-0.16024 2.94214
-0.16444 2.94033
-0.16548 2.93989
-0.17573 2.93508
-0.17904 2.93347
-0.18019 2.93290
-0.18937 2.92803
-0.19197 2.92659
-0.19321 2.92590
-0.19680 2.92380
-0.20934 2.92883
-0.21271 2.93015
-0.21437 2.93078
-0.22758 2.93574
-0.23168 2.93725
-0.23296 2.93771
-0.24686 2.94266
-0.25172 2.94434
-0.25255 2.94462
-0.26715 2.94953
-0.27285 2.95140
-0.27311 2.95148
-0.28846 2.95636
-0.29468 2.95827
-0.31088 2.96312
-0.31734 2.96499
-0.33453 2.96977
-0.34124 2.97158
-0.35962 2.97633
-0.36659 2.97805
-0.38645 2.98272
-0.39378 2.98436
-0.41542 2.98889
-0.42324 2.99047
-0.44710 2.99486
-0.45559 2.99634
-0.48209 3.00050
-0.49159 3.00192
-0.52112 3.00581
-0.53214 3.00718
-0.54176 3.00830
-0.57104 3.00484
-0.59388 3.00189
-0.59727 3.00143
-0.62330 2.99771
-0.64213 2.99480
-0.64589 2.99419
-0.66900 2.99025
-0.68450 2.98743
-0.68857 2.98664
-0.70919 2.98253
-0.72193 2.97982
-0.72624 2.97889
-0.74478 2.97464
-0.75530 2.97208
-0.75982 2.97094
-0.77665 2.96661
-0.78539 2.96422
-0.79007 2.96291
-0.80555 2.95850
-0.81290 2.95629
-0.81773 2.95480
-0.83217 2.95035
-0.83843 2.94833
-0.84338 2.94671
-0.85706 2.94224
-0.86246 2.94040
-0.86752 2.93863
-0.88067 2.93418
-0.88541 2.93252
-0.89057 2.93066
-0.90338 2.92625
-0.90758 2.92474
-0.91282 2.92283
-0.92547 2.91847
-0.92924 2.91711
-0.93451 2.91518
-0.94708 2.91088
-0.95051 2.90967
-0.95578 2.90778
-0.96835 2.90355
-0.97147 2.90246
-0.97668 2.90064
-0.98928 2.89651
-0.99217 2.89553
-0.99719 2.89381
-1.00986 2.88977
-1.01253 2.88889
-1.01652 2.88755
-1.02538 2.89279
-1.02596 2.89314
-1.02635 2.89337
-1.03597 2.89855
-1.03692 2.89905
-1.03735 2.89928
-1.04779 2.90441
-1.04919 2.90510
-1.04967 2.90533
-1.06097 2.91040
-1.06289 2.91124
-1.06339 2.91145
-1.07560 2.91644
-1.07816 2.91746
-1.07862 2.91765
-1.09181 2.92256
-1.09511 2.92376
-1.09551 2.92390
-1.10974 2.92873
-1.11391 2.93011
-1.11421 2.93020
-1.12956 2.93494
-1.13473 2.93649
-1.13487 2.93653
-1.15141 2.94115
-1.15773 2.94287
-1.17556 2.94737
-1.18299 2.94919
-1.20221 2.95358
-1.21094 2.95549
-1.23163 2.95972
-1.24188 2.96174
-1.26415 2.96583
-1.27616 2.96794
-1.30014 2.97185
-1.31419 2.97404
-1.33994 2.97778
-1.34864 2.97898
-1.37340 2.97570
-1.39014 2.97332
-1.40656 2.97090
-1.43003 2.96760
-1.44505 2.96535
-1.46060 2.96293
-1.48303 2.95964
-1.49666 2.95753
-1.51122 2.95518
-1.53281 2.95194
-1.54528 2.94993
-1.55871 2.94774
-1.57961 2.94453
-1.59115 2.94266
-1.60329 2.94063
-1.62364 2.93748
-1.63440 2.93574
-1.64508 2.93395
-1.66499 2.93087
-1.67508 2.92921
-1.68414 2.92770
-1.70365 2.92468
-1.71318 2.92313
-1.72044 2.92193
-1.73958 2.91895
-1.74860 2.91749
-1.75391 2.91661
-1.77269 2.91367
-1.78121 2.91229
-1.78442 2.91176
-1.80283 2.90883
-1.81081 2.90751
-1.81187 2.90732
-1.82981 2.90437
-1.83613 2.90328
-1.85346 2.90024
-1.85710 2.89959
-1.87362 2.89639
-1.87475 2.89616
-1.88907 2.89293
-1.90015 2.88982
-1.90816 2.88676
-1.90875 2.88649
-1.92504 2.89026
-1.94123 2.89406
-1.95728 2.89788
-1.97317 2.90175
-1.98898 2.90573
-2.00478 2.90983
-2.02070 2.91405
-2.03695 2.91847
-2.05331 2.92294
-2.05374 2.92306
-2.07024 2.92755
-2.07132 2.92783
-2.08813 2.93233
-2.08999 2.93282
-2.10728 2.93729
-2.11007 2.93800
-2.12801 2.94243
-2.13192 2.94336
-2.15070 2.94774
-2.15588 2.94890
-2.17568 2.95320
-2.18236 2.95459
-2.20334 2.95877
-2.21179 2.96039
-2.22597 2.96298
-2.25215 2.96066
-2.27080 2.95888
-2.28899 2.95705
-2.31445 2.95478
-2.33209 2.95306
-2.34734 2.95155
-2.37217 2.94932
-2.38901 2.94770
-2.40083 2.94651
-2.42515 2.94434
-2.44129 2.94279
-2.44929 2.94201
-2.47313 2.93985
-2.48860 2.93836
-2.49244 2.93798
-2.51578 2.93584
-2.52999 2.93443
-2.55272 2.93221
-2.56176 2.93127
-2.58358 2.92885
-2.58757 2.92837
-2.60753 2.92564
-2.62183 2.92292
-2.63099 2.92009
-2.63569 2.91704
-2.63678 2.91365
-2.63522 2.90988
-2.63200 2.90573
-2.62800 2.90120
-2.62396 2.89637
-2.62043 2.89128
-2.62020 2.89090
-2.63857 2.89444
-2.64396 2.89545
-2.64632 2.89589
-2.66559 2.89926
-2.67222 2.90039
-2.67409 2.90070
-2.69423 2.90388
-2.70211 2.90506
-2.70323 2.90523
-2.72415 2.90822
-2.73329 2.90946
-2.75494 2.91225
-2.76383 2.91336
-2.78613 2.91602
-2.79433 2.91696
-2.81715 2.91948
-2.82422 2.92025
-2.84749 2.92271
-2.85307 2.92329
-2.87664 2.92577
-2.88048 2.92617
-2.90417 2.92873
-2.90615 2.92894
-2.92976 2.93169
-2.92999 2.93173
-2.95198 2.93460
-2.97234 2.93767
-2.99134 2.94103
-3.00939 2.94476
-3.02703 2.94890
-3.04473 2.95350
-3.04489 2.95354
-3.05417 2.95606
-3.07916 2.95367
-3.09613 2.95194
-3.10763 2.95071
-3.13174 2.94829
-3.14748 2.94659
-3.15655 2.94558
-3.17983 2.94310
-3.19441 2.94144
-3.20101 2.94067
-3.22350 2.93811
-3.23695 2.93649
-3.24115 2.93597
-3.26285 2.93334
-3.27522 2.93175
-3.27712 2.93150
-3.29798 2.92875
-3.30904 2.92722
-3.32900 2.92434
-3.33713 2.92310
-3.35606 2.92004
-3.36156 2.91910
-3.37933 2.91583
-3.38260 2.91520
-3.39901 2.91166
-3.40052 2.91134
-3.41542 2.90753
-3.41564 2.90747
-3.42827 2.90357
-3.43882 2.89963
-3.44759 2.89563
-3.45490 2.89153
-3.46109 2.88735
-3.46642 2.88310
-3.47111 2.87877
-3.47537 2.87438
-3.47819 2.87126
-3.49635 2.87440
-3.49723 2.87455
-3.51580 2.87758
-3.51594 2.87760
-3.53381 2.88046
-3.55030 2.88312
-3.56493 2.88571
-3.57739 2.88831
-3.58742 2.89103
-3.59507 2.89402
-3.60058 2.89743
-3.60436 2.90137
-3.60711 2.90598
-3.60969 2.91137
-3.61271 2.91682
-3.61314 2.91759
-3.61744 2.92304
-3.61824 2.92403
-3.61873 2.92466
-3.62492 2.93007
-3.62631 2.93127
-3.62787 2.93261
-3.63646 2.93794
-3.64215 2.94136
-3.65354 2.94653
-3.65743 2.94825
-3.66330 2.95079
-3.67784 2.95573
-3.68395 2.95776
-3.69322 2.96071
-3.71078 2.96544
-3.71372 2.96621
-3.73826 2.96331
-3.75344 2.96138
-3.77682 2.95837
-3.79034 2.95650
-3.81265 2.95339
-3.82469 2.95159
-3.84602 2.94839
-3.85678 2.94669
-3.87724 2.94340
-3.88689 2.94178
-3.90655 2.93844
-3.91523 2.93689
-3.93417 2.93349
-3.94203 2.93202
-3.96031 2.92858
-3.96749 2.92717
-3.98516 2.92369
-3.99176 2.92235
-4.00887 2.91883
-4.01498 2.91753
-4.03156 2.91399
-4.03727 2.91271
-4.05333 2.90914
-4.05870 2.90789
-4.07425 2.90430
-4.07933 2.90307
