# sss file
-1.57080 3.14159
9.04961 3.14159
9.95556 1.32969
9.04961 3.14159
-1.40568 3.14159
-0.48254 1.29530
-1.40568 3.14159
1.36650 3.14159
2.37184 1.13092
1.36650 3.14159
8.99846 3.14159
9.90604 1.32643
8.99846 3.14159
5.19515 3.14159
6.19233 1.14723
5.19515 3.14159
-1.46180 3.14159
-0.51212 1.24224
-1.46180 3.14159
1.27763 3.14159
2.24840 1.20006
1.27763 3.14159
4.14232 3.14159
5.26064 0.90494
4.14232 3.14159
-1.76666 3.14159
-0.84970 1.30768
-1.76666 3.14159
6.15956 3.14159
7.40276 0.65519
6.15956 3.14159
4.37038 3.14159
5.23813 1.40608
4.37038 3.14159
2.12221 3.14159
3.13464 1.11675
2.12221 3.14159
6.33172 3.14159
7.56301 0.67900
6.33172 3.14159
1.43059 3.14159
2.36093 1.28092
1.43059 3.14159
7.89369 3.14159
9.04263 0.84370
7.89369 3.14159
1.47152 3.14159
2.34012 1.40440
1.47152 3.14159
6.95863 3.14159
7.89502 1.26881
6.95863 3.14159
5.06170 3.14159
6.07017 1.12464
5.06170 3.14159
9.87869 3.14159
11.01634 0.86629
9.87869 3.14159
10.92533 3.14159
11.87366 1.24493
10.92533 3.14159
-0.78771 3.14159
0.37690 0.81237
-0.78771 3.14159
4.20064 3.14159
5.20600 1.13087
4.20064 3.14159
6.36642 3.14159
7.54578 0.78289
6.36642 3.14159
11.06139 3.14159
12.02103 1.22231
11.06139 3.14159
-1.37980 3.14159
-0.33691 1.05582
-1.37980 3.14159
-1.46604 3.14159
-0.41967 1.04887
-1.46604 3.14159
0.21182 3.14159
1.16852 1.22820
0.21182 3.14159
-1.64048 3.14159
-0.47813 0.81689
-1.64048 3.14159
8.13303 3.14159
9.07007 1.26752
8.13303 3.14159
-1.58736 3.14159
-0.62697 1.22082
-1.58736 3.14159
10.84152 3.14159
11.74340 1.33784
10.84152 3.14159
-1.48959 3.14159
-0.40714 0.97668
-1.48959 3.14159
11.19963 3.14159
12.29497 0.95091
11.19963 3.14159
3.45765 3.14159
4.41879 1.21931
3.45765 3.14159
1.50353 3.14159
2.62442 0.89982
1.50353 3.14159
6.08740 3.14159
7.12026 1.07589
6.08740 3.14159
-1.68421 3.14159
-0.50120 0.77557
-1.68421 3.14159
-1.61518 3.14159
-0.45446 0.82015
-1.61518 3.14159
5.30775 3.14159
6.35991 1.03726
5.30775 3.14159
9.08402 3.14159
10.00846 1.29273
9.08402 3.14159
-0.79284 3.14159
0.30523 0.94545
-0.79284 3.14159
1.49521 3.14159
2.49452 1.14297
1.49521 3.14159
-1.44854 3.14159
-0.40078 1.04606
-1.44854 3.14159
2.48002 3.14159
3.41026 1.28111
2.48002 3.14159
10.79626 3.14159
11.72737 1.27938
10.79626 3.14159
2.38084 3.14159
3.54145 0.82037
2.38084 3.14159
11.01054 3.14159
12.02785 1.10696
11.01054 3.14159
11.10087 3.14159
11.99515 1.35302
11.10087 3.14159
-0.53771 3.14159
0.37991 1.30634
-0.53771 3.14159
-0.76737 3.14159
0.20006 1.20672
-0.76737 3.14159
-0.65027 3.14159
0.46370 0.91364
-0.65027 3.14159
3.34258 3.14159
4.55863 0.70950
3.34258 3.14159
-0.74396 3.14159
0.13108 1.39151
-0.74396 3.14159
1.34435 3.14159
2.24664 1.33703
1.34435 3.14159
4.05727 3.14159
5.29872 0.65868
4.05727 3.14159
-0.53476 3.14159
0.66506 0.74195
-0.53476 3.14159
5.08083 3.14159
6.21250 0.87824
5.08083 3.14159
10.85268 3.14159
11.79402 1.25892
10.85268 3.14159
5.05439 3.14159
6.02303 1.20431
5.05439 3.14159
8.86212 3.14159
9.83345 1.19892
8.86212 3.14159
-1.72467 3.14159
-0.61750 0.92725
-1.72467 3.14159
9.09151 3.14159
10.19143 0.94176
9.09151 3.14159
-1.53397 3.14159
-0.57184 1.21732
-1.53397 3.14159
7.15336 3.14159
8.40182 0.64466
7.15336 3.14159
0.32343 3.14159
1.21128 1.36589
0.32343 3.14159
10.89079 3.14159
12.01638 0.89040
10.89079 3.14159
-0.77349 3.14159
0.17362 1.24737
-0.77349 3.14159
7.96150 3.14159
9.01814 1.02830
7.96150 3.14159
5.05757 3.14159
6.00039 1.25595
5.05757 3.14159
6.11882 3.14159
7.06489 1.24945
6.11882 3.14159
11.08811 3.14159
12.34027 0.63729
11.08811 3.14159
8.96905 3.14159
9.85981 1.36008
8.96905 3.14159
0.32314 3.14159
1.31039 1.16708
0.32314 3.14159
-1.36473 3.14159
-0.21271 0.83757
-1.36473 3.14159
8.09971 3.14159
9.13680 1.06741
8.09971 3.14159
0.39516 3.14159
1.63247 0.66698
0.39516 3.14159
8.28613 3.14159
9.32340 1.06706
8.28613 3.14159
7.15812 3.14159
8.22032 1.01721
7.15812 3.14159
0.17257 3.14159
1.20334 1.08005
0.17257 3.14159
0.15986 3.14159
1.09480 1.27171
0.15986 3.14159
3.07719 3.14159
4.27958 0.73681
3.07719 3.14159
10.18139 3.14159
11.06383 1.37672
10.18139 3.14159
-0.72970 3.14159
0.19427 1.29364
-0.72970 3.14159
-1.69471 3.14159
-0.56006 0.87229
-1.69471 3.14159
8.92927 3.14159
9.81901 1.36212
8.92927 3.14159
-0.61155 3.14159
0.29945 1.31959
-0.61155 3.14159
0.47121 3.14159
1.70302 0.67798
0.47121 3.14159
4.22425 3.14159
5.09001 1.41007
4.22425 3.14159
3.22469 3.14159
4.22093 1.14912
3.22469 3.14159
-0.53502 3.14159
0.33870 1.39417
-0.53502 3.14159
9.14846 3.14159
10.25555 0.92742
9.14846 3.14159
4.10161 3.14159
5.30416 0.73649
4.10161 3.14159
10.83676 3.14159
11.99351 0.82810
10.83676 3.14159
-1.67500 3.14159
-0.57516 0.94192
-1.67500 3.14159
2.30880 3.14159
3.35142 1.05636
2.30880 3.14159
10.79620 3.14159
11.76873 1.19654
10.79620 3.14159
10.96837 3.14159
12.12723 0.82389
10.96837 3.14159
-1.59006 3.14159
-0.45250 0.86647
-1.59006 3.14159
-1.49446 3.14159
-0.29775 0.74817
-1.49446 3.14159
1.13465 3.14159
2.20519 1.00051
1.13465 3.14159
3.35555 3.14159
4.45620 0.94030
3.35555 3.14159
9.19242 3.14159
10.17750 1.17142
9.19242 3.14159
9.03408 3.14159
10.03707 1.13562
9.03408 3.14159
1.18036 3.14159
2.08606 1.33018
1.18036 3.14159
7.03023 3.14159
7.89819 1.40569
7.03023 3.14159
1.22538 3.14159
2.36039 0.87157
1.22538 3.14159
0.43047 3.14159
1.38584 1.23086
0.43047 3.14159
1.48100 3.14159
2.72501 0.65357
1.48100 3.14159
5.16093 3.14159
6.28995 0.88356
5.16093 3.14159
0.49032 3.14159
1.58872 0.94481
0.49032 3.14159
0.31439 3.14159
1.49981 0.77075
0.31439 3.14159
2.44760 3.14159
3.42797 1.18085
2.44760 3.14159
1.39736 3.14159
2.53212 0.87207
1.39736 3.14159
6.92333 3.14159
8.08684 0.81458
6.92333 3.14159
0.15946 3.14159
1.17132 1.11788
0.15946 3.14159
9.16699 3.14159
10.05194 1.37170
9.16699 3.14159
1.20699 3.14159
2.08716 1.38126
1.20699 3.14159
9.25177 3.14159
10.13629 1.37255
9.25177 3.14159
10.90708 3.14159
12.00883 0.93809
10.90708 3.14159
3.16944 3.14159
4.27374 0.93300
3.16944 3.14159
0.48484 3.14159
1.49384 1.12359
0.48484 3.14159
8.28249 3.14159
9.53572 0.63512
8.28249 3.14159
9.22221 3.14159
10.26334 1.05935
9.22221 3.14159
0.44394 3.14159
1.46107 1.10733
0.44394 3.14159
-1.61551 3.14159
-0.36846 0.64750
-1.61551 3.14159
2.23176 3.14159
3.46465 0.67582
2.23176 3.14159
10.89530 3.14159
11.78625 1.35969
10.89530 3.14159
3.45487 3.14159
4.63542 0.78049
3.45487 3.14159
5.10194 3.14159
5.99331 1.35886
5.10194 3.14159
-0.57982 3.14159
0.56464 0.85267
-0.57982 3.14159
2.21102 3.14159
3.14506 1.27352
2.21102 3.14159
3.33994 3.14159
4.39506 1.03136
3.33994 3.14159
4.33154 3.14159
5.45907 0.88654
4.33154 3.14159
-0.68030 3.14159
0.48819 0.80461
-0.68030 3.14159
8.26716 3.14159
9.18602 1.30387
8.26716 3.14159
9.04435 3.14159
9.91801 1.39426
9.04435 3.14159
-1.62097 3.14159
-0.64684 1.19334
-1.62097 3.14159
4.25982 3.14159
5.28113 1.09897
4.25982 3.14159
1.15735 3.14159
2.16213 1.13204
1.15735 3.14159
1.19559 3.14159
2.38865 0.75546
1.19559 3.14159
9.26763 3.14159
10.25350 1.16985
9.26763 3.14159
-0.70612 3.14159
0.26370 1.20195
-0.70612 3.14159
8.99954 3.14159
9.88389 1.37290
8.99954 3.14159
7.15737 3.14159
8.27643 0.90348
7.15737 3.14159
0.55229 3.14159
1.77772 0.69074
0.55229 3.14159
6.06994 3.14159
7.26435 0.75278
6.06994 3.14159
7.19506 3.14159
8.26606 0.99960
7.19506 3.14159
0.34065 3.14159
1.56224 0.69842
0.34065 3.14159
0.33981 3.14159
1.55937 0.70247
0.33981 3.14159
4.18434 3.14159
5.33917 0.83193
4.18434 3.14159
-0.51406 3.14159
0.69864 0.71619
-0.51406 3.14159
4.21754 3.14159
5.29847 0.97972
4.21754 3.14159
1.14967 3.14159
2.21073 1.01948
1.14967 3.14159
1.42980 3.14159
2.32277 1.35566
1.42980 3.14159
8.96480 3.14159
10.13604 0.79911
8.96480 3.14159
0.31281 3.14159
1.31022 1.14678
0.31281 3.14159
10.95494 3.14159
12.02855 0.99436
10.95494 3.14159
9.16700 3.14159
10.14063 1.19434
9.16700 3.14159
2.50467 3.14159
3.44013 1.27068
2.50467 3.14159
3.11054 3.14159
4.19739 0.96789
3.11054 3.14159
6.10452 3.14159
7.34185 0.66694
6.10452 3.14159
1.15279 3.14159
2.04893 1.34933
1.15279 3.14159
0.19506 3.14159
1.26987 0.99197
0.19506 3.14159
7.91678 3.14159
9.11204 0.75108
7.91678 3.14159
-0.45728 3.14159
0.59944 1.02815
-0.45728 3.14159
7.26918 3.14159
8.15486 1.37023
7.26918 3.14159
10.84347 3.14159
11.84791 1.13272
10.84347 3.14159
11.05194 3.14159
12.02599 1.19349
11.05194 3.14159
3.21882 3.14159
4.28345 1.01233
3.21882 3.14159
4.38854 3.14159
5.29021 1.33827
4.38854 3.14159
3.18423 3.14159
4.25508 0.99989
3.18423 3.14159
1.45252 3.14159
2.46956 1.10751
1.45252 3.14159
0.18478 3.14159
1.36184 0.78748
0.18478 3.14159
6.99028 3.14159
7.92562 1.27091
6.99028 3.14159
0.41082 3.14159
1.38948 1.18427
0.41082 3.14159
4.36152 3.14159
5.43317 0.99830
4.36152 3.14159
9.03931 3.14159
9.92515 1.36992
9.03931 3.14159
-0.79907 3.14159
0.42994 0.68356
-0.79907 3.14159
0.23119 3.14159
1.12146 1.36105
0.23119 3.14159
4.35662 3.14159
5.33983 1.17516
4.35662 3.14159
1.40768 3.14159
2.29983 1.35730
1.40768 3.14159
1.16291 3.14159
2.09537 1.27668
1.16291 3.14159
-1.72581 3.14159
-0.48530 0.66058
-1.72581 3.14159
10.99095 3.14159
12.09887 0.92575
10.99095 3.14159
-1.67119 3.14159
-0.72241 1.24404
-1.67119 3.14159
8.13893 3.14159
9.02834 1.36278
8.13893 3.14159
1.37972 3.14159
2.45566 0.98971
1.37972 3.14159
1.28659 3.14159
2.17788 1.35901
1.28659 3.14159
1.43086 3.14159
2.42204 1.15922
1.43086 3.14159
-0.72385 3.14159
0.48903 0.71583
-0.72385 3.14159
6.34097 3.14159
7.36350 1.09653
