# sss file
0.01780 3.10600
0.01698 3.10596
0.01359 3.10633
0.00489 3.10709
-0.01153 3.10818
-0.03887 3.10960
-0.08075 3.11115
-0.14011 3.11275
-0.21942 3.11417
-0.31887 3.11531
-0.43408 3.11585
-0.55655 3.11581
-0.67484 3.11505
-0.77911 3.11367
-0.86362 3.11187
-0.92764 3.10977
-0.97315 3.10759
-1.00316 3.10554
-1.02145 3.10365
-1.03110 3.10210
-1.03519 3.10097
-1.03622 3.10029
-1.03665 3.10008
-1.03896 3.10042
-1.04572 3.10122
-1.05921 3.10243
-1.08270 3.10398
-1.11955 3.10579
-1.17288 3.10767
-1.24542 3.10948
-1.33846 3.11094
-1.44939 3.11187
-1.57071 3.11208
-1.69162 3.11153
-1.80127 3.11019
-1.89263 3.10830
-1.96332 3.10604
-2.01440 3.10361
-2.04914 3.10122
-2.07083 3.09904
-2.08293 3.09719
-2.08839 3.09577
-2.09008 3.09484
-2.09056 3.09451
-2.09201 3.09472
-2.09703 3.09547
-2.10807 3.09677
-2.12803 3.09845
-2.16019 3.10046
-2.20776 3.10264
-2.27389 3.10474
-2.36036 3.10658
-2.46593 3.10788
-2.58489 3.10843
-2.70727 3.10814
-2.82158 3.10696
-2.91943 3.10503
-2.99695 3.10264
-3.05419 3.10000
-3.09374 3.09732
-3.11934 3.09480
-3.13409 3.09266
-3.14143 3.09094
-3.14406 3.08977
-3.14473 3.08922
-3.14558 3.08927
-3.14922 3.08998
-3.15800 3.09124
-3.17485 3.09304
-3.20257 3.09518
-3.24480 3.09757
-3.30460 3.10000
-3.38424 3.10218
-3.48400 3.10390
-3.59948 3.10482
-3.72190 3.10482
-3.84017 3.10386
-3.94412 3.10206
-4.02841 3.09958
-4.09213 3.09673
-4.13701 3.09379
-4.16676 3.09098
-4.18469 3.08851
-4.19409 3.08646
-4.19796 3.08503
-4.19899 3.08423
-4.19952 3.08411
-4.20197 3.08465
-4.20883 3.08587
-4.22274 3.08771
-4.24657 3.08998
-4.28377 3.09258
-4.33740 3.09526
-4.41053 3.09778
-4.50376 3.09988
-4.61485 3.10126
-4.73633 3.10164
-4.85715 3.10092
-4.96663 3.09925
-5.05774 3.09677
-5.12801 3.09384
-5.17884 3.09065
-5.21310 3.08755
-5.23444 3.08474
-5.24625 3.08239
-5.25162 3.08063
-5.25325 3.07954
-5.25367 3.07920
-5.25522 3.07958
-5.26041 3.08071
-5.27169 3.08251
-5.29205 3.08486
-5.32454 3.08759
-5.37244 3.09052
-5.43889 3.09338
-5.52571 3.09585
-5.63153 3.09765
-5.75057 3.09845
-5.87292 3.09811
-5.98719 3.09665
-6.08482 3.09426
-6.16192 3.09119
-6.21879 3.08788
-6.25806 3.08448
-6.28331 3.08138
-6.29782 3.07865
-6.30499 3.07660
-6.30770 3.07480
-6.30866 3.07496
-6.31239 3.07597
-6.32142 3.07769
-6.33849 3.08000
-6.36660 3.08285
-6.40913 3.08595
-6.46926 3.08910
-6.54937 3.09195
-6.64922 3.09413
-6.76488 3.09539
-6.88739 3.09543
-7.00548 3.09430
-7.10931 3.09208
-7.19329 3.08906
-7.25662 3.08557
-7.30132 3.08197
-7.33068 3.07857
-7.34837 3.07555
-7.35751 3.07308
-7.36128 3.07140
-7.36220 3.07047
-7.36275 3.07039
-7.36526 3.07119
-7.37227 3.07278
-7.38648 3.07509
-7.41067 3.07798
-7.44818 3.08125
-7.50218 3.08465
-7.57558 3.08780
-7.66915 3.09044
-7.78031 3.09216
-7.90182 3.09266
-8.02265 3.09191
-8.13201 3.08989
-8.22287 3.08696
-8.29277 3.08339
-8.34327 3.07962
-8.37723 3.07589
-8.39830 3.07253
-8.40991 3.06976
-8.41512 3.06771
-8.41664 3.06645
-8.41710 3.06611
-8.41877 3.06666
-8.42400 3.06813
-8.43561 3.07035
-8.45623 3.07324
-8.48896 3.07660
-8.53719 3.08016
-8.60396 3.08365
-8.69099 3.08671
-8.79694 3.08889
-8.91615 3.08989
-9.03848 3.08952
-9.15266 3.08784
-9.25004 3.08503
-9.32690 3.08146
-9.38349 3.07752
-9.42251 3.07358
-9.44736 3.06989
-9.46170 3.06678
-9.46869 3.06435
-9.47107 3.06275
-9.47159 3.06208
-9.47258 3.06238
-9.47641 3.06359
-9.48565 3.06573
-9.50300 3.06854
-9.53142 3.07198
-9.57425 3.07572
-9.63473 3.07949
-9.71501 3.08289
-9.81510 3.08553
-9.93089 3.08704
-10.05344 3.08717
-10.17140 3.08587
-10.27505 3.08327
-10.35881 3.07979
-10.42188 3.07572
-10.46619 3.07157
-10.49528 3.06758
-10.51269 3.06410
-10.52169 3.06133
-10.52536 3.05936
-10.52619 3.05835
-10.52679 3.05835
-10.52946 3.05931
-10.53660 3.06124
-10.55098 3.06401
-10.57543 3.06741
-10.61317 3.07127
-10.66758 3.07526
-10.74116 3.07903
-10.83496 3.08214
-10.94630 3.08415
-11.06788 3.08478
-11.18866 3.08390
-11.29786 3.08163
-11.38839 3.07823
-11.45815 3.07421
-11.50835 3.06985
-11.54201 3.06561
-11.56284 3.06179
-11.57428 3.05860
-11.57933 3.05629
-11.58077 3.05491
-11.58119 3.05457
-11.58291 3.05529
-11.58834 3.05696
-11.60006 3.05961
-11.62083 3.06296
-11.65391 3.06687
-11.70241 3.07102
-11.76953 3.07509
-11.85681 3.07861
-11.96291 3.08117
-12.08218 3.08235
-12.20449 3.08197
-12.31852 3.08004
-12.41572 3.07689
-12.49230 3.07282
-12.54864 3.06838
-12.58732 3.06389
-12.61203 3.05978
-12.62611 3.05621
-12.63288 3.05348
-12.63537 3.05117
-12.63640 3.05159
-12.64034 3.05302
