# sss file
0.16670 0.09073
0.33339 0.18146
0.50009 0.27219
0.66679 0.36293
0.83349 0.45366
1.00018 0.54439
1.16688 0.63512
1.16688 0.63512
1.14601 0.63686
1.12629 0.63628
1.11779 0.63512
1.09692 0.63686
1.07721 0.63628
1.06870 0.63512
1.04783 0.63686
1.02811 0.63628
1.01962 0.63512
0.99874 0.63686
0.97903 0.63628
0.97052 0.63512
0.94965 0.63686
0.92994 0.63628
0.92144 0.63512
0.90057 0.63686
0.88086 0.63628
0.87235 0.63512
0.85148 0.63686
0.83177 0.63628
0.82327 0.63512
0.80240 0.63686
0.78268 0.63628
0.77418 0.63512
0.75331 0.63686
0.73360 0.63628
0.72509 0.63512
0.70422 0.63686
0.68451 0.63628
0.67600 0.63512
0.65513 0.63686
0.63542 0.63628
0.62691 0.63512
0.60604 0.63686
0.58633 0.63628
0.57783 0.63512
0.55696 0.63686
0.53725 0.63628
0.52874 0.63512
0.50787 0.63686
0.48816 0.63628
0.47965 0.63512
0.45878 0.63686
0.43907 0.63628
0.43057 0.63512
0.40970 0.63686
0.38999 0.63628
0.38148 0.63512
0.36061 0.63686
0.34089 0.63628
0.33240 0.63512
0.31152 0.63686
0.29181 0.63628
0.28331 0.63512
0.26244 0.63686
0.24272 0.63628
0.23422 0.63512
0.21335 0.63686
0.19363 0.63628
0.18513 0.63512
0.16426 0.63686
0.14455 0.63628
0.13605 0.63512
0.11518 0.63686
0.09546 0.63628
0.08695 0.63512
0.06608 0.63686
0.04637 0.63628
0.03787 0.63512
0.01699 0.63686
-0.00272 0.63628
-0.01122 0.63512
-0.03209 0.63686
-0.05181 0.63628
-0.06030 0.63512
-0.08117 0.63686
-0.10089 0.63628
-0.10939 0.63512
-0.13026 0.63686
-0.14998 0.63628
-0.15848 0.63512
-0.17935 0.63686
-0.19907 0.63628
-0.20757 0.63512
-0.22844 0.63686
-0.24815 0.63628
-0.25665 0.63512
-0.27752 0.63686
-0.29724 0.63628
-0.30574 0.63512
-0.32661 0.63686
-0.34633 0.63628
-0.35483 0.63512
-0.37570 0.63686
-0.39541 0.63628
-0.40392 0.63512
-0.42479 0.63686
-0.44450 0.63628
-0.45300 0.63512
-0.47388 0.63686
-0.49359 0.63628
-0.50210 0.63512
-0.52297 0.63686
-0.54268 0.63628
-0.55118 0.63512
-0.57205 0.63686
-0.59177 0.63628
-0.60027 0.63512
-0.61784 0.63512
-0.60162 0.64261
-0.60037 0.64299
-0.57693 0.63609
-0.57425 0.63512
-0.55512 0.63686
-0.53482 0.63628
-0.52516 0.63512
-0.50603 0.63686
-0.48573 0.63628
-0.47607 0.63512
-0.45694 0.63686
-0.43665 0.63628
-0.42699 0.63512
-0.40786 0.63686
-0.38756 0.63628
-0.37790 0.63512
-0.35877 0.63686
-0.33847 0.63628
-0.32881 0.63512
-0.30968 0.63686
-0.28938 0.63628
-0.27972 0.63512
-0.26059 0.63686
-0.24029 0.63628
-0.23064 0.63512
-0.21151 0.63686
-0.19121 0.63628
-0.18155 0.63512
-0.16242 0.63686
-0.14212 0.63628
-0.13247 0.63512
-0.11333 0.63686
-0.09304 0.63628
-0.08337 0.63512
-0.06424 0.63686
-0.04395 0.63628
-0.03429 0.63512
-0.01516 0.63686
0.00514 0.63628
0.01480 0.63512
0.03393 0.63686
0.05422 0.63628
0.06388 0.63512
0.08301 0.63686
0.10331 0.63628
0.11298 0.63512
0.13211 0.63686
0.15240 0.63628
0.16206 0.63512
0.18119 0.63686
0.20148 0.63628
0.21115 0.63512
0.23028 0.63686
0.25058 0.63628
0.26024 0.63512
0.27937 0.63686
0.29966 0.63628
0.30932 0.63512
0.32845 0.63686
0.34875 0.63628
0.35841 0.63512
0.37794 0.63609
0.39405 0.63512
0.40578 0.65134
0.40706 0.65266
0.42618 0.65454
0.44644 0.65416
0.46790 0.65134
0.49057 0.64604
0.51448 0.63820
0.52259 0.63512
0.54172 0.63686
0.56201 0.63628
0.57167 0.63512
0.59080 0.63686
0.61110 0.63628
0.62077 0.63512
0.63990 0.63686
0.66019 0.63628
0.66985 0.63512
0.68898 0.63686
0.70928 0.63628
0.71894 0.63512
0.73807 0.63686
0.75836 0.63628
0.76803 0.63512
0.78716 0.63686
0.80746 0.63628
0.81711 0.63512
0.83624 0.63686
0.85654 0.63628
0.86620 0.63512
0.88533 0.63686
0.90562 0.63628
0.91529 0.63512
0.93442 0.63686
0.95472 0.63628
0.96438 0.63512
0.98351 0.63686
1.00380 0.63628
1.01346 0.63512
1.03260 0.63686
1.05289 0.63628
1.06255 0.63512
1.08168 0.63686
1.10198 0.63628
1.11163 0.63512
1.13076 0.63686
1.15106 0.63628
1.16072 0.63512
1.17986 0.63686
1.20015 0.63628
1.20981 0.63512
1.22894 0.63686
1.24924 0.63628
1.25890 0.63512
1.27803 0.63686
1.29832 0.63628
1.30798 0.63512
1.32711 0.63686
1.34741 0.63628
1.35707 0.63512
1.37620 0.63686
1.39650 0.63628
1.40616 0.63512
1.42183 0.63512
1.42440 0.64318
1.43907 0.65379
1.45508 0.66182
1.47229 0.66755
1.49074 0.67085
1.51041 0.67177
1.53118 0.67049
1.53328 0.67012
1.56080 0.65491
1.58955 0.63705
1.59244 0.63512
1.61157 0.63686
1.63187 0.63628
1.64153 0.63512
1.66066 0.63686
1.68095 0.63628
1.69062 0.63512
1.70975 0.63686
1.73005 0.63628
1.73971 0.63512
1.75884 0.63686
1.77913 0.63628
1.78880 0.63512
1.80793 0.63686
1.82822 0.63628
1.83788 0.63512
1.85701 0.63686
1.87730 0.63628
1.88697 0.63512
1.90610 0.63686
1.92640 0.63628
1.93605 0.63512
1.95518 0.63686
1.97548 0.63628
1.98514 0.63512
2.00428 0.63686
2.02457 0.63628
2.03424 0.63512
2.05337 0.63686
2.07366 0.63628
2.08332 0.63512
2.10245 0.63686
2.12274 0.63628
2.13241 0.63512
2.15154 0.63686
2.17183 0.63628
2.18150 0.63512
2.20063 0.63686
2.22092 0.63628
2.23057 0.63512
2.24971 0.63686
2.27000 0.63628
2.27967 0.63512
2.29880 0.63686
2.31909 0.63628
2.32875 0.63512
2.34788 0.63686
2.36818 0.63628
2.37785 0.63512
2.39698 0.63686
2.41727 0.63628
2.42693 0.63512
2.44645 0.63609
2.46144 0.63512
2.47278 0.65209
2.48554 0.66644
2.49971 0.67815
2.51521 0.68733
2.53189 0.69428
2.53360 0.69481
2.55697 0.68841
2.58148 0.67959
2.60709 0.66847
2.63391 0.65473
2.66202 0.63820
2.66696 0.63512
2.68609 0.63686
2.70638 0.63628
2.71604 0.63512
2.73517 0.63686
2.75547 0.63628
2.76513 0.63512
2.78426 0.63686
2.80455 0.63628
2.81422 0.63512
2.83335 0.63686
2.85365 0.63628
2.86330 0.63512
2.88243 0.63686
2.90273 0.63628
2.91240 0.63512
2.93153 0.63686
2.95182 0.63628
2.96148 0.63512
2.98062 0.63686
3.00091 0.63628
3.01057 0.63512
3.02970 0.63686
3.05000 0.63628
3.05966 0.63512
3.07879 0.63686
3.09908 0.63628
3.10874 0.63512
3.12788 0.63686
3.14817 0.63628
3.15783 0.63512
3.17696 0.63686
3.19725 0.63628
3.20692 0.63512
3.22605 0.63686
3.24635 0.63628
3.25600 0.63512
3.27513 0.63686
3.29543 0.63628
3.30510 0.63512
3.32423 0.63686
3.34452 0.63628
3.35418 0.63512
3.37331 0.63686
3.39361 0.63628
3.40327 0.63512
3.42240 0.63686
3.44269 0.63628
3.45236 0.63512
3.47149 0.63686
3.49179 0.63628
3.50144 0.63512
3.50425 0.63512
3.51292 0.65716
3.52317 0.67633
3.53495 0.69268
3.54303 0.70169
3.56239 0.70344
3.58289 0.70292
3.60453 0.70011
3.62719 0.69517
3.65099 0.68787
3.67595 0.67815
3.67744 0.67760
3.70894 0.65397
3.73247 0.63512
3.75160 0.63686
3.77189 0.63628
3.78155 0.63512
3.80069 0.63686
3.82098 0.63628
3.83064 0.63512
3.84977 0.63686
3.87007 0.63628
3.87973 0.63512
3.89886 0.63686
3.91915 0.63628
3.92882 0.63512
3.94795 0.63686
3.96824 0.63628
3.97791 0.63512
3.99704 0.63686
4.01733 0.63628
4.02699 0.63512
4.04612 0.63686
4.06642 0.63628
4.07608 0.63512
4.09521 0.63686
4.11551 0.63628
4.12516 0.63512
4.14429 0.63686
4.16459 0.63628
4.17425 0.63512
4.19339 0.63686
4.21368 0.63628
4.22334 0.63512
4.24247 0.63686
4.26277 0.63628
4.27242 0.63512
4.29155 0.63686
4.31185 0.63628
4.32151 0.63512
4.34064 0.63686
4.36094 0.63628
4.37061 0.63512
4.38974 0.63686
4.41003 0.63628
4.41969 0.63512
4.43882 0.63686
4.45912 0.63628
4.46878 0.63512
4.48791 0.63686
4.50820 0.63628
4.51787 0.63512
4.53758 0.63570
4.54587 0.63512
4.55176 0.66237
4.55951 0.68626
4.56157 0.69162
4.57684 0.70134
4.59320 0.70902
4.61085 0.71422
4.62966 0.71715
4.64953 0.71801
4.67050 0.71663
4.67143 0.71663
4.69873 0.70222
4.72705 0.68554
4.75662 0.66607
4.78759 0.64357
4.79858 0.63512
4.81771 0.63686
4.83801 0.63628
4.84767 0.63512
4.86680 0.63686
4.88709 0.63628
4.89676 0.63512
4.91589 0.63686
4.93618 0.63628
4.94584 0.63512
4.96498 0.63686
4.98527 0.63628
4.99493 0.63512
5.01406 0.63686
5.03436 0.63628
5.04402 0.63512
5.06315 0.63686
5.08345 0.63628
5.09311 0.63512
5.11224 0.63686
5.13253 0.63628
5.14220 0.63512
5.16133 0.63686
5.18162 0.63628
5.19128 0.63512
5.21041 0.63686
5.23071 0.63628
5.24037 0.63512
5.25950 0.63686
5.27979 0.63628
5.28946 0.63512
5.30859 0.63686
5.32888 0.63628
5.33854 0.63512
5.35767 0.63686
5.37796 0.63628
5.38763 0.63512
5.40676 0.63686
5.42705 0.63628
5.43672 0.63512
5.45585 0.63686
5.47614 0.63628
5.48581 0.63512
5.50494 0.63686
5.52523 0.63628
5.53489 0.63512
5.55402 0.63686
5.57432 0.63628
5.58398 0.63512
5.58697 0.63512
5.58970 0.66441
5.60036 0.68284
