# sss file
-1.57080 3.14159
0.00014 3.14133
-0.10008 3.14089
-0.19917 3.14045
-0.29962 3.14001
-0.39944 3.13959
-0.49840 3.13916
-0.59866 3.13872
-0.69805 3.13830
-0.79795 3.13786
-0.89754 3.13743
-0.99754 3.13699
-1.09762 3.13657
-1.19736 3.13613
-1.29715 3.13569
-1.39669 3.13526
-1.49660 3.13484
-1.59630 3.13440
-1.69602 3.13396
-1.79611 3.13353
-1.89579 3.13311
-1.99550 3.13267
-2.09543 3.13223
-2.19497 3.13181
-2.29503 3.13138
-2.39454 3.13094
-2.49451 3.13050
-2.59423 3.13006
-2.69404 3.12964
-2.79386 3.12921
-2.89364 3.12877
-2.99336 3.12835
-3.09322 3.12791
-3.19292 3.12747
-3.29268 3.12704
-3.39246 3.12662
-3.49229 3.12618
-3.59210 3.12574
-3.69185 3.12531
-3.79167 3.12489
-3.89150 3.12445
-3.99120 3.12401
-4.09102 3.12359
-4.19079 3.12316
-4.29059 3.12272
-4.39033 3.12228
-4.49011 3.12186
-4.58995 3.12142
-4.68968 3.12099
-4.78945 3.12055
-4.88924 3.12013
-4.98908 3.11969
-5.08887 3.11925
-5.18857 3.11882
-5.28841 3.11840
-5.38814 3.11796
-5.48791 3.11752
-5.58779 3.11710
-5.68752 3.11667
-5.78734 3.11623
-5.88712 3.11579
-5.98691 3.11537
-6.08664 3.11494
-6.18647 3.11450
-6.28621 3.11406
-6.38604 3.11364
-6.48580 3.11320
-6.58563 3.11277
-6.68540 3.11233
-6.78516 3.11191
-6.88492 3.11147
-6.98475 3.11103
-7.08448 3.11060
-7.18429 3.11018
-7.28407 3.10974
-7.38383 3.10930
-7.48366 3.10888
-7.58346 3.10845
-7.68320 3.10801
-7.78301 3.10757
-7.88278 3.10715
-7.98255 3.10671
-8.08235 3.10628
-8.18212 3.10584
-8.28194 3.10542
-8.38166 3.10498
-8.48145 3.10454
-8.58129 3.10411
-8.68105 3.10369
-8.78081 3.10325
-8.88060 3.10281
-8.98041 3.10238
-9.08022 3.10196
-9.17995 3.10152
-9.27972 3.10108
-9.37953 3.10064
-9.47933 3.10022
-9.57910 3.09979
-9.67890 3.09935
-9.77869 3.09893
-9.87847 3.09849
-9.97825 3.09806
-10.07802 3.09762
-10.17781 3.09720
-10.27757 3.09676
-10.37734 3.09632
-10.47717 3.09589
-10.57696 3.09547
-10.67670 3.09503
-10.77649 3.09459
-10.87628 3.09415
-10.97608 3.09374
-11.07586 3.09330
-11.17564 3.09286
-11.27543 3.09242
-11.37522 3.09200
-11.47497 3.09157
-11.57479 3.09113
-11.67457 3.09071
-11.77434 3.09027
-11.87411 3.08983
-11.97393 3.08940
-12.07369 3.08898
-12.17346 3.08854
-12.27327 3.08810
-12.37302 3.08766
-12.47283 3.08724
-12.57197 3.08681
-12.57262 3.08681
-12.67101 3.08639
-12.67237 3.08637
-12.77001 3.08595
-12.77215 3.08593
-12.86905 3.08553
-12.87196 3.08551
-12.96811 3.08509
-12.97173 3.08507
-13.06716 3.08468
-13.07151 3.08464
-13.16623 3.08424
-13.17131 3.08420
-13.26534 3.08382
-13.27110 3.08378
-13.36443 3.08338
-13.37088 3.08334
-13.46353 3.08296
-13.47064 3.08290
-13.56261 3.08252
-13.57046 3.08249
-13.66177 3.08211
-13.67021 3.08205
-13.76088 3.08169
-13.77001 3.08161
-13.86002 3.08125
-13.86980 3.08117
-13.95920 3.08083
-13.96960 3.08075
-14.05836 3.08039
-14.06934 3.08032
-14.15750 3.07997
-14.16913 3.07988
-14.25667 3.07954
-14.26893 3.07944
-14.35587 3.07910
-14.36873 3.07902
-14.45508 3.07868
-14.46849 3.07858
-14.55426 3.07826
-14.56826 3.07815
-14.65346 3.07782
-14.66808 3.07773
-14.75269 3.07738
-14.76784 3.07729
-14.85190 3.07697
-14.86763 3.07685
-14.95112 3.07653
-14.96739 3.07641
-15.05035 3.07611
-15.06721 3.07599
-15.14962 3.07567
-15.16699 3.07556
-15.24887 3.07525
-15.26675 3.07512
-15.34811 3.07481
-15.36653 3.07468
-15.44738 3.07440
-15.46633 3.07426
-15.54665 3.07396
-15.56612 3.07382
-15.64593 3.07352
-15.66588 3.07339
-15.74521 3.07310
-15.76566 3.07295
-15.84449 3.07266
-15.86547 3.07253
-15.94381 3.07224
-15.96525 3.07209
-16.04310 3.07181
-16.06502 3.07165
-16.14240 3.07139
-16.16482 3.07122
-16.24172 3.07095
-16.26461 3.07080
-16.34106 3.07053
-16.36437 3.07036
-16.44036 3.07009
-16.46415 3.06992
-16.53968 3.06966
-16.56395 3.06948
-16.63904 3.06924
-16.66373 3.06906
-16.73837 3.06880
-16.76351 3.06863
-16.83772 3.06838
-16.86329 3.06819
-16.93706 3.06794
-16.96311 3.06777
-17.03645 3.06752
-17.06287 3.06733
-17.13578 3.06708
-17.16264 3.06689
-17.23513 3.06665
-17.26244 3.06646
-17.33453 3.06623
-17.36221 3.06604
-17.43388 3.06579
-17.46201 3.06560
-17.53329 3.06537
-17.56179 3.06516
-17.63267 3.06493
-17.66158 3.06472
-17.73208 3.06451
-17.76137 3.06430
-17.83146 3.06408
-17.86114 3.06387
-17.93085 3.06364
-17.96093 3.06343
-18.03026 3.06322
-18.06070 3.06299
-18.12965 3.06278
-18.16050 3.06257
-18.22907 3.06236
-18.26026 3.06213
-18.32846 3.06192
-18.36007 3.06170
-18.42790 3.06149
-18.45984 3.06126
-18.52731 3.06107
-18.55962 3.06084
-18.62673 3.06063
-18.65942 3.06040
-18.72619 3.06021
-18.75919 3.05996
-18.82561 3.05977
-18.85898 3.05954
-18.92504 3.05933
-18.95875 3.05911
-19.02447 3.05892
-19.05855 3.05867
-19.12393 3.05848
-19.15832 3.05823
-19.22337 3.05806
-19.25813 3.05781
-19.32283 3.05762
-19.35790 3.05737
-19.42227 3.05718
-19.45768 3.05694
-19.52173 3.05676
-19.55747 3.05650
-19.62120 3.05633
-19.65726 3.05608
-19.72066 3.05589
-19.75702 3.05564
-19.82011 3.05547
-19.85680 3.05520
-19.91958 3.05503
-19.95659 3.05476
-20.01908 3.05461
-20.05638 3.05435
-20.11855 3.05417
-20.15615 3.05391
-20.21801 3.05374
-20.25593 3.05347
-20.31750 3.05332
-20.35572 3.05303
-20.41698 3.05288
-20.45552 3.05261
-20.51647 3.05244
-20.55529 3.05217
-20.61596 3.05202
-20.65508 3.05174
-20.71545 3.05158
-20.75486 3.05132
-20.81494 3.05116
-20.85464 3.05088
-20.91444 3.05073
-20.95441 3.05044
-21.01393 3.05029
-21.05422 3.05000
-21.11347 3.04987
-21.15400 3.04958
-21.21297 3.04943
-21.25377 3.04915
-21.31248 3.04901
-21.35356 3.04871
-21.41199 3.04857
-21.45334 3.04827
-21.51150 3.04814
-21.55312 3.04785
-21.61100 3.04772
-21.65290 3.04741
-21.71052 3.04728
-21.75269 3.04697
-21.81004 3.04684
-21.85247 3.04654
-21.90957 3.04642
-21.95227 3.04612
-22.00911 3.04598
-22.05205 3.04568
-22.10863 3.04555
-22.15181 3.04524
-22.20816 3.04513
-22.25163 3.04482
-22.30771 3.04469
-22.35140 3.04438
-22.40724 3.04425
-22.45117 3.04395
-22.50677 3.04383
-22.55095 3.04351
-22.60631 3.04339
-22.65074 3.04309
-22.70585 3.04295
-22.75053 3.04265
-22.80541 3.04254
-22.85033 3.04221
-22.90495 3.04210
-22.95009 3.04177
-23.00449 3.04168
-23.04989 3.04135
-23.10405 3.04124
-23.14966 3.04092
-23.20359 3.04080
-23.24944 3.04048
-23.30315 3.04038
-23.34922 3.04004
-23.40270 3.03994
-23.44900 3.03962
-23.50224 3.03951
-23.54880 3.03918
-23.60183 3.03909
-23.64858 3.03874
-23.70139 3.03865
-23.74835 3.03831
-23.80095 3.03821
-23.84816 3.03789
-23.90053 3.03779
-23.94793 3.03745
-24.00009 3.03735
-24.04772 3.03701
-24.09965 3.03692
-24.14750 3.03657
-24.19923 3.03650
-24.24729 3.03615
-24.29879 3.03606
-24.34706 3.03571
-24.39836 3.03562
-24.44684 3.03528
-24.49794 3.03520
-24.54663 3.03486
-24.59751 3.03476
-24.64640 3.03442
-24.69708 3.03432
-24.74620 3.03398
-24.79668 3.03390
-24.84598 3.03354
-24.89626 3.03347
-24.94577 3.03312
-24.99584 3.03303
-25.04554 3.03269
-25.09543 3.03261
-25.14497 3.03225
-25.14532 3.03225
-25.19501 3.03217
-25.24436 3.03183
-25.24510 3.03181
-25.29460 3.03173
-25.34376 3.03139
-25.34488 3.03139
-25.39419 3.03131
-25.44317 3.03097
-25.44469 3.03095
-25.49379 3.03087
-25.54258 3.03053
-25.54448 3.03051
-25.59339 3.03044
-25.64200 3.03011
-25.64425 3.03007
-25.69298 3.03002
-25.74139 3.02967
-25.74402 3.02966
-25.79255 3.02958
-25.84078 3.02924
-25.84381 3.02922
-25.89216 3.02914
-25.94022 3.02882
-25.94360 3.02878
-25.99177 3.02872
-26.03963 3.02838
-26.04338 3.02836
-26.09136 3.02828
-26.13905 3.02796
-26.14317 3.02792
-26.19096 3.02784
-26.23848 3.02752
-26.24294 3.02748
-26.29057 3.02743
-26.33790 3.02710
-26.34272 3.02704
-26.39016 3.02699
-26.43732 3.02666
-26.44252 3.02663
-26.48978 3.02655
-26.53677 3.02624
-26.54229 3.02619
-26.58938 3.02613
-26.63619 3.02581
-26.64207 3.02575
-26.68899 3.02569
-26.73562 3.02539
-26.74187 3.02531
-26.78861 3.02525
-26.83507 3.02495
-26.84166 3.02489
-26.88823 3.02483
-26.93451 3.02451
-26.94143 3.02445
-26.98783 3.02440
-27.03396 3.02409
-27.04121 3.02401
-27.08744 3.02396
-27.13340 3.02365
-27.14100 3.02358
-27.18707 3.02354
-27.23286 3.02323
-27.24077 3.02316
-27.28666 3.02310
-27.33229 3.02279
-27.34056 3.02272
-27.38629 3.02266
-27.43176 3.02237
-27.44034 3.02228
-27.48590 3.02224
-27.53121 3.02194
-27.54013 3.02186
-27.58553 3.02180
-27.63068 3.02152
-27.63991 3.02142
-27.68514 3.02136
-27.73013 3.02108
-27.73970 3.02098
-27.78477 3.02095
-27.82959 3.02064
-27.83947 3.02054
-27.88439 3.02051
-27.92906 3.02022
-27.93925 3.02013
-27.98400 3.02007
-28.02851 3.01978
-28.03903 3.01969
-28.08363 3.01965
-28.12799 3.01936
-28.13881 3.01925
-28.18326 3.01921
-28.22745 3.01892
-28.23860 3.01881
-28.28288 3.01877
-28.32692 3.01849
-28.33841 3.01839
-28.38252 3.01833
-28.42642 3.01807
-28.43819 3.01795
-28.48216 3.01791
-28.52589 3.01763
-28.53796 3.01751
-28.58178 3.01748
-28.62536 3.01721
-28.63775 3.01708
-28.68142 3.01704
-28.72487 3.01677
-28.73754 3.01666
-28.78105 3.01662
-28.82435 3.01635
-28.83731 3.01622
-28.88067 3.01618
-28.92382 3.01591
-28.93709 3.01578
-28.98032 3.01576
-29.02331 3.01547
-29.03687 3.01534
-29.07994 3.01532
-29.12280 3.01505
-29.13666 3.01492
-29.17958 3.01488
-29.22229 3.01462
-29.23645 3.01448
-29.27922 3.01444
-29.32180 3.01420
-29.33623 3.01404
-29.37887 3.01403
-29.42129 3.01376
-29.43602 3.01362
-29.47850 3.01359
-29.52078 3.01332
-29.53580 3.01319
-29.57814 3.01315
-29.62029 3.01290
-29.63556 3.01275
-29.67777 3.01273
-29.71977 3.01246
-29.73536 3.01231
-29.77744 3.01229
-29.81930 3.01204
-29.83514 3.01187
-29.87707 3.01185
-29.91879 3.01160
-29.93493 3.01145
-29.97671 3.01143
-30.01830 3.01118
-30.03471 3.01101
-30.07636 3.01099
-30.11781 3.01075
-30.13450 3.01057
-30.17601 3.01055
-30.21732 3.01031
-30.23429 3.01015
-30.27567 3.01014
-30.31684 3.00989
-30.33406 3.00972
-30.37530 3.00970
-30.41634 3.00945
-30.43385 3.00928
-30.47496 3.00926
-30.51588 3.00903
-30.53362 3.00884
-30.57460 3.00884
-30.61538 3.00859
-30.63341 3.00842
-30.67425 3.00840
-30.71490 3.00815
-30.73319 3.00798
-30.77390 3.00796
-30.81443 3.00773
-30.83298 3.00754
-30.87356 3.00752
-30.91396 3.00729
-30.93275 3.00710
-30.97321 3.00710
-31.01347 3.00686
-31.03254 3.00668
-31.07286 3.00666
-31.11300 3.00644
-31.13233 3.00625
-31.17252 3.00623
-31.21254 3.00600
-31.23209 3.00581
-31.27216 3.00581
-31.31205 3.00558
-31.33190 3.00539
-31.37184 3.00537
-31.41160 3.00514
-31.43167 3.00495
-31.47147 3.00493
-31.51111 3.00470
-31.53146 3.00451
-31.57115 3.00451
-31.61066 3.00428
-31.63124 3.00407
-31.67081 3.00407
-31.71019 3.00384
-31.73103 3.00363
-31.77047 3.00363
-31.80974 3.00342
-31.83082 3.00321
-31.87014 3.00321
-31.90927 3.00298
-31.93059 3.00277
-31.96979 3.00277
-32.00880 3.00255
-32.03037 3.00234
-32.06944 3.00234
-32.10834 3.00213
-32.13015 3.00192
-32.16909 3.00190
-32.20788 3.00169
-32.22994 3.00148
-32.26877 3.00148
-32.30744 3.00127
-32.32973 3.00104
-32.36844 3.00104
-32.40699 3.00083
-32.42951 3.00060
-32.46810 3.00060
-32.50654 3.00039
-32.52929 3.00018
-32.56777 3.00018
-32.60609 2.99997
-32.62907 2.99974
-32.66743 2.99974
-32.70563 2.99953
-32.72886 2.99930
-32.76711 2.99930
-32.80520 2.99911
-32.82863 2.99886
-32.86677 2.99888
-32.90474 2.99867
-32.92843 2.99844
-32.96644 2.99844
-33.00430 2.99823
-33.02820 2.99801
-33.06610 2.99801
-33.10385 2.99781
-33.12798 2.99757
-33.16577 2.99759
-33.20340 2.99738
-33.22778 2.99715
-33.26545 2.99715
-33.30297 2.99694
-33.32755 2.99671
-33.36511 2.99671
-33.40253 2.99652
-33.42734 2.99627
-33.46478 2.99627
-33.50209 2.99608
-33.52712 2.99583
-33.56446 2.99585
-33.60165 2.99566
-33.62690 2.99539
-33.66414 2.99541
-33.70121 2.99522
-33.72670 2.99497
-33.76381 2.99497
-33.80078 2.99478
-33.82648 2.99453
-33.86349 2.99455
-33.90035 2.99436
-33.92625 2.99409
-33.96316 2.99411
-33.99991 2.99392
-34.02605 2.99367
-34.06284 2.99367
-34.09948 2.99348
-34.12583 2.99324
-34.16252 2.99326
-34.19906 2.99306
-34.22560 2.99280
-34.26218 2.99282
-34.29861 2.99263
-34.32539 2.99236
-34.36186 2.99238
-34.39820 2.99221
-34.42518 2.99194
-34.46155 2.99196
-34.49777 2.99177
-34.52496 2.99150
-34.56122 2.99152
-34.59734 2.99133
-34.62473 2.99106
-34.66089 2.99108
-34.69691 2.99091
-34.72452 2.99062
-34.76057 2.99064
-34.79650 2.99047
-34.82431 2.99020
-34.86026 2.99022
-34.89608 2.99003
-34.92408 2.98976
-34.95993 2.98978
-34.99566 2.98961
