# sss file
-1.57080 3.14159
0.00014 3.14133
-0.10009 3.14068
-0.19967 3.14002
-0.29855 3.13937
-0.39860 3.13872
-0.49821 3.13808
-0.59769 3.13743
-0.69746 3.13679
-0.79745 3.13614
-0.89676 3.13549
-0.99659 3.13485
-1.09607 3.13420
-1.19605 3.13356
-1.29565 3.13289
-1.39534 3.13224
-1.49511 3.13160
-1.59457 3.13095
-1.69440 3.13031
-1.79403 3.12966
-1.89376 3.12901
-1.99342 3.12837
-2.09298 3.12772
-2.19279 3.12706
-2.29242 3.12641
-2.39208 3.12577
-2.49177 3.12512
-2.59145 3.12447
-2.69106 3.12383
-2.79078 3.12318
-2.89051 3.12254
-2.99011 3.12189
-3.08981 3.12124
-3.18952 3.12058
-3.28924 3.11993
-3.38888 3.11929
-3.48853 3.11864
-3.58815 3.11799
-3.68788 3.11735
-3.78754 3.11670
-3.88724 3.11606
-3.98695 3.11541
-4.08655 3.11474
-4.18622 3.11410
-4.28600 3.11345
-4.38561 3.11281
-4.48525 3.11216
-4.58495 3.11151
-4.68466 3.11087
-4.78428 3.11022
-4.88395 3.10958
-4.98365 3.10893
-5.08334 3.10827
-5.18300 3.10762
-5.28269 3.10697
-5.38240 3.10633
-5.48208 3.10568
-5.58169 3.10503
-5.68137 3.10439
-5.78105 3.10374
-5.88071 3.10310
-5.98044 3.10245
-6.08009 3.10179
-6.17978 3.10114
-6.27948 3.10049
-6.37910 3.09985
-6.47882 3.09920
-6.57849 3.09855
-6.67815 3.09791
-6.77783 3.09726
-6.87748 3.09660
-6.97720 3.09595
-7.07684 3.09530
-7.17653 3.09466
-7.27620 3.09401
-7.37591 3.09337
-7.47558 3.09272
-7.57523 3.09207
-7.67490 3.09143
-7.77460 3.09078
-7.87425 3.09012
-7.97392 3.08947
-8.07362 3.08882
-8.17328 3.08818
-8.27297 3.08753
-8.37183 3.08688
-8.37263 3.08688
-8.47036 3.08626
-8.47231 3.08624
-8.56893 3.08561
-8.57203 3.08559
-8.66756 3.08498
-8.67167 3.08495
-8.76615 3.08434
-8.77133 3.08428
-8.86479 3.08369
-8.87105 3.08363
-8.96348 3.08306
-8.97070 3.08299
-9.06214 3.08242
-9.07039 3.08234
-9.16087 3.08179
-9.17004 3.08170
-9.25955 3.08114
-9.26971 3.08105
-9.35829 3.08050
-9.36942 3.08040
-9.45710 3.07987
-9.46909 3.07976
-9.55586 3.07922
-9.56878 3.07911
-9.65466 3.07858
-9.66842 3.07846
-9.75346 3.07795
-9.76812 3.07780
-9.85231 3.07730
-9.86776 3.07715
-9.95113 3.07666
-9.96746 3.07651
-10.05003 3.07603
-10.06713 3.07586
-10.14889 3.07538
-10.16681 3.07521
-10.24778 3.07474
-10.26648 3.07457
-10.34670 3.07409
-10.36617 3.07392
-10.44563 3.07346
-10.46583 3.07327
-10.54455 3.07282
-10.56551 3.07263
-10.64351 3.07217
-10.66519 3.07198
-10.74246 3.07153
-10.76486 3.07132
-10.84146 3.07090
-10.86453 3.07067
-10.94044 3.07025
-10.96423 3.07002
-11.03946 3.06961
-11.06391 3.06938
-11.13847 3.06896
-11.16357 3.06873
-11.23747 3.06831
-11.26324 3.06808
-11.33651 3.06768
-11.36291 3.06744
-11.43555 3.06704
-11.46261 3.06679
-11.53463 3.06639
-11.56226 3.06614
-11.63367 3.06575
-11.66193 3.06548
-11.73275 3.06510
-11.76163 3.06483
-11.83187 3.06447
-11.86128 3.06419
-11.93094 3.06383
-11.96098 3.06354
-12.03007 3.06318
-12.06065 3.06289
-12.12917 3.06253
-12.16034 3.06225
-12.22831 3.06189
-12.26000 3.06160
-12.32742 3.06124
-12.35968 3.06095
-12.42658 3.06061
-12.45935 3.06031
-12.52572 3.05996
-12.55904 3.05966
-12.62489 3.05932
-12.65871 3.05900
-12.72406 3.05867
-12.75839 3.05835
-12.82323 3.05803
-12.85806 3.05770
-12.92240 3.05738
-12.95773 3.05706
-13.02159 3.05673
-13.05741 3.05641
-13.12080 3.05610
-13.15709 3.05576
-13.22000 3.05546
-13.25676 3.05512
-13.31921 3.05481
-13.35643 3.05447
-13.41842 3.05416
-13.45611 3.05382
-13.51764 3.05352
-13.55579 3.05316
-13.61688 3.05287
-13.65547 3.05251
-13.71611 3.05222
-13.75512 3.05186
-13.81534 3.05158
-13.85481 3.05122
-13.91461 3.05095
-13.95449 3.05057
-14.01385 3.05030
-14.05415 3.04992
-14.11311 3.04966
-14.15385 3.04928
-14.21239 3.04901
-14.25353 3.04863
-14.31167 3.04836
-14.35320 3.04798
-14.41094 3.04772
-14.45288 3.04734
-14.51023 3.04707
-14.55255 3.04667
-14.60951 3.04642
-14.65222 3.04602
-14.70880 3.04578
-14.75188 3.04538
-14.80808 3.04513
-14.85158 3.04473
-14.90740 3.04448
-14.95123 3.04408
-15.00669 3.04384
-15.05092 3.04344
-15.10602 3.04321
-15.15060 3.04279
-15.20534 3.04256
-15.25027 3.04214
-15.30467 3.04192
-15.34996 3.04150
-15.40399 3.04127
-15.44961 3.04083
-15.50331 3.04062
-15.54929 3.04018
-15.60265 3.03997
-15.64898 3.03954
-15.70200 3.03933
-15.74866 3.03889
-15.80134 3.03868
-15.84833 3.03824
-15.90069 3.03803
-15.94800 3.03760
-16.00003 3.03739
-16.04767 3.03695
-16.09938 3.03674
-16.14735 3.03630
-16.19875 3.03609
-16.24704 3.03566
-16.29812 3.03545
-16.34670 3.03501
-16.39748 3.03480
-16.44638 3.03434
-16.49686 3.03415
-16.54607 3.03370
-16.59624 3.03351
-16.64572 3.03305
-16.69561 3.03286
-16.74505 3.03240
-16.74539 3.03240
-16.79498 3.03221
-16.84414 3.03177
-16.84507 3.03176
-16.89436 3.03157
-16.94324 3.03113
-16.94475 3.03111
-16.99377 3.03094
-17.04236 3.03048
-17.04442 3.03046
-17.09315 3.03029
-17.14147 3.02983
-17.14410 3.02981
-17.19254 3.02964
-17.24059 3.02921
-17.24378 3.02917
-17.29195 3.02900
-17.33972 3.02856
-17.34345 3.02850
-17.39135 3.02835
-17.43887 3.02791
-17.44314 3.02785
-17.49077 3.02770
-17.53801 3.02726
-17.54280 3.02721
-17.59017 3.02706
-17.63715 3.02664
-17.64249 3.02656
-17.68958 3.02641
-17.73630 3.02599
-17.74216 3.02591
-17.78899 3.02576
-17.83545 3.02534
-17.84184 3.02527
-17.88842 3.02511
-17.93463 3.02470
-17.94152 3.02462
-17.98783 3.02447
-18.03379 3.02405
-18.04120 3.02397
-18.08725 3.02382
-18.13297 3.02342
-18.14087 3.02332
-18.18668 3.02317
-18.23215 3.02277
-18.24054 3.02266
-18.28610 3.02253
-18.33133 3.02213
-18.34020 3.02201
-18.38552 3.02188
-18.43050 3.02148
-18.43989 3.02136
-18.48497 3.02123
-18.52972 3.02083
-18.53957 3.02072
-18.58441 3.02058
-18.62892 3.02020
-18.63923 3.02007
-18.68383 3.01994
-18.72812 3.01956
-18.73892 3.01942
-18.78328 3.01929
-18.82733 3.01891
-18.83859 3.01878
-18.88271 3.01864
-18.92654 3.01826
-18.93826 3.01813
-18.98216 3.01799
-19.02575 3.01761
-19.03796 3.01748
-19.08162 3.01735
-19.12500 3.01699
-19.13763 3.01683
-19.18106 3.01670
-19.22422 3.01634
-19.23728 3.01617
-19.28051 3.01605
-19.32345 3.01569
-19.33697 3.01552
-19.37998 3.01541
-19.42269 3.01504
-19.43664 3.01487
-19.47942 3.01476
-19.52193 3.01440
-19.53631 3.01423
-19.57888 3.01411
-19.62117 3.01377
-19.63600 3.01358
-19.67835 3.01346
-19.72044 3.01312
-19.73567 3.01293
-19.77780 3.01282
-19.81968 3.01247
-19.83535 3.01228
-19.87727 3.01217
-19.91894 3.01183
-19.93503 3.01164
-19.97674 3.01152
-20.01821 3.01118
-20.03470 3.01099
-20.07622 3.01087
-20.11748 3.01053
-20.13438 3.01034
-20.17568 3.01023
-20.21674 3.00988
-20.23404 3.00969
-20.27515 3.00958
-20.31601 3.00926
-20.33372 3.00903
-20.37464 3.00893
-20.41530 3.00861
-20.43340 3.00838
-20.47411 3.00828
-20.51458 3.00796
-20.53307 3.00773
-20.57358 3.00764
-20.61386 3.00731
-20.63275 3.00709
-20.67308 3.00699
-20.71316 3.00667
-20.73242 3.00644
-20.77255 3.00634
-20.81244 3.00602
-20.83210 3.00579
-20.87203 3.00570
-20.91174 3.00537
-20.93179 3.00514
-20.97153 3.00505
-21.01106 3.00474
-21.03146 3.00450
-21.07102 3.00440
-21.11036 3.00410
-21.13112 3.00385
-21.17050 3.00375
-21.20965 3.00345
-21.23079 3.00318
-21.26999 3.00311
-21.30897 3.00280
-21.33048 3.00253
-21.36949 3.00246
-21.40829 3.00215
-21.43014 3.00189
-21.46898 3.00181
-21.50760 3.00151
-21.52982 3.00124
-21.56848 3.00116
-21.60692 3.00086
-21.62951 3.00059
-21.66799 3.00051
-21.70625 3.00021
-21.72917 2.99994
-21.76747 2.99987
-21.80557 2.99958
-21.82885 2.99930
-21.86698 2.99922
-21.90491 2.99893
-21.92853 2.99865
-21.96649 2.99857
-22.00424 2.99829
-22.02821 2.99800
-22.06600 2.99792
-22.10359 2.99764
-22.12787 2.99733
-22.16549 2.99728
-22.20292 2.99699
-22.22755 2.99669
-22.26500 2.99663
-22.30226 2.99634
-22.32722 2.99604
-22.36451 2.99598
-22.40160 2.99570
-22.42690 2.99539
-22.46402 2.99533
-22.50094 2.99505
-22.52658 2.99474
-22.56355 2.99469
-22.60031 2.99440
-22.62625 2.99409
-22.66304 2.99402
-22.69965 2.99375
-22.72593 2.99345
-22.76257 2.99337
-22.79902 2.99312
-22.82561 2.99280
-22.86207 2.99272
-22.89838 2.99248
-22.92529 2.99215
-22.96160 2.99208
-22.99774 2.99183
-23.02495 2.99148
-23.06111 2.99143
-23.09711 2.99118
-23.12463 2.99084
-23.16064 2.99078
-23.19648 2.99053
-23.22430 2.99019
-23.26017 2.99013
-23.29585 2.98988
-23.32398 2.98954
-23.35968 2.98948
-23.39522 2.98924
-23.42366 2.98889
-23.45921 2.98884
-23.49459 2.98859
-23.52332 2.98825
-23.55872 2.98819
-23.59396 2.98794
-23.62300 2.98760
-23.65825 2.98754
-23.69335 2.98729
-23.72267 2.98695
-23.75779 2.98689
-23.79272 2.98664
-23.82235 2.98630
-23.85731 2.98624
-23.89212 2.98602
-23.92204 2.98565
-23.95685 2.98560
-23.99150 2.98537
-24.02171 2.98501
-24.05638 2.98495
-24.09090 2.98472
-24.12137 2.98434
-24.15590 2.98430
-24.19029 2.98407
-24.22106 2.98369
-24.25545 2.98365
-24.28968 2.98342
-24.32073 2.98304
-24.35498 2.98300
-24.38909 2.98278
-24.42041 2.98239
-24.45452 2.98236
-24.48847 2.98213
-24.52007 2.98175
-24.55404 2.98171
-24.58787 2.98148
-24.61976 2.98110
-24.65360 2.98106
-24.68729 2.98083
-24.71944 2.98045
-24.75314 2.98041
-24.78669 2.98018
-24.81910 2.97980
-24.85266 2.97976
-24.88609 2.97954
-24.91879 2.97915
-24.95222 2.97912
-24.98550 2.97889
-25.01844 2.97849
-25.05175 2.97847
-25.08491 2.97824
-25.11786 2.97786
-25.11812 2.97784
-25.15130 2.97782
-25.18433 2.97759
-25.21714 2.97721
-25.21780 2.97719
-25.25085 2.97717
-25.28374 2.97694
-25.31643 2.97656
-25.31747 2.97654
-25.35038 2.97650
-25.38315 2.97629
-25.41572 2.97591
-25.41715 2.97589
-25.44992 2.97586
-25.48258 2.97567
-25.51501 2.97526
-25.51682 2.97525
-25.54947 2.97521
-25.58200 2.97502
-25.61432 2.97464
-25.61651 2.97460
-25.64903 2.97456
-25.68143 2.97437
-25.71362 2.97399
-25.71618 2.97395
-25.74858 2.97391
-25.78086 2.97372
-25.81293 2.97334
-25.81586 2.97330
-25.84813 2.97326
-25.88029 2.97307
-25.91224 2.97269
-25.91553 2.97263
-25.94769 2.97261
-25.97972 2.97242
-26.01154 2.97204
-26.01520 2.97199
-26.04723 2.97197
-26.07915 2.97178
-26.11085 2.97139
-26.11488 2.97134
-26.14679 2.97132
-26.17857 2.97113
-26.21017 2.97077
-26.21454 2.97069
-26.24633 2.97067
-26.27801 2.97048
-26.30948 2.97012
-26.31414 2.97004
-26.34581 2.97002
-26.37737 2.96983
-26.40872 2.96947
-26.41335 2.96939
-26.44491 2.96937
-26.47633 2.96918
-26.50758 2.96882
-26.51219 2.96874
-26.54362 2.96872
-26.57494 2.96853
-26.60607 2.96817
-26.61066 2.96811
-26.64198 2.96810
-26.67317 2.96790
-26.70418 2.96754
-26.70877 2.96747
-26.73997 2.96745
-26.77106 2.96726
-26.80196 2.96689
-26.80652 2.96684
-26.83761 2.96682
-26.86857 2.96663
-26.89936 2.96626
-26.90390 2.96619
-26.93488 2.96617
-26.96574 2.96598
-26.99643 2.96563
-27.00096 2.96556
-27.03182 2.96554
-27.06257 2.96535
-27.09314 2.96501
-27.09764 2.96493
-27.12840 2.96491
-27.15904 2.96472
-27.18951 2.96438
-27.19399 2.96430
-27.22464 2.96428
-27.25516 2.96409
-27.28552 2.96375
-27.29000 2.96367
-27.32054 2.96365
-27.35096 2.96346
-27.38121 2.96312
-27.38565 2.96304
-27.41609 2.96302
-27.44641 2.96285
-27.47655 2.96249
-27.48100 2.96243
-27.51133 2.96241
-27.54154 2.96222
-27.57158 2.96188
-27.57600 2.96180
-27.60623 2.96178
-27.63634 2.96161
-27.66627 2.96125
-27.67069 2.96119
-27.70081 2.96117
-27.73081 2.96098
-27.76065 2.96064
-27.76504 2.96058
-27.79506 2.96056
-27.82496 2.96037
-27.85470 2.96003
-27.85907 2.95997
-27.88899 2.95993
-27.91879 2.95976
-27.94843 2.95942
-27.95279 2.95934
-27.98261 2.95932
-28.01232 2.95915
-28.04185 2.95881
-28.04619 2.95873
-28.07591 2.95871
-28.10553 2.95854
-28.13497 2.95819
-28.13929 2.95814
-28.16891 2.95812
-28.19841 2.95793
-28.22775 2.95758
-28.23207 2.95753
-28.26159 2.95751
-28.29100 2.95732
-28.32026 2.95699
-28.32456 2.95692
-28.35399 2.95690
-28.38330 2.95673
-28.41246 2.95638
-28.41673 2.95632
-28.44606 2.95631
-28.47528 2.95611
-28.50435 2.95579
-28.50862 2.95571
-28.53786 2.95570
-28.56699 2.95552
-28.59595 2.95518
-28.60021 2.95512
-28.62936 2.95510
-28.65840 2.95493
-28.68726 2.95459
-28.69151 2.95453
-28.72056 2.95451
-28.74949 2.95432
-28.77828 2.95400
-28.78250 2.95394
-28.81146 2.95392
-28.84030 2.95373
-28.86900 2.95341
-28.87322 2.95335
-28.90209 2.95333
-28.93085 2.95314
-28.95946 2.95281
-28.96366 2.95276
-28.99243 2.95274
-29.02109 2.95255
-29.04962 2.95222
-29.05380 2.95216
-29.08249 2.95215
-29.11108 2.95197
-29.13950 2.95163
-29.14367 2.95157
-29.17228 2.95155
