# sss file
-2.83022 1.30638
-2.82792 1.33825
-2.82446 1.36871
-2.81978 1.39765
-2.81402 1.42535
-2.80712 1.45169
-2.79902 1.47654
-2.78993 1.50034
-2.77970 1.52277
-2.76836 1.54387
-2.75602 1.56388
-2.74263 1.58266
-2.72822 1.60023
-2.71281 1.61663
-2.69644 1.63189
-2.67898 1.64570
-2.66069 1.65858
-2.64137 1.67007
-2.62123 1.68050
-2.60012 1.68957
-2.57818 1.69745
-2.55552 1.70433
-2.53192 1.70972
-2.50769 1.71412
-2.48260 1.71705
-2.45696 1.71900
-2.43054 1.71948
-2.40364 1.71900
-2.36932 1.69680
-2.33498 1.67338
-2.30069 1.64888
-2.26635 1.62308
-2.23209 1.59628
-2.19778 1.56824
-2.16342 1.53893
-2.12903 1.50844
-2.09448 1.47654
-2.05991 1.44351
-2.02518 1.40909
-1.99022 1.37318
-1.95495 1.33567
-1.91943 1.29663
-1.88354 1.25594
-1.84720 1.21342
-1.81030 1.16889
-1.77273 1.12211
-1.73430 1.07280
-1.69496 1.02086
-1.65435 0.96558
-1.61231 0.90666
-1.56843 0.84334
-1.54647 0.81088
-1.59157 0.87699
-1.63445 0.93791
-1.67571 0.99486
-1.71556 1.04823
-1.75441 1.09877
-1.79232 1.14662
-1.82959 1.19232
-1.86624 1.23590
-1.90229 1.27735
-1.93803 1.31728
-1.97337 1.35541
-2.00838 1.39190
-2.04332 1.42723
-2.07797 1.46093
-2.11248 1.49328
-2.14690 1.52437
-2.18129 1.55426
-2.21566 1.58300
-2.25000 1.61049
-2.28422 1.63661
-2.31854 1.66175
-2.35282 1.68562
-2.38716 1.70841
-2.40364 1.71900
-2.38859 1.73777
-2.37247 1.75543
-2.35528 1.77201
-2.33698 1.78737
-2.31754 1.80138
-2.29713 1.81438
-2.27563 1.82607
-2.25317 1.83662
-2.22971 1.84590
-2.20530 1.85391
-2.17998 1.86067
-2.15380 1.86619
-2.12681 1.87048
-2.09906 1.87353
-2.07053 1.87521
-2.04141 1.87582
-2.01154 1.87491
-1.98120 1.87292
-1.95027 1.86956
-1.91889 1.86497
-1.88709 1.85914
-1.85491 1.85206
-1.82241 1.84374
-1.80672 1.83925
-1.83939 1.84821
-1.87173 1.85591
-1.90373 1.86236
-1.93533 1.86757
-1.96649 1.87155
-1.99710 1.87414
-2.02718 1.87552
-2.05668 1.87567
-2.08554 1.87460
-2.11365 1.87216
